qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
339,Alzheimer s Drug Treatment ,0.179,4,conceptluster.topn5.3.qld,0.2112,alzheimer  s drug treatment psychoactive drug addiction alzheimer  s disease ,termluster.topn5.3.qld,0.2014,alzheimer  s drug treatment treatment patient drug alzheim patient treatment alzheim drug patient ,stem.lovins,0.1902,alzheimer   s drug treatm ,docluster.topn10.3.qld,0.1818,alzheimer s drug treatment diseas alzheim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban ,0.0754,2,onfields.topn3.10.2.25.1.qld,0.1053,"{'land': 2, 'ban': 2, 'mine': 2, 'antipersonnel': 1.25, 'coron': 1.188, 'rac': 1.125, 'impos': 1.094, 'decis': 1.094, 'drk': 1.062, 'jaowyn': 1.062, 'selfdestruct': 1.062, 'saynwittgenstein': 1.062} ",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.1004,"{'ban': 2, 'that': 2.0, 'land': 2, 'mine': 2, 'q': 1.253, 'antipersonnel': 1.203, 'defens': 1.108, 'dod': 1.078, 'weve': 1.067, 'selfdestruct': 1.049, 'polici': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security ,0.2279,5,relevancefeedback.topn10.qld,0.2387,airport security secur passeng hotel ,docluster.topn10.3.qld,0.2306,airport security secur ,tagmee.topn3,0.228,airport security Airport security ,termluster.topn5.3.qld,0.228,airport security secur airport ,conceptluster.topn5.3.qld,0.228,airport security airport security ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion ,0.14300000000000002,7,onfields.topn3.10.2.25.1.qld,0.3548,"{'diplomat': 2, 'soviet': 2.0, 'expuls': 2, 'expel': 1.382, 'pakhtusov': 1.327, 'iraqi': 1.291, 'fbi': 1.2, 'retali': 1.164, 'gerasimov': 1.127, 'accus': 1.109, 'spi': 1.073} ",rm3.topn10.10.0.5.qld,0.2889,iraq british diplomat expel expuls soviet pakhtusov gerasimov britain iraqi ,termluster.topn5.3.qld,0.2511,diplomatic expulsion said offici expuls said offici expel ,glove.topn3,0.2446,diplomatic expulsion relations expelled expel ,glove.topn3.replace,0.1745,relations expelled expel ,bertqe.topn10.qld,0.1572,"{'Diplomatic Expulsion': 1.5, 'diplomats expelled': 1.0, 'expulsion us diplomat': 0.9708130334727403, 'european diplomats expelled': 0.9591171865742442, 'kremlin expelled five american diplomats': 0.8945839808138378, 'last expulsions american diplomats': 0.7837391034449193} ",docluster.topn10.3.qld,0.1435,diplomatic expulsion countri iraqi soviet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths ,0.0134,5,word2vec.topn3.replace,0.0519,cops policemen fatalities killings ,word2vec.topn3,0.0419,police deaths cops policemen fatalities killings ,glove.topn3,0.0236,police deaths officers policemen fatalities ,glove.topn3.replace,0.0162,officers policemen fatalities ,relevancefeedback.topn10.qld,0.0155,police deaths taser death said webster polic offic bralei ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E Mail ,0.2864,9,sensedisambiguation.replace,0.4443,misuse of electronic mail ,sensedisambiguation,0.3321,Abuses misuse of E Mail electronic mail ,stem.lovins,0.3245,abus of e   mail ,stem.paicehusk,0.3245,abus of e   mail ,stem.porter,0.3245,abus of e   mail ,stem.porter2,0.3245,abus of e   mail ,stem.trunc4,0.3245,abus of e   mail ,thesaurus.topn3,0.2982,abuses e mail  corruption crime  email E message ,docluster.topn10.3.qld,0.2963,abuses of e mail mail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales ,0.1024,9,docluster.topn10.3.qld,0.1697,overseas tobacco sales compani dollar ,termluster.topn5.3.qld,0.1657,overseas tobacco sales cigarett market sale year tobacco market ,relevancefeedback.topn10.qld,0.1655,overseas tobacco sales compani dollar per have ,glove.topn3,0.153,overseas tobacco sales abroad elsewhere cigarette cigarettes retail selling ,rm3.topn10.10.0.5.qld,0.1459,earn incom nabisco quarter rjr sale japan cigarett oversea jt stock tobacco ,word2vec.topn3,0.1395,overseas tobacco sales abroad stateside cigarettes smoking marketing ,thesaurus.topn3,0.1355,overseas tobacco sales   cigarette crop  auction business ,onfields.topn3.10.2.25.1.qld,0.1345,"{'sale': 2, 'oversea': 2, 'tobacco': 2, 'cigarett': 1.349, 'health': 1.277, 'chines': 1.12, 'increas': 1.096, 'opium': 1.084, 'antismok': 1.084, 'univers': 1.06, 'repres': 1.048, 'advertis': 1.048, 'kongbas': 1.036} ",glove.topn3.replace,0.1096,abroad elsewhere cigarette cigarettes retail selling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Educational Standards ,0.0675,4,relevancefeedback.topn10.qld,0.1695,educational standards school nation standard educ test ,termluster.topn5.3.qld,0.1069,educational standards standard school nation school nation educ ,docluster.topn10.3.qld,0.0771,educational standards school nation educ ,rm3.topn10.10.0.5.qld,0.0678,school student educ award worker assess test standard provinc teacher ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction ,0.1379,4,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.23399999999999999,"{'0': 2.0, 'wildlif': 2, 'extinct': 2, 'list': 1.913, 'comment': 1.616, 'propos': 1.572, 'speci': 1.551, 'endang': 1.406, 'delist': 1.348, 'tidewat': 1.297, 'gobi': 1.174} ",onfields.topn3.10.2.25.1.qld,0.2018,"{'extinct': 2, 'wildlif': 2, 'administr': 1.698, 'aquat': 1.655, 'protect': 1.517, 'speci': 1.353, 'catch': 1.293, 'propag': 1.172, 'supervis': 1.138, 'tame': 1.017, 'fisheri': 1.009} ",bertqe.topn10.qld,0.1977,"{'Wildlife Extinction': 1.5, '300 species become extinct': 1.0, 'animals verge': 0.7616235426916427, 'wildlife lead': 0.17185359744615433, 'species hunting': 0.16718954181880918, 'wild animals cause even': 0.08852319533137598} ",termluster.topn5.3.qld,0.1931,wildlife extinction state speci extinct wildlif state speci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia ,0.81,4,relevancefeedback.topn10.qld,0.9429,agoraphobia schulz plai i mental he missil ,rm3.topn10.10.0.5.qld,0.9029,missil mental her health my agoraphobia she schulz stori gold simmon ,bertqe.topn10.qld,0.8767,"{'Agoraphobia': 1.5, 'agoraphobia  abnormal fear': 1.0, 'agoraphobia  triggered surrounded': 0.9958057179986405, 'agoraphobia forcing': 0.5372282924801643, 'miss havisham s agoraphobia   went': 0.5190391884197109, ' p   p   p  fighting agoraphobia': 0.49738372898393746} ",glove.topn3,0.8262,agoraphobia claustrophobia hypochondria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism ,0.1893,1,relevancefeedback.topn10.qld,0.2275,metabolism metabol you chemic resist ici brain children dollar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals ,0.05,3,onfields.topn3.10.2.25.1.qld,0.2517,"{'and': 2, 'termin': 2, 'health': 2, 'comput': 2, 'vdt': 1.433, 'screen': 1.3, 'ambul': 1.233, 'disord': 1.2, 'caus': 1.2, 'criticis': 1.167, 'vzp': 1.1, 'collaps': 1.1} ",rm3.topn10.10.0.5.qld,0.2079,electron health railroad comput worker termin central newsdai vdt campu ,termluster.topn5.3.qld,0.0563,health computer terminals report ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration ,0.3956,11,rm3.topn10.10.0.5.qld,0.6961,explor seismic ga british bueno falkland petroleum island oil argentina air ,onfields.topn3.10.2.25.1.qld,0.6369,"{'explor': 2, 'petroleum': 2, 'island': 2.0, 'falkland': 2, 'oil': 1.87, 'survey': 1.348, '02': 1.304, 'bueno': 1.261, 'seismic': 1.261, 'sampson': 1.174, 'fannin': 1.13, 'advis': 1.087, 'licens': 1.087} ",wiki.topn3.replace,0.5937,falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,relevancefeedback.topn10.qld,0.5849,falkland petroleum exploration island oil argentina ga ,wiki.topn3,0.5837,falkland petroleum exploration falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,conceptnet.topn3.replace,0.5762,falkland sound falkland islander falkland islands oil rock oil exploration ,conceptnet.topn3,0.5479,falkland petroleum exploration falkland sound falkland islander falkland islands oil rock oil ,tagmee.topn3,0.4502,falkland petroleum exploration Falkland Islands Petroleum Hydrocarbon exploration ,conceptluster.topn5.3.qld,0.4502,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum ,bertqe.topn10.qld,0.43700000000000006,"{'Falkland petroleum exploration': 1.5, 'phase exploration  falklands ': 1.0, 'exploration surveys falklands': 0.9993865705566302, 'falklands invites oil search tenders': 0.9992562195512517, 'stage falklands  oil': 0.9982606975162264, 'talks falklands  oil  headline ': 0.997832822040473} ",docluster.topn10.3.qld,0.4139,falkland petroleum exploration oil argentina ga ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,British Chunnel impact ,0.0489,7,onfields.topn3.10.2.25.1.qld,0.4967,"{'impact': 2, 'british': 2, 'tunnel': 2.0, 'chunnel': 2, 'link': 1.529, 'channel': 1.529, 'freight': 1.235, 'fagg': 1.235, 'cozett': 1.235, 'hello': 1.176, 'highspe': 1.176, 'bonjour': 1.176, 'goahead': 1.118} ",rm3.topn10.10.0.5.qld,0.4102,project link impact tunnel channel freight british privat sector chunnel franc french ,relevancefeedback.topn10.qld,0.2695,british chunnel impact tunnel freight govern ha de project region hous contract ,wordnet.topn3.replace,0.1994,Brits British people Channel Tunnel wallop bear upon shock ,wordnet.topn3,0.1718,british chunnel impact Brits British people Channel Tunnel bear upon bear on wallop ,conceptnet.topn3,0.0572,british chunnel impact lift road ,word2vec.topn3,0.0548,british chunnel impact britsh american Britsh eurostar trainline effect influence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration ,0.2341,9,bertqe.topn10.qld,0.4423,"{'Antarctica exploration': 1.5, 'antarctica peaceful  scientific exploration ': 1.0, 'exploitation antarctic mineral resources': 0.9815134287616145, 'going antarctic': 0.9790671855129108, 'mining antarctic': 0.9715822059835446, 'antarctic explorers sailed': 0.9667747940376178} ",glove.topn3,0.3875,antarctica exploration antarctic greenland ,onfields.topn3.10.2.25.1.qld,0.3574,"{'explor': 2, 'antarct': 2.0, 'antarctica': 2, 'skog': 1.349, 'contin': 1.326, 'penguin': 1.279, 'seal': 1.256, 'miner': 1.233, 'gentoo': 1.093, 'millibar': 1.093, 'lockroy': 1.093} ",stem.lovins,0.3227,antarctic explor ,word2vec.topn3,0.3194,antarctica exploration antarctic antartica antartic exploratory ,word2vec.topn3.replace,0.3096,antarctic antartica antartic exploratory ,stem.paicehusk,0.3015,antarctic expl ,wordnet.topn3,0.2863,antarctica exploration Antarctic continent geographic expedition ,rm3.topn10.10.0.5.qld,0.2851,explor steger extract expedit greenpeac antarct contin antarctica miner krill ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,journalist risks ,0.0473,4,rm3.topn10.10.0.5.qld,0.095,newspap deputi journalist press serbian your xi insur kill risk ,onfields.topn3.10.2.25.1.qld,0.0948,"{'risk': 2, 'journalist': 2, 'press': 1.452, 'xi': 1.419, 'serbian': 1.323, 'yang': 1.194, 'chines': 1.129, 'borba': 1.129, 'decis': 1.129, 'dont': 1.129, 'expuls': 1.129, 'occas': 1.097} ",bertqe.topn10.qld,0.0817,"{'journalist risks': 1.5, 'journalist s life jeopardy ': 1.0, 'journalists threats': 0.9949525941010684, 'take risks pursuit': 0.990607002214418, 'immunity  risking criticism': 0.9607251789971816, 'always risk': 0.19153477942202946} ",anchor.topn3,0.0661,journalist risks wrigley mil  faj  journalists ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing ,0.1292,6,rm3.topn10.10.0.5.qld,0.3495,ocean marin satellit sens data remot sea observ earth research ,relevancefeedback.topn10.qld,0.3103,ocean remote sensing satellit studi research observ he marin system agricultur product ,docluster.topn10.3.qld,0.2351,ocean remote sensing observ ,onfields.topn3.10.2.25.1.qld,0.2109,"{'sens': 2, 'remot': 2, 'ocean': 2, 'research': 2.0, 'technolog': 1.323, 'basic': 1.207, 'rd': 1.182, 'satellit': 1.159, 'materi': 1.15, 'data': 1.134, 'elucid': 1.113, 'laboratori': 1.055, 'remotesens': 1.044} ",bertqe.topn10.qld,0.1613,"{'ocean remote sensing': 1.5, 'applying remotesensing data oceanography ': 1.0, 'sensing monitoring oceans ': 0.9965429831916447, 'surfaces  remote sensing ocean': 0.9160789046770378, 'marine remotesensing technology lagging': 0.8945541544556528, 'remote sensing marine applications ': 0.7477739062638417} ",termluster.topn5.3.qld,0.1539,ocean remote sensing develop system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain ,0.0062,20,word2vec.topn3.replace,0.0936,post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,glove.topn3.replace,0.0772,premenopausal post menopausal progesterone hormone british uk ,wiki.topn3.replace,0.0571,endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0563,"{'britain': 2, 'postmenopaus': 2, 'estrogen': 2, 'cancer': 2.0, 'j': 1.962, 'risk': 1.647, 'women': 1.484, 'menopaus': 1.452, 'breast': 1.367, 'endometri': 1.364, 'hrt': 1.355, 'incontin': 1.215} ",rm3.topn10.10.0.5.qld,0.0541,cancer hormon estrogen heart bone studi britain women medic calcium postmenopaus risk ,glove.topn3,0.0524,postmenopausal estrogen britain premenopausal post menopausal progesterone hormone british uk ,tagmee.topn3.replace,0.0524,Menopause Estrogen ,wiki.topn3,0.0442,postmenopausal estrogen britain endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,word2vec.topn3,0.0441,postmenopausal estrogen britain post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,onfields.topn3.10.2.25.1.qld,0.0419,"{'britain': 2, 'women': 2.0, 'estrogen': 2, 'postmenopaus': 2, 'hormon': 1.585, 'menopaus': 1.554, 'calcium': 1.554, 'diseas': 1.4, 'bone': 1.354, 'progestin': 1.277, 'studi': 1.154, 'therapi': 1.031} ",tagmee.topn3,0.0366,postmenopausal estrogen britain Menopause Estrogen ,conceptluster.topn5.3.qld,0.0366,postmenopausal estrogen britain estrogen menopause ,docluster.topn10.3.qld,0.0201,postmenopausal estrogen britain women calcium bone ,relevancefeedback.topn10.qld,0.0193,postmenopausal estrogen britain women calcium medic   bone brain ,bertqe.topn10.qld,0.0089,"{'postmenopausal estrogen Britain': 1.5, 'volunteering postmenopausal estrogenprogestin': 1.0, 'postmenopausal estrogenprogestin interventions  pepi  study': 0.9997417753613012, 'estrogen use alone postmenopausal': 0.9983523692285997, 'threeyear postmenopausal estrogenprogestin interventions': 0.995793073554915, 'commonly used postmenopausal hormone': 0.49402587226974054} ",sensedisambiguation.replace,0.0087,postmenopausal estrogen united kingdom ,stem.porter,0.0066,postmenopaus estrogen britain ,stem.porter2,0.0066,postmenopaus estrogen britain ,anchor.topn3,0.0064,postmenopausal estrogen britain androgen estrogens  nortestosteron           drywall ,termluster.topn5.3.qld,0.0064,postmenopausal estrogen britain take ,,,
357,territorial waters dispute ,0.1578,4,onfields.topn3.10.2.25.1.qld,0.3261,"{'water': 2, 'territori': 2, 'disput': 2, 'vietnam': 2.0, 'china': 1.714, 'corpor': 1.619, 'chines': 1.381, 'rockal': 1.381, 'iceland': 1.286, 'nansha': 1.238, 'creston': 1.19, 'accus': 1.19, 'trawler': 1.143} ",relevancefeedback.topn10.qld,0.2063,territorial waters dispute rockal vietnam corpor area law water palestinian china japan ,rm3.topn10.10.0.5.qld,0.1959,water territori chines palestinian israel oil sea disput china vietnam ,glove.topn3,0.159,territorial waters dispute sovereignty seas ocean resolved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood alcohol fatalities ,0.1925,9,thesaurus.topn3.replace,0.3269,blood alcohol  accident casualty ,relevancefeedback.topn10.qld,0.2758,blood alcohol fatalities drink drunk ornela giunta mann said alcohol driver rausi barsumyan ,tagmee.topn3.replace,0.2622,Blood alcohol content Death ,tagmee.topn3,0.2618,blood alcohol fatalities Blood alcohol content Death ,conceptluster.topn5.3.qld,0.2618,blood alcohol fatalities death blood alcohol content ,wiki.topn3,0.2392,blood alcohol fatalities corporattitle driving under thinfluence amway Blood alcohol content life senescence disease Death ,onfields.topn3.10.2.25.1.qld,0.2326,"{'fatal': 2, 'blood-alcohol': 2, 'drink': 2.0, 'drunk': 2.0, 'drive': 1.828, '08': 1.793, 'alcohol': 1.759, 'blood': 1.655, 'driver': 1.655, 'lb': 1.586, 'ornela': 1.586, 'bencangey': 1.241, 'clardi': 1.0} ",docluster.topn10.3.qld,0.2265,blood alcohol fatalities driver drunk mann said ,thesaurus.topn3,0.2199,blood alcohol fatalities   accident casualty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,mutual fund predictors ,0.0166,14,wiki.topn3,0.0428,mutual fund predictors fixed income assets under management exchange traded fund Mutual fund ,tagmee.topn3.replace,0.0408,Mutual fund ,tagmee.topn3,0.0401,mutual fund predictors Mutual fund ,conceptluster.topn5.3.qld,0.0401,mutual fund predictors mutual fund ,wiki.topn3.replace,0.0365,fixed income assets under management exchange traded fund Mutual fund ,glove.topn3,0.035,mutual fund predictors trust investments money exemplars ,stem.krovetz,0.0327,mutual fund predict ,stem.trunc4,0.0313,mutu fund pred ,stem.trunc5,0.0303,mutua fund predi ,wordnet.topn3,0.0212,mutual fund predictors reciprocal common investment company investment firm store forecaster soothsayer ,stem.lovins,0.0203,mutu fund predictor ,thesaurus.topn3.replace,0.0183,mutual  capital endowment  prognosticator seer ,thesaurus.topn3,0.0174,mutual fund predictors   capital endowment  prognosticator seer ,relevancefeedback.topn10.qld,0.0174,mutual fund predictors would market sai predict invest mr rate law kit ,,,,,,,,,,,,,,,,,,,,,
360,drug legalization benefits ,0.2287,4,bertqe.topn10.qld,0.3248,"{'drug legalization benefits': 1.5, 'excessive legal benefits drug traffickers': 1.0, 'legalizing marijuana  cocaine heroin': 0.993294550892764, 'making drugs illegal merely fosters': 0.9873202510558026, 'legalization drugs': 0.9811014352550987, 'opportunity added  drug legalization ': 0.24048956329906845} ",stem.trunc5,0.2991,drug legal benef ,word2vec.topn3,0.2539,drug legalization benefits narcotics legalisation decriminalization advantages detriments ,glove.topn3,0.2328,drug legalization benefits trafficking decriminalization moreover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops ,0.4398,11,termluster.topn5.3.qld,0.6171,clothing sweatshops wage sweatshop law wage law labor ,docluster.topn10.3.qld,0.6146,clothing sweatshops said sew ,wiki.topn3,0.6004,clothing sweatshops footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,relevancefeedback.topn10.qld,0.5863,clothing sweatshops said cloth labor sew home bill our ,bertqe.topn10.qld,0.5827,"{'clothing sweatshops': 1.5, 'suspected garment sweatshops friday  finding': 1.0, 'garment industry sweatshops': 0.9995764413781364, 'make designername  garmentindustry sweatshops ': 0.9970397981372587, 'fines garment sweatshops': 0.9947465134877257, 'sweatshops making garment manufacturers': 0.9932251251973746} ",onfields.topn3.10.2.25.1.qld,0.5337,"{'cloth': 2, 'labor': 2.0, 'sweatshop': 2, 'law': 1.966, 'manufactur': 1.793, 'garment': 1.69, 'hayden': 1.483, 'sew': 1.379, 'cant': 1.207, 'respons': 1.138, 'licens': 1.103} ",rm3.topn10.10.0.5.qld,0.5301,sweatshop garment wage hayden sew manufactur worker cloth labor bill ,wiki.topn3.replace,0.5147,footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,sensedisambiguation,0.4763,clothing sweatshops sweatshop ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4733,"{'cloth': 2, 'work': 2.0, 'sweatshop': 2, 'worker': 1.408, 'state': 1.395, 'apparel': 1.368, 'labor': 1.355, 'wage': 1.263, 'garment': 1.237, 'kernaghan': 1.132, 'factori': 1.066} ",word2vec.topn3,0.4459,clothing sweatshops apparel garments sweat shops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling ,0.1076,4,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.3812,"{'human': 2, 'smuggl': 2, 'chines': 1.623, 'immigr': 1.458, 'organ': 1.418, 'crimin': 1.333, 'illeg': 1.333, 'crime': 1.293, 'alien': 1.264, 'traffick': 1.253, 'smuggler': 1.227} ",rm3.topn10.10.0.5.qld,0.2124,illeg border drug emigr yuan smuggl human summari chines immigr ,word2vec.topn3,0.1824,human smuggling non human nonhuman smugglers smuggler ,word2vec.topn3.replace,0.129,non human nonhuman smugglers smuggler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters ,0.0727,1,onfields.topn3.10.2.25.1.qld,0.2114,"{'disast': 2, 'transport': 2, 'tunnel': 2, 'fire': 1.698, 'freeway': 1.349, 'collaps': 1.254, 'firefight': 1.206, 'caus': 1.206, 'metro': 1.175, 'subway': 1.143, 'a130': 1.095, 'threemil': 1.063, '150foot': 1.048} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,rabies ,0.5831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino ,0.6171,1,onfields.topn3.10.2.25.1.qld,0.6848,"{'el': 2, 'nino': 2, 'water': 1.397, 'weather': 1.293, 'warm': 1.259, 'ocean': 1.241, 'phenomenon': 1.207, 'fishermen': 1.155, 'caus': 1.138, 'dont': 1.086, '198283': 1.069} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses ,0.4483,2,tagmee.topn3,0.452,commercial cyanide uses Hydrogen cyanide ,conceptluster.topn5.3.qld,0.452,commercial cyanide uses hydrogen cyanide ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy ,0.0628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization ,0.4256,7,rm3.topn10.10.0.5.qld,0.6764,egg her center embryo babi coupl she treatment davi fertil vitro ,onfields.topn3.10.2.25.1.qld,0.5944,"{'vitro': 2, 'in': 2, 'fertil': 2, 'surrog': 1.907, 'johnson': 1.651, 'egg': 1.558, 'calvert': 1.419, 'sperm': 1.326, 'infertil': 1.233, 'fallopian': 1.186, 'ivf': 1.163, 'surrogaci': 1.023, 'babi': 1.0} ",termluster.topn5.3.qld,0.5659,vitro fertilization said implant egg ,relevancefeedback.topn10.qld,0.5449,in vitro fertilization center fertil she he york have sai david embryo said ,anchor.topn3.replace,0.4981,vitro    oocyte  fertilisation embryo fertilization ,anchor.topn3,0.4612,vitro fertilization vitro    oocyte  fertilisation embryo ,glove.topn3,0.4432,vitro fertilization fertilization ivf vitro fertilisation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia ,0.2704,9,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.5177,"{'bulimia': 2, 'anorexia': 2, 'nervosa': 2, 'rc552': 1.55, 'eat': 1.36, '1988': 1.324, 'disord': 1.216, '2001': 1.126, 'rc552a5': 1.117, 'd877': 1.081, 'librari': 1.027} ",conceptnet.topn3,0.4786,anorexia nervosa bulimia an eating disorder ,wiki.topn3.replace,0.4345,anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wiki.topn3,0.4078,anorexia nervosa bulimia anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wordnet.topn3,0.3091,anorexia nervosa bulimia binge eating syndrome ,wordnet.topn3.replace,0.2891,anorexia nervosa binge eating syndrome ,tagmee.topn3,0.2736,anorexia nervosa bulimia Anorexia nervosa Bulimia nervosa ,tagmee.topn3.replace,0.2736,Anorexia nervosa Bulimia nervosa ,conceptluster.topn5.3.qld,0.2736,anorexia nervosa bulimia anorexia nervosa bulimia nervosa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food drug laws ,0.0075,9,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0648,"{'food/drug': 2, 'law': 2, 'drug': 2.0, 'food': 1.926, 'act': 1.713, 'fda': 1.596, 'regul': 1.277, 'requir': 1.197, 'amend': 1.197, 'label': 1.17, 'devic': 1.165, 'anim': 1.16} ",glove.topn3.replace,0.0268,food drug regulations ,bertqe.topn10.qld,0.0158,"{'fooddrug laws': 1.5, 'federal food drug': 1.0, 'fda allows food': 0.7446348997106069, 'drug abatement law several': 0.582522972010549, 'foodsafety law must corrected ': 0.5701482297747678, 'drug cosmetic act  residues': 0.5515326424763745} ",glove.topn3,0.0128,food drug laws regulations ,relevancefeedback.topn10.qld,0.0119,food drug laws said drug dr our food carcinogen plant ,tagmee.topn3,0.0113,food drug laws Food Prohibition of drugs ,conceptluster.topn5.3.qld,0.0113,food drug laws prohibition drugs food ,termluster.topn5.3.qld,0.0092,food drug laws respons market health ,wiki.topn3,0.009000000000000001,food drug laws foods cuisine meat Food marihuana tax act of      buprenorphine purfood and drug act Prohibition of drugs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
