qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
INEX_XER-118,French car models in      s,0.0197,7,onfields.topn3.10.1.1.bm25,0.0498,"{'1960': 2, 'in': 2, 'model': 2, 'french': 2, 'car': 2, 'amilcar': 1.463, 'peugeot': 1.289, '1928': 1.188, '181': 1.134, '2795': 1.054, 'autoduel': 1.054, 'wheelbas': 1.054, 'audincourt': 1.047, '1920siniti': 1.034, 'advertis': 1.034}",termluster.topn5.3.bm25,0.0429,french car models       s car model vehicl model vehicl french vehicl introduc french,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0385,"{'1960': 2, 'in': 2, 'model': 2, 'car': 2, 'french': 2, 'china': 2.0, 'trip': 1.559, 'schedul': 1.406, 'summit': 1.385, 'industri': 1.336, 'defens': 1.329, 'enterpris': 1.252, 'wto': 1.231, '22mar': 1.189, '26sept': 1.133, 'itinerari': 1.021}",rm3.topn10.10.0.5.bm25,0.0324,toi jensen french simca facel porsch car model peugeot      volkswagen s engin,tagmee.topn3,0.0278,french car models       s France,conceptluster.topn5.3.bm25,0.0278,french car models       s france,docluster.topn10.3.bm25,0.0238,french car models in      s peugeot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-119,Swiss cantons where they speak German,0.0779,17,tagmee.topn3.replace,0.3256,Star Trek The Captains  film,wiki.topn3.replace,0.1666,star trek space in fiction star trek  the original series Star Trek star trek  renegades extremrisk  star trek  voyager  star trek  thnext generation  season    The Captains  film,tagmee.topn3,0.1307,swiss cantons speak german Switzerland Canton  country subdivision  Germany,conceptluster.topn5.3.bm25,0.1307,swiss cantons speak german germany canton country subdivision switzerland,termluster.topn5.3.bm25,0.1247,swiss cantons speak german canton german switzerland switzerland swiss speak canton german part canton swiss switzerland,onfields.topn3.10.1.1.bm25,0.1235,"{'german': 2, 'speak': 2, 'they': 2, 'where': 2, 'canton': 2, 'swiss': 2, 'switzerland': 2.0, 'alemann': 1.557, 'romansh': 1.423, 'germanspeak': 1.33, 'separat': 1.289, 'romansch': 1.227, 'rttemberg': 1.216, 'confeder': 1.196, 'graub': 1.103}",wiki.topn3,0.11800000000000001,swiss cantons speak german switzerland cities in switzerland austria Switzerland speicher  switzerland jurassic separatism leaguof god s house Canton  country subdivision  germany central europe france Germany,thesaurus.topn3,0.1049,swiss cantons speak german,anchor.topn3,0.1049,swiss cantons speak german,thesaurus.topn3.replace,0.1049,swiss cantons speak german,anchor.topn3.replace,0.1049,swiss cantons speak german,word2vec.topn3,0.1046,swiss cantons speak german switzerland french hear communicate french germany,rm3.topn10.10.0.5.bm25,0.1007,german italian where speak switzerland card swiss ticino alemann romansh canton song,relevancefeedback.topn10.bm25,0.0929,swiss cantons where they speak german switzerland peopl alemann card italian languag song ticino,wordnet.topn3,0.0916,swiss cantons speak german Swiss people quarter Guangzhou address verbalize talk German language High German,bertqe.topn10.bm25,0.0831,"{'Swiss cantons where they speak German': 1.5, 'bernese oberland helvetic republic languages': 1.0, 'swiss cantons german': 0.8999999999999999, 'official language aargau appenzell': 0.8, 'walhaz bernese oberland helvetic republic': 0.7, 'cantons romansh switzerland french speaking': 0.5999999999999999}",adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0786,"{'german': 2, 'they': 2, 'where': 2, 'canton': 2, 'speak': 2, 'swiss': 2, 'none': 2.0, 'month': 1.983, 'multipl': 1.881, 'switzerland': 1.61, '60': 1.356, 'loetscher': 1.237, 'nifleslliteracyniflgov': 1.169, 'criol': 1.136, 'niflesl2861': 1.051}",,,,,,,,,,,,
INEX_XER-121,US presidents since,0.0034,9,wiki.topn3.replace,0.0531,nordic council danish krone Åland islands Nordic countries classical music european music world music Classical music composers musical terminology pianist Composer,rm3.topn10.10.0.5.bm25,0.0448,treati sinc viera      she presid presidenti elect parti us      california,tagmee.topn3.replace,0.0445,Nordic countries Classical music Composer,relevancefeedback.topn10.bm25,0.0162,us presidents since      presid finland edward econom venezuelan nation obama autobiographi,bertqe.topn10.bm25,0.0153,"{'US presidents since 1960': 1.5, 'us presidents since 1923': 1.0, 'since may 2001 president': 0.3161702127659576, 'presidents beginning calvin coolidge': 0.2327659574468084, 'jimmy carter jose lopez portillojpg': 0.1212765957446809, 'w bush ronald reagan': 0.08978723404255332}",glove.topn3,0.0061,us presidents since      u s  u s leaders last years,sensedisambiguation,0.0045,US uranium presidents president of the united states since,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0042,"{'1960': 2, 'sinc': 2, 'us': 2, 'presid': 2, 'percent': 2.0, 'rate': 1.778, 'job': 1.722, 'econom': 1.593, 'clinton': 1.463, 'hous': 1.444, 'lowest': 1.444, 'unemploy': 1.444, 'expans': 1.315, 'longest': 1.296}",wordnet.topn3,0.0038,us presidents since      America u USA chairwoman chairperson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-122,Movies with eight or more Academy Awards,0.0125,12,tagmee.topn3,0.0439,movies eight academy awards Film Academy Awards,sensedisambiguation,0.0288,Movies movie with eight or more Academy Awards prize,conceptluster.topn5.3.bm25,0.0277,movies eight academy awards film,thesaurus.topn3,0.0253,movies eight academy awards,anchor.topn3,0.0253,movies eight academy awards,thesaurus.topn3.replace,0.0253,movies eight academy awards,anchor.topn3.replace,0.0253,movies eight academy awards,sensedisambiguation.replace,0.0222,movie with eight or more academy prize,stem.paicehusk,0.021,movy with eight or mor academy award,termluster.topn5.3.bm25,0.0203,movies eight academy awards univers time list academi award best univers time movi univers time movi,relevancefeedback.topn10.bm25,0.0188,movies with eight or more academy awards film actor award actress,docluster.topn10.3.bm25,0.0164,movies with eight or more academy awards film award,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-123,FIFA world cup national team winners since,0.040999999999999995,3,bertqe.topn10.bm25,0.0792,"{'FIFA world cup national team winners since 1974': 1.5, 'fifa world cup year 1974': 1.0, '2014 fifa world cup 1974': 0.8875924871940808, 'ndor puhl 1974 fifa world': 0.701479795105293, 'world cup 1974 fifa world': 0.6027319294251565, '1974 fifa world cup chelsea': 0.3824701195219124}",termluster.topn5.3.bm25,0.0549,fifa world cup national team winners since      cup footbal nation cup fifa footbal fifa footbal nation world winner tournament cup fifa footbal world tournament team,docluster.topn10.3.bm25,0.0412,fifa world cup national team winners since      footbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-124,Novels that won the Booker Prize,0.5158,8,tagmee.topn3,0.633,novels booker prize Novel Man Booker Prize,termluster.topn5.3.bm25,0.6212,novels booker prize prize man booker man novel prize booker man novel,thesaurus.topn3,0.6061,novels booker prize,anchor.topn3,0.6061,novels booker prize,thesaurus.topn3.replace,0.6061,novels booker prize,anchor.topn3.replace,0.6061,novels booker prize,bertqe.topn10.bm25,0.6058,"{'Novels that won the Booker Prize': 1.5, 'booker prize james tait black': 1.0, 'booker prize moon tiger john': 0.9565217391304347, 'kingsley amis man booker': 0.5217391304347826, 'booker prizewinning works weidenfeld nicolson': 0.5217391304347826, 'fitzgerald penelope fitzgerald man booker': 0.08695652173913052}",conceptluster.topn5.3.bm25,0.5843,novels booker prize man booker prize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-125,countries which have won the FIFA world cup,0.0962,1,termluster.topn5.3.bm25,0.1237,countries fifa world cup world tournament team cup nation team cup fifa nation fifa nation team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-126,toy train manufacturers that are still in business,0.1639,7,relevancefeedback.topn10.bm25,0.252,toy train manufacturers that are still in business toi lionel triang compani manufactur steam,onfields.topn3.10.1.1.bm25,0.2421,"{'busi': 2, 'in': 2, 'still': 2, 'are': 2, 'that': 2, 'manufactur': 2, 'train': 2, 'toy': 2, 'lionel': 1.934, 'triang': 1.352, 'gaug': 1.33, 'boucher': 1.33, 'compani': 1.242, 'voltamp': 1.176, 'gaugewid': 1.055, 'mid1960sbouch': 1.055}",docluster.topn10.3.bm25,0.2398,toy train manufacturers that are still in business lionel toi manufactur compani,rm3.topn10.10.0.5.bm25,0.2212,toi still flyer triang lionel hafner train marx manufactur model compani busi,wiki.topn3,0.2021,toy train manufacturers still business high rail model steam engine z scale Toy train industry supply chain products Manufacturing business accounting finance Business,tagmee.topn3,0.2,toy train manufacturers still business Toy train Manufacturing Business,conceptluster.topn5.3.bm25,0.2,toy train manufacturers still business toy train manufacturing business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-127,german female politicians,0.23,5,tagmee.topn3.replace,0.7094,Film Film director Akira Kurosawa,wiki.topn3.replace,0.2889,film art media media formats Film film directors film crew screenwriter Film director kon ichikawa asakazu nakai tadao sato Akira Kurosawa,sensedisambiguation,0.2393,german female politicians politician,tagmee.topn3,0.2383,german female politicians Germans,conceptluster.topn5.3.bm25,0.2383,german female politicians germans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-128,Bond girls,0.4077,1,termluster.topn5.3.bm25,0.4299,bond girls girl jame film jame film bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-129,Science fiction book written in the,0.0054,8,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.1214,"{'1980': 2, 'the': 2, 'in': 2, 'written': 2, 'book': 2, 'scienc': 2, 'fiction': 2, 'award': 1.846, 'var': 1.374, 'null': 1.286, 'bantock': 1.198, 'documentsearchwidgitsearchtyp': 1.132, 'documentwriteopt': 1.132, 'savedsearch': 1.11, 'documentsearchwidgitsortdropdownoptionslength': 1.11, 'savedscop': 1.11, 'newurl': 1.088}",wiki.topn3.replace,0.07400000000000001,studium generale robert kilwardby siger of brabant Medieval university catalonia andalusia asturias Catalonia,onfields.topn3.10.1.1.bm25,0.0677,"{'1980': 2, 'the': 2, 'in': 2, 'book': 2, 'written': 2, 'scienc': 2, 'novel': 2.0, 'fiction': 2, 'thunder': 1.284, 'lightn': 1.182, 'stuff': 1.17, 'disch': 1.148, 'bloodhyp': 1.148, 'flinx': 1.08}",tagmee.topn3.replace,0.0607,Medieval university Catalonia,wiki.topn3,0.0111,science fiction book written      science fiction genres science fiction speculative fiction Science fiction books publishing documents Book vocabulary symbol narrative Writing,relevancefeedback.topn10.bm25,0.0072,science fiction book written in the      novel,docluster.topn10.3.bm25,0.0072,science fiction book written in the      novel,tagmee.topn3,0.0068,science fiction book written      Science fiction Book Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-130,Star Trek Captains,0.415,2,termluster.topn5.3.bm25,0.4641,star trek captains appear captain charact appear captain charact uss trek starfleet,rm3.topn10.10.0.5.bm25,0.4492,enterpris seri charact starfleet captain gener fiction star trek film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-132,living nordic classical composers,0.1138,1,tagmee.topn3.replace,0.2684,Chess World Chess Championship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-133,EU countries,0.1208,4,sensedisambiguation,0.1671,EU european union countries state,docluster.topn10.3.bm25,0.1484,eu countries european state,tagmee.topn3.replace,0.1379,Chemical element,onfields.topn3.10.1.1.bm25,0.1229,"{'countri': 2, 'eu': 2, 'european': 1.586, 'union': 1.471, 'member': 1.398, 'enlarg': 1.171, 'access': 1.13, 'edf': 1.066, 'membership': 1.064, 'acp': 1.04, 'expans': 1.039, 'treati': 1.024}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-134,record breaking sprinters in male     meter sprints,0.0812,1,wordnet.topn3,0.0828,record breaking sprinters male     meter sprints male person virile dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-135,professional baseball team in Japan,0.406,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-136,Japanese players in Major League Baseball,0.7363,1,sensedisambiguation,0.7425,Japanese players player in Major League Baseball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-138,National Parks East Coast Canada US,0.0095,3,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0391,"{'us': 2, 'canada': 2, 'coast': 2, 'east': 2, 'nation': 2, 'map': 2.0, 'park': 2, 'lake': 1.792, 'crater': 1.515, 'tif': 1.475, 'valley': 1.426, 'download': 1.396, 'gettysburg': 1.376, 'eros': 1.376, 'battlefield': 1.356, 'urlwwwngdcnoaagovsethazardslidesetslidesetidslideidslideshtml': 1.198}",tagmee.topn3,0.0141,national parks east coast canada us National Parks of Canada Canada United States,conceptluster.topn5.3.bm25,0.0104,national parks east coast canada us united states national parks canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-139,Films directed by Akira Kurosawa,0.9074,3,sensedisambiguation,0.9466,Films movie directed direct by Akira Kurosawa,sensedisambiguation.replace,0.9391,movie direct by Akira kurosawa,conceptnet.topn3,0.9319,films directed akira kurosawa oriented Akira Kurosawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-140,Airports in Germany,0.3625,2,sensedisambiguation,0.3899,Airports airport in Germany,docluster.topn10.3.bm25,0.3899,airports in germany airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-141,Universities in Catalunya,0.0877,7,tagmee.topn3.replace,0.331,Give In to Me A list A list Trumpet Bandleader,onfields.topn3.10.1.1.bm25,0.2225,"{'in': 2, 'catalunya': 2, 'univers': 2, 'catalonia': 1.503, 'barcelona': 1.36, 'upc': 1.292, 'universitat': 1.286, 'cnica': 1.205, 'uoc': 1.199, 'huguet': 1.093, 'oberta': 1.093, 'enterpris': 1.068}",glove.topn3,0.1988,universities catalunya colleges campuses catalonia jerez,termluster.topn5.3.bm25,0.1571,universities catalunya universitat catalunya barcelona univers barcelona universitat,sensedisambiguation,0.1128,Universities university in Catalunya,wiki.topn3,0.1106,universities catalunya studium generale robert kilwardby siger of brabant Medieval university catalonia andalusia asturias Catalonia,conceptnet.topn3,0.0891,universities catalunya greats great go letters and science catalonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-143,Hanseatic league in Germany in the Netherlands Circle,0.1094,3,rm3.topn10.10.0.5.bm25,0.1975,dai dortmund rhinewestphalia germani circl leagu hanseat bocholt soest town netherland,relevancefeedback.topn10.bm25,0.1925,hanseatic league in germany in the netherlands circle germani hanseat list netherland dortmund soest bocholt winterberg,termluster.topn5.3.bm25,0.1099,hanseatic league germany netherlands circle leagu germani german hanseat germani german leagu hanseat german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-144,chess world champions,0.5701,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-147,Chemical elements that are named after people,0.0702,4,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.1099,"{'peopl': 2, 'after': 2, 'name': 2, 'are': 2, 'that': 2, 'chemic': 2, 'element': 2, 'seaborg': 1.635, 'uranium': 1.453, 'berkeley': 1.255, 'transuranium': 1.248, 'glenn': 1.226, 'fig': 1.212, 'plutonium': 1.19, 'actinid': 1.175, 'chemistri': 1.0}",sensedisambiguation,0.0961,Chemical elements element that are named name after people,bertqe.topn10.bm25,0.0815,"{'Chemical elements that are named after people': 1.5, 'elements named people element': 1.0, 'named people lanthanide minerals': 1.0, 'named people element name': 0.8333333333333333, 'chemical elements named': 0.49999999999999994, 'scientists elements named people': 0.33333333333333326}",tagmee.topn3,0.0728,chemical elements named people Chemical element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-1,Which German cities have more than        inhabitants,0.0037,17,relevancefeedback.topn10.bm25,0.0735,which german cities have more than        inhabitants  hall ghetto portug elect paulo list ruhr frankfurt municip citi,wordnet.topn3,0.0668,german cities        inhabitants German language High German urban center metropolis denizen indweller,tagmee.topn3.replace,0.0373,Give In to Me The Members The Prodigy,wordnet.topn3.replace,0.0302,German language High German urban center metropolis        denizen indweller,termluster.topn5.3.bm25,0.0176,german cities        inhabitants popul inhabit popul citi,wiki.topn3.replace,0.0138,video greatest hits   history foolish beat lovnever felt so good Give In to Me my lifstory norfolk coast  album       band  The Members big beat musicians thchemical brothers thstonroses The Prodigy,wiki.topn3,0.0133,german cities        inhabitants ethnigroups in germany german people poles Germans municipio communications in latin america demographics of panama Demonym,word2vec.topn3,0.0132,german cities        inhabitants french germany towns                      residents population natives,bertqe.topn10.bm25,0.0124,"{'Which German cities have more than 250000 inhabitants': 1.5, 'essen approx 566000 duisburg': 1.0, '566000 duisburg approx 486000': 0.8518518518518519, 'cities 15000': 0.611111111111111, 'germany': 0.5740740740740742, 'rhinewestphalia germany': 0.5185185185185185}",onfields.topn3.10.1.1.bm25,0.0119,"{'250000': 2, 'than': 2, 'more': 2, 'have': 2, 'citi': 2, 'german': 2, 'which': 2, 'inhabit': 2, 'portug': 2.0, 'ghetto': 1.869, 'hous': 1.689, 'biebow': 1.639, 'nazi': 1.377, 'portugues': 1.344, 'halleneustadt': 1.328, 'bremen': 1.311, 'polandbiebow': 1.082, 'gettoverwaltung': 1.082}",thesaurus.topn3,0.0054,german cities        inhabitants,anchor.topn3,0.0054,german cities        inhabitants,thesaurus.topn3.replace,0.0054,german cities inhabitants,anchor.topn3.replace,0.0054,german cities        inhabitants,glove.topn3,0.0048,german cities        inhabitants germany austrian towns population natives,stem.krovetz,0.0043,which germany city have more than inhabitant,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0043,"{'inhabit': 2, '250000': 2, 'than': 2, 'more': 2, 'have': 2, 'citi': 2, 'german': 2, 'which': 2, 'nbsp': 2.0, 'rail': 1.309, 'transport': 1.304, 'karlsruh': 1.267, 'tram': 1.258, 'increas': 1.152, 'ilondoninbsp': 1.143, 'strasbourg': 1.138, 'trtd': 1.065, 'tdtr': 1.065, 'ichristningsinbsp': 1.065}",,,,,,,,,,,,
QALD2_te-2,Who was the successor of John F  Kennedy,0.0,19,glove.topn3.replace,0.1274,succeed james rohch j  p  f  jfk,glove.topn3,0.1085,successor john f  kennedy succeed james rohch j  p  f  jfk,wordnet.topn3,0.0263,successor john f  kennedy heir replacement Saint John John the Divine John Lackland Kennedy International Airport JFK,wordnet.topn3.replace,0.0187,heir replacement Saint John John the Divine John Lackland f  Kennedy International Airport JFK,word2vec.topn3,0.0154,successor john f  kennedy predecessor succesor michael elton keith e  g  d  mccarthy jfk lawrence,conceptnet.topn3,0.0058,successor john f  kennedy a boys name Kennedy International President John F  Kennedy Long Island,tagmee.topn3,0.0056,successor john f  kennedy John F  Kennedy,wiki.topn3,0.005,successor john f  kennedy recipients of the navy and marine corps medal bouvier family united states vice presidential candidates       John F  Kennedy,conceptnet.topn3.replace,0.0037,successor a boys name f  Kennedy International President John F  Kennedy Long Island,thesaurus.topn3,0.0026,successor john f  kennedy,anchor.topn3,0.0026,successor john f  kennedy,thesaurus.topn3.replace,0.0026,successor john f  kennedy,anchor.topn3.replace,0.0026,successor john f  kennedy,conceptluster.topn5.3.bm25,0.0026,successor john f  kennedy,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0024,"{'john': 2, 'of': 2, 'successor': 2, 'the': 2, 'wa': 2, 'who': 2, 'f': 2, 'kennedi': 2, 'presid': 1.134, 'board': 1.066, 'shall': 1.061, 'success': 1.055, 'vice': 1.052, 'presidenti': 1.037, 'televis': 1.028, 'qcompmiscjfkctr': 1.01, 'secretari': 1.003}",rm3.topn10.10.0.5.bm25,0.0017,boston main paul hous massachusett successor democrat repres john politician f senat kennedi who,relevancefeedback.topn10.bm25,0.0015,who was the successor of john f  kennedy  massachusett boston state politician main kennedi,stem.paicehusk,0.0011,who was the success of john f kennedy,word2vec.topn3.replace,0.0006,predecessor succesor michael elton keith e  g  d  mccarthy jfk lawrence,,,,,,
QALD2_te-3,Who is the mayor of Berlin,0.1422,10,thesaurus.topn3,0.4919,mayor berlin,anchor.topn3,0.4919,mayor berlin,conceptnet.topn3,0.4919,mayor berlin,thesaurus.topn3.replace,0.4919,mayor berlin,anchor.topn3.replace,0.4919,mayor berlin,conceptnet.topn3.replace,0.4919,mayor berlin,termluster.topn5.3.bm25,0.4057,mayor berlin berlin parti democrat mayor parti democrat,conceptluster.topn5.3.bm25,0.3723,mayor berlin governing mayor berlin,tagmee.topn3,0.3607,mayor berlin Governing Mayor of Berlin Berlin,docluster.topn10.3.bm25,0.1868,who is the mayor of berlin  berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-5,What is the second highest mountain on Earth,0.1148,5,termluster.topn5.3.bm25,0.2053,second highest mountain earth mountain peak highest peak,thesaurus.topn3,0.1961,second highest mountain earth,anchor.topn3,0.1961,second highest mountain earth,thesaurus.topn3.replace,0.1961,second highest mountain earth,anchor.topn3.replace,0.1961,second highest mountain earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-6,Give me all professional skateboarders from Sweden,0.0746,12,tagmee.topn3.replace,0.5131,Governor of Texas,thesaurus.topn3,0.3674,give professional skateboarders sweden,anchor.topn3,0.3674,give professional skateboarders sweden,thesaurus.topn3.replace,0.3674,give professional skateboarders sweden,anchor.topn3.replace,0.3674,give professional skateboarders sweden,termluster.topn5.3.bm25,0.3674,give professional skateboarders sweden,sensedisambiguation.replace,0.2447,yield me all professional skateboarder from sweden,wiki.topn3.replace,0.18,state constitutional officers of texas lieutenant governor of texas texas comptroller of public accounts Governor of Texas,wiki.topn3,0.1636,give professional skateboarders sweden video greatest hits   history foolish beat lovnever felt so good Give In to Me skateboard bmx skateboarding equipment Skateboarding year of establishment unknown sweden swedish speaking countries and territories Sweden,tagmee.topn3,0.1604,give professional skateboarders sweden Give In to Me Skateboarding Sweden,sensedisambiguation,0.1445,Give yield me all professional skateboarders skateboarder from Sweden,conceptluster.topn5.3.bm25,0.0925,give professional skateboarders sweden skateboarding give,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-8,To which countries does the Himalayan mountain system extend,0.1839,6,rm3.topn10.10.0.5.bm25,0.3963,rang nepal system peak himalaya mountain metr doe bhutan countri which extend himalayan india forest,relevancefeedback.topn10.bm25,0.3024,to which countries does the himalayan mountain system extend  peak forest bhutan basin himalaya rang famili,onfields.topn3.10.1.1.bm25,0.2726,"{'extend': 2, 'system': 2, 'the': 2, 'doe': 2, 'countri': 2, 'which': 2, 'to': 2, 'himalayan': 2, 'mountain': 2, 'himal': 1.967, 'forest': 1.951, 'himalaya': 1.656, 'nepal': 1.623, 'kabru': 1.574, 'meadow': 1.393, 'ecoregion': 1.344, 'guran': 1.344, 'stepp': 1.295}",word2vec.topn3,0.2364,countries himalayan mountain system extend nations countires coutries himalayas himalaya hill sytem system  expand,termluster.topn5.3.bm25,0.2173,countries himalayan mountain system extend mountain himalaya list himalayan himalaya list,wiki.topn3,0.1918,countries himalayan mountain system extend independence nationality society Nation mountain ranges of tibet mountain ranges of nepal mountain ranges of pakistan Himalayas mountain ranges of tibet mountain ranges of nepal mountain ranges of pakistan Himalayas mountains geography terminology glacier Mountain mountain ranges massif mountain templates Mountain range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-9,Give me a list of all trumpet players that were bandleaders,0.292,9,conceptluster.topn5.3.bm25,0.5474,give list trumpet players bandleaders a list trumpet bandleader give,thesaurus.topn3,0.5153,give list trumpet players bandleaders,anchor.topn3,0.5153,give list trumpet players bandleaders,thesaurus.topn3.replace,0.5153,give list trumpet players bandleaders,anchor.topn3.replace,0.5153,give list trumpet players bandleaders,tagmee.topn3,0.4939,give list trumpet players bandleaders Give In to Me A list A list Trumpet Bandleader,sensedisambiguation,0.3621,Give yield me a list tilt of all trumpet cornet players player that were bandleaders bandleader,termluster.topn5.3.bm25,0.3452,give list trumpet players bandleaders bandlead song album trumpet song perform,stem.paicehusk,0.3031,giv me a list of al trumpet play that wer bandlead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-11,Who is the Formula   race driver with the most races,0.0122,7,tagmee.topn3.replace,0.4833,Sean Parnell Governor of California U S  state,wiki.topn3.replace,0.3624,alaska gubernatorial election       alaska gubernatorial election       united states senatelection in alaska       Sean Parnell state constitutional officers of california lieutenant governor of california california stattreasurer Governor of California country subdivisions of the americas west virginia west virginia U S  state,termluster.topn5.3.bm25,0.0682,formula   race driver races championship driver race championship driver formula championship formula race three prix grand,rm3.topn10.10.0.5.bm25,0.0179,formula grand prix driver most team championship car   brisca stock race who,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0166,"{'most': 2, 'with': 2, 'driver': 2, 'race': 2, '1': 2, 'formula': 2, 'the': 2, 'is': 2, 'who': 2, '0': 2.0, 'ori': 1.085, 'agenc': 1.075, 'fund': 1.063, 'file': 1.063, 'ncic': 1.052, 'hors': 1.042, 'licens': 1.038, 'respons': 1.037, 'cib': 1.034, 'purpos': 1.03}",wiki.topn3,0.0153,formula   race driver races racing formulas formula racing series formula one Formula One      abu dhabi grand prix      bahrain grand prix      korean grand prix      Bahrain Grand Prix auto racing sports car racing kart racing Auto racing auto racing sports car racing kart racing Auto racing,relevancefeedback.topn10.bm25,0.0136,who is the formula   race driver with the most races  grand car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
