qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13
123,von willebrand disease ,0.2889,3,termluster.topn5.3.qld.rm3,0.3146,von willebrand disease bleed blood caus bleed blood caus women willebrand well ,thesaurus.topn3,0.2917,von willebrand disease    Cancer bug ,thesaurus.topn3.replace,0.2892,von willebrand  Cancer bug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,bowflex power pro ,0.0662,2,tagmee.topn3,0.0712,bowflex power pro Bowflex ,conceptluster.topn5.3.qld.rm3,0.0712,bowflex power pro bowflex ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,butter and margarine ,0.1335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,us capitol map ,0.002,4,thesaurus.topn3,0.1,us capitol map  America Columbia  center dome  design drawing ,thesaurus.topn3.replace,0.05, America Columbia  center dome  design drawing ,wordnet.topn3,0.0043,us capitol map uracil U uranium Capitol Building function map out ,docluster.topn10.3.qld.rm3,0.0029,us capitol map charl address washington ,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,dutchess county tourism ,0.3224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,atypical squamous cells ,0.0728,5,thesaurus.topn3,0.1645,atypical squamous cells  abnormal anomalous   bacterium egg ,docluster.topn10.3.qld.rm3,0.1547,atypical squamous cells cell test ,sensedisambiguation,0.1516,atypical squamous cells cellular telephone ,termluster.topn5.3.qld.rm3,0.1427,atypical squamous cells unit tissu time biopsi cancer caus type treatment system ,sensedisambiguation.replace,0.1263,atypical squamous cellular telephone ,,,,,,,,,,,,,,,,,,,,,,,,
129,iowa food stamp program ,0.0013,5,tagmee.topn3,0.0028,iowa food stamp program Iowa Supplemental Nutrition Assistance Program ,conceptluster.topn5.3.qld.rm3,0.0028,iowa food stamp program supplemental nutrition assistance program iowa ,termluster.topn5.3.qld.rm3,0.0019,iowa food stamp program depart offic program depart food offic depart food offic ,relevancefeedback.topn10.qld.rm3,0.0017,iowa food stamp program depart state ,docluster.topn10.3.qld.rm3,0.0017,iowa food stamp program state depart ,,,,,,,,,,,,,,,,,,,,,,,,
130,fact on uranus ,0.2476,1,docluster.topn10.3.qld.rm3,0.2701,fact on uranus planet uranu interest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,equal opportunity employer ,0.0077,2,stem.porter2,0.012,equal opportun employ ,conceptnet.topn3,0.0103,equal opportunity employer math chance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,mothers day songs ,0.0115,2,sensedisambiguation.replace,0.0953,mother day sung ,sensedisambiguation,0.0615,mothers mother day songs sung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,all men are created equal ,0.0469,4,wiki.topn3,0.2036,men created equal life  liberty and thpursuit of happiness virginia declaration of rights an act for thgradual abolition of slavery All men are created equal ,termluster.topn5.3.qld.rm3,0.1854,men created equal american creat equal year state right american creat free ,wiki.topn3.replace,0.1778,life  liberty and thpursuit of happiness virginia declaration of rights an act for thgradual abolition of slavery All men are created equal ,stem.porter,0.0571,all men ar creat equal ,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,electronic skeet shoot ,0.0015,3,wiki.topn3.replace,0.0209,spaccavern spacechase demon attack Skeet Shoot ,conceptnet.topn3.replace,0.0022,electronic skeet kill ,wiki.topn3,0.0019,electronic skeet shoot spaccavern spacechase demon attack Skeet Shoot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,source of the nile ,0.0018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,american military university ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,rock and gem shows ,0.1141,1,relevancefeedback.topn10.qld.rm3,0.1247,rock and gem shows show    miner ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,jax chemical company ,0.0488,1,sensedisambiguation.replace,0.4821,jax chemical ship s company ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,rocky mountain news ,0.0273,5,wiki.topn3.replace,0.1114,defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,wiki.topn3,0.1007,rocky mountain news defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,relevancefeedback.topn10.qld.rm3,0.0477,rocky mountain news rocki new ,sensedisambiguation,0.0327,rocky rough mountain news newsworthiness ,docluster.topn10.3.qld.rm3,0.0282,rocky mountain news rocki ,,,,,,,,,,,,,,,,,,,,,,,,
140,east ridge high school ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,va dmv registration ,0.0926,2,sensedisambiguation,0.1112,va virginia dmv registration ,sensedisambiguation.replace,0.1112,virginia dmv registration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,illinois state tax ,0.0383,3,wiki.topn3,0.1132,illinois state tax illinois county seats in illinois chicago Illinois original jurisdiction resolution  law  united states administrativlaw State government standard deduction     k  clayton antitrust act Taxation in the United States ,tagmee.topn3,0.1036,illinois state tax Illinois State government Taxation in the United States ,conceptluster.topn5.3.qld.rm3,0.1036,illinois state tax taxation united states illinois state government ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,arkadelphia health club ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,trombone for sale ,0.0511,1,conceptnet.topn3,0.0652,trombone sale discount price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,vines for shade ,0.1212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,sherwood regional library ,0.048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,tangible personal property tax ,0.2934,2,conceptluster.topn5.3.qld.rm3,0.3089,tangible personal property tax property tax personal property ,tagmee.topn3,0.3038,tangible personal property tax Personal property Property tax Property tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,martha stewart and imclone ,0.2111,6,glove.topn3,0.3089,martha stewart imclone stewart lehf campbell payne waksal genentech ,wiki.topn3,0.2803,martha stewart imclone money  magazine  amanda hesser brandweek Martha Stewart health maintenancorganization corporatraid pharmaceutical research and manufacturers of america ImClone Systems ,wiki.topn3.replace,0.2799,money  magazine  amanda hesser brandweek Martha Stewart health maintenancorganization corporatraid pharmaceutical research and manufacturers of america ImClone Systems ,stem.lovins,0.2681,marth stewart and imclon ,stem.paicehusk,0.2681,marth stewart and imclon ,glove.topn3.replace,0.2491,stewart lehf campbell payne waksal genentech ,,,,,,,,,,,,,,,,,,,,,
149,uplift at yellowstone national park ,0.2168,2,word2vec.topn3.replace,0.2661,uplift yosemite supervolcano super volcano regional international local parkland ,word2vec.topn3,0.243,uplift yellowstone national park yosemite supervolcano super volcano regional international local parkland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,tn highway patrol ,0.0046,4,thesaurus.topn3,0.0076,tn highway patrol   artery avenue  garrison vigilance ,conceptnet.topn3,0.006,tn highway patrol Tennessee bn mtl ,sensedisambiguation,0.0051,tn tennessee highway patrol ,word2vec.topn3,0.0048,tn highway patrol mn Tn tennessee roadway road ,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,   b ,0.0,7,docluster.topn10.3.qld.rm3,0.0765,   b plan contribut ,wiki.topn3,0.0438,   b     plan federal employees retirement system roth     k      b  ,word2vec.topn3,0.023,   b participant directed retirement savings ,relevancefeedback.topn10.qld.rm3,0.0142,   b plan roth loan contribut tax you ,wiki.topn3.replace,0.0136,    plan federal employees retirement system roth     k      b  ,termluster.topn5.3.qld.rm3,0.0123,   b account contribut distribut ,word2vec.topn3.replace,0.0014,participant directed retirement savings ,,,,,,,,,,,,,,,,,,
152,angular cheilitis ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono ,0.3067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs ,0.0402,1,wordnet.topn3,0.1154,figs Ficus carica Libyan Islamic Fighting Group ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting ,0.2123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix ,0.0912,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band ,0.0619,11,tagmee.topn3,0.3767,beatles rock band The Beatles  album  The Beatles  Rock Band ,conceptluster.topn5.3.qld.rm3,0.3767,beatles rock band beatles   rock band beatles album ,relevancefeedback.topn10.qld.rm3,0.3655,the beatles rock band beatl ,tagmee.topn3.replace,0.2935,The Beatles  album  The Beatles  Rock Band ,glove.topn3,0.2268,beatles rock band lennon mccartney band pop album ,wiki.topn3,0.2089,beatles rock band a hard day s night  album  rubber soul pleaspleasme The Beatles  album  list of songs in thbeatles  rock band thbeatles  thoriginal studio recordings  thbeatles in mono The Beatles  Rock Band ,wiki.topn3.replace,0.1653,a hard day s night  album  rubber soul pleaspleasme The Beatles  album  list of songs in thbeatles  rock band thbeatles  thoriginal studio recordings  thbeatles in mono The Beatles  Rock Band ,glove.topn3.replace,0.1501,lennon mccartney band pop album ,sensedisambiguation,0.0962,the beatles rock band set ,stem.lovins,0.077,th beatl rock band ,sensedisambiguation.replace,0.0625,the beatles rock set ,,,,,,
158,septic system design ,0.4196,1,termluster.topn5.3.qld.rm3,0.4261,septic system design absorpt altern articl absorpt altern articl absorpt altern articl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville ,0.3567,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,grilling ,0.0146,2,wiki.topn3,0.0268,grilling seasoning deep frying condiment Grilling ,conceptnet.topn3,0.016,grilling cooking a good way too cook ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces ,0.0394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr ,0.0183,1,conceptnet.topn3,0.1415,dnr medicine living will ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas ,0.0309,3,conceptnet.topn3,0.1069,arkansas a state ,wordnet.topn3,0.0489,arkansas AR Arkansas River Land of Opportunity ,wiki.topn3,0.0411,arkansas arkansas oklahoma tennessee Arkansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores ,0.0347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird ,0.0019,3,relevancefeedback.topn10.qld.rm3,0.0021,blue throated hummingbird genu imag ,sensedisambiguation,0.002,blue bluing throated hummingbird ,conceptnet.topn3.replace,0.002,color sky colour necked hummingbird ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,computer programming ,0.003,2,word2vec.topn3,0.0082,computer programming software programmers ,sensedisambiguation,0.0031,computer programming program ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,barbados ,0.0197,2,wiki.topn3.replace,0.0922,islands of barbados barbados saint lucia Barbados ,wiki.topn3,0.0831,barbados islands of barbados barbados saint lucia Barbados ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma ,0.3293,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war ,0.0951,9,thesaurus.topn3.replace,0.2399, action assault civil  battle bloodshed ,termluster.topn5.3.qld.rm3,0.1763,battles civil war war union timelin american battl book american battl book ,stem.lovins,0.14300000000000002,battl in th civil war ,thesaurus.topn3,0.1294,battles civil war  action assault   battle bloodshed ,anchor.topn3.replace,0.1215,battles eforia ordinance  spitalelor war theori wars      jeanlucjosset ,word2vec.topn3,0.109,battles civil war skirmishes fights rights era civl conflict ,conceptnet.topn3,0.0955,battles civil war battle ,relevancefeedback.topn10.qld.rm3,0.0955,battles in the civil war battl ,docluster.topn10.3.qld.rm3,0.0955,battles in the civil war battl ,,,,,,,,,,,,
170,scooters ,0.0051,2,sensedisambiguation.replace,0.0398,water scooter ,sensedisambiguation,0.0121,scooters water scooter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ron howard ,0.1311,1,termluster.topn5.3.qld.rm3,0.1414,ron howard howard new profil new ron profil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal ,0.2704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,hip fractures ,0.3324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,rock art ,0.0176,4,wiki.topn3,0.1287,rock art cavpainting petroglyph caves containing pictograms Rock art ,wiki.topn3.replace,0.1193,cavpainting petroglyph caves containing pictograms Rock art ,sensedisambiguation,0.0387,rock art artwork ,conceptnet.topn3,0.0184,rock art music stone painting paint paintings ,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,signs of a heartattack ,0.0323,8,termluster.topn5.3.qld.rm3,0.1002,signs heartattack warn treatment symptom attack heart symptom ,tagmee.topn3,0.0846,signs heartattack Medical sign Myocardial infarction ,conceptluster.topn5.3.qld.rm3,0.0846,signs heartattack myocardial infarction medical sign ,tagmee.topn3.replace,0.0792,Medical sign Myocardial infarction ,stem.trunc5,0.0745,signs of a heart ,docluster.topn10.3.qld.rm3,0.0605,signs of a heartattack heart ,glove.topn3,0.0526,signs heartattack indicating ,relevancefeedback.topn10.qld.rm3,0.0451,signs of a heartattack heart song ,,,,,,,,,,,,,,,
176,weather strip ,0.0004,4,tagmee.topn3.replace,0.5274,Weatherstripping ,tagmee.topn3,0.0905,weather strip Weatherstripping ,conceptluster.topn5.3.qld.rm3,0.0905,weather strip weatherstripping ,termluster.topn5.3.qld.rm3,0.0027,weather strip strip door weather door ,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,best long term care insurance ,0.0174,6,sensedisambiguation,0.1185,best better long term terminus care concern insurance policy ,wordnet.topn3,0.118,best long term care insurance dear near skillful yearn tenacious full term terminal figure terminus wish forethought tending insurance policy indemnity ,stem.trunc4,0.0685,best long term care insu ,tagmee.topn3.replace,0.0319,Long term care insurance ,tagmee.topn3,0.0256,best long term care insurance Long term care insurance ,conceptluster.topn5.3.qld.rm3,0.0256,best long term care insurance long term care insurance ,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin ,0.0306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history ,0.0132,1,docluster.topn10.3.qld.rm3,0.023,black history histori ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels ,0.0046,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,old coins ,0.0136,3,anchor.topn3,0.0182,old coins neredmet old timonu  old ,anchor.topn3.replace,0.0158,neredmet old timonu  old coins ,conceptnet.topn3,0.0144,old coins age record ancient change money small metal disks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,quit smoking ,0.1285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,kansas city mo ,0.0047,12,wiki.topn3.replace,0.3018,kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,wiki.topn3,0.2578,kansas city mo kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,tagmee.topn3.replace,0.0883,Kansas Kansas City  Missouri ,wordnet.topn3.replace,0.0653,Sunflower State Kaw River metropolis urban center bit Show Me State minute ,conceptnet.topn3,0.0475,kansas city mo the United States Dodge City capital town Missouri molybdenum ,sensedisambiguation.replace,0.0313,kansa city moment ,tagmee.topn3,0.0258,kansas city mo Kansas Kansas City  Missouri ,conceptluster.topn5.3.qld.rm3,0.0258,kansas city mo kansas city missouri kansas ,wordnet.topn3,0.0182,kansas city mo Kaw River urban center metropolis bit Mo minute ,relevancefeedback.topn10.qld.rm3,0.0159,kansas city mo citi kansa ,sensedisambiguation,0.0073,kansas kansa city mo moment ,docluster.topn10.3.qld.rm3,0.0073,kansas city mo kansa ,,,
184,civil right movement ,0.1455,10,tagmee.topn3.replace,0.3365,Civil and political rights Freedom of movement ,wiki.topn3,0.2988,civil right movement rights civil liberties anti racism Civil and political rights united nations charter freedom of assembly territorial integrity Freedom of movement ,wiki.topn3.replace,0.231,rights civil liberties anti racism Civil and political rights united nations charter freedom of assembly territorial integrity Freedom of movement ,thesaurus.topn3,0.2263,civil right movement   appropriate good  act action ,tagmee.topn3,0.2085,civil right movement Civil and political rights Freedom of movement ,conceptluster.topn5.3.qld.rm3,0.2085,civil right movement freedom movement civil political rights ,termluster.topn5.3.qld.rm3,0.1929,civil right movement america book citi america book citi african american effect ,word2vec.topn3.replace,0.1857,rights era civl wrong right  movment ,word2vec.topn3,0.1765,civil right movement rights era civl wrong right  movment ,sensedisambiguation,0.1503,civil right right field movement drift ,,,,,,,,,
185,credit report ,0.0157,1,thesaurus.topn3,0.0198,credit report  attention acclaim  address announcement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,unc ,0.0497,2,anchor.topn3,0.1085,unc  unc   spartans   shore lij ,termluster.topn5.3.qld.rm3,0.1038,unc list state print ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,vanuatu ,0.1002,5,wordnet.topn3,0.3877,vanuatu Republic of Vanuatu New Hebrides ,wordnet.topn3.replace,0.371,New Hebrides Republic of Vanuatu ,wiki.topn3,0.287,vanuatu vanuatu samoa palau Vanuatu ,conceptnet.topn3,0.2868,vanuatu New Hebrides ,termluster.topn5.3.qld.rm3,0.1207,vanuatu c bc lone photo ,,,,,,,,,,,,,,,,,,,,,,,,
188,internet phone service ,0.0033,2,thesaurus.topn3,0.0038,internet phone service  WWW cyberspace  call up contact  account assistance ,sensedisambiguation,0.0037,internet phone telephone service servicing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate ,0.0108,1,sensedisambiguation,0.0181,gs thousand pay wage rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance ,0.0894,2,relevancefeedback.topn10.qld.rm3,0.1794,brooks brothers clearance brook off cash brother coupon price ,docluster.topn10.3.qld.rm3,0.1441,brooks brothers clearance brook brother coupon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,churchill downs ,0.0876,1,relevancefeedback.topn10.qld.rm3,0.0879,churchill downs churchil down derbi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida ,0.0247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,dog clean up bags ,0.0825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,designer dog breeds ,0.8921,1,sensedisambiguation,0.8935,designer interior designer dog breeds breed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers ,0.0096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sore throat ,0.1866,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower ,0.0263,10,wiki.topn3,0.1008,idaho state flower idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,wiki.topn3.replace,0.0833,idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,conceptnet.topn3,0.0821,idaho state flower ID United States plant An iris ,tagmee.topn3,0.0769,idaho state flower Idaho Floral emblem ,conceptluster.topn5.3.qld.rm3,0.0769,idaho state flower idaho floral emblem ,sensedisambiguation,0.0719,idaho state state of matter flower ,termluster.topn5.3.qld.rm3,0.0712,idaho state flower flower california mountain state california mountain ,wordnet.topn3,0.0663,idaho state flower Gem State ID tell land express flush efflorescence prime ,stem.trunc5,0.0561,idaho state flowe ,thesaurus.topn3,0.0545,idaho state flower   case accompaniment  blossom herb ,,,,,,,,,
198,indiana state fairgrounds ,0.1975,2,docluster.topn10.3.qld.rm3,0.2023,indiana state fairgrounds fairground skate ,relevancefeedback.topn10.qld.rm3,0.2007,indiana state fairgrounds fairground skate coliseum chapter live ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia ,0.0148,4,tagmee.topn3.replace,0.2035,Fibromyalgia ,tagmee.topn3,0.2034,fybromyalgia Fibromyalgia ,conceptluster.topn5.3.qld.rm3,0.2034,fybromyalgia fibromyalgia ,wiki.topn3.replace,0.0326,urinary incontinence chronic pain comorbidity Fibromyalgia ,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ontario california airport ,0.1644,2,thesaurus.topn3,0.3036,ontario california airport   Bear Flag State Cal  airfield airstrip ,thesaurus.topn3.replace,0.2889,ontario  Bear Flag State Cal  airfield airstrip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
