qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
108,ralph owen brewster ,0.5202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,mayo clinic jacksonville fl ,0.0021,7,onfields.topn3.10.1.0.bm25,0.0047,"{'clinic': 2, 'fl': 2, 'mayo': 2, 'jacksonvil': 2, 'job': 2.0, 'nurs': 1.283, 'arizona': 1.226, 'az': 1.214, 'minnesota': 1.188, 'mn': 1.181, 'transplant': 1.061, 'var': 1.031} ",tagmee.topn3.replace,0.0036,Mayo Clinic Jacksonville  Florida ,thesaurus.topn3,0.0031,mayo clinic jacksonville fl   hospital dispensary   ,tagmee.topn3,0.0031,mayo clinic jacksonville fl Mayo Clinic Jacksonville  Florida ,conceptluster.topn5.3.bm25,0.0031,mayo clinic jacksonville fl jacksonville florida mayo clinic ,termluster.topn5.3.bm25,0.0027,mayo clinic jacksonville fl clinic jacksonvil florida jacksonvil mayo florida room mayo florida ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0026,"{'jacksonvil': 2, 'clinic': 2, 'mayo': 2, 'fl': 2, 'health': 1.557, 'center': 1.363, 'ave': 1.27, 'depart': 1.268, 'ohrp': 1.068, 'okeechobe': 1.019, 'counti': 1.0} ",,,,,,,,,,,,,,,
110,map of brazil ,0.064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,lymphoma in dogs ,0.345,1,bertqe.topn10.bm25,0.3466,"{'lymphoma in dogs': 1.5, 'dogs  br   br  lymphoma  lymphosarcoma nonhodgkin s lymphoma ': 1.0, 'lymphoma dog  div   div ': 0.5555555555555556, 'dogs  canine lymphoma  lymphosarcoma': 0.4444444444444444, 'dogs   edit  a    span   span class  mwheadline   lymphoma': 0.33333333333333337, 'name  lymphomaindogs  id  lymphomaindogs    a   p   h2   span class  editsection     href  windexphp  titlelymphomainanimals  amp  actionedit  amp  section1 ': 0.33333333333333337} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,kenmore gas water heater ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hp mini      ,0.0008,4,bertqe.topn10.bm25,0.0063,"{'hp mini 2140': 1.5, 'mini 2140  a    href  http  wwwitechnewsnettaghpmininote2140  rel  tag   hp': 1, 'hp mini 2140 integrates innovative': 1, '2140  a    href  http  wwwmydigitallifeinfo20090108newhpmini2140notebookpcfeaturing101scratchresistanthpillumiliteleddisplay  title    hp': 1, 'mininote 2140  a    href  http  wwwitechnewsnettaghpnetbook  rel  tag   hp': 1, '2140 available  a    href  http  wwwmydigitallifeinfo20090108newhpmini2140notebookpcfeaturing101scratchresistanthpillumiliteleddisplay ': 1} ",termluster.topn5.3.bm25,0.0046,hp mini      new review netbook ,onfields.topn3.10.1.0.bm25,0.0022,"{'2140': 2, 'mini': 2, 'hp': 2, '1000': 1.365, 'mininot': 1.27, 'netbook': 1.257, '2133': 1.183, 'eee': 1.106, 'asu': 1.102, 'vivienn': 1.083, 'cpu': 1.068, 'c7m': 1.046} ",adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0018,"{'2140': 2, 'mini': 2, 'hp': 2, 'nvlap': 2.0, 'accredit': 1.75, 'dosimet': 1.464, 'nvlapnistgov': 1.286, '16c': 1.25, '50a2140': 1.214, '9754016': 1.143, 'hps1332': 1.107, '50a1145': 1.107, 'xtermin': 1.071, 'dosimetri': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,
114,adobe indian houses ,0.02,2,bertqe.topn10.bm25,0.1306,"{'adobe indian houses': 1.5, 'home indian adobe': 1.0, 'adobe house complexes ancestors': 0.9481481481481483, 'pueblos  a   b   i   font   br   br  adobe houses': 0.8962962962962964, 'src  woodbeadgif      u   name  pueblo   adobe houses  a   u   i   h3   b  adobe houses  b ': 0.8666666666666667, 'american indian houses': 0.8} ",wiki.topn3,0.0264,adobe indian houses buildings and structures by construction material adobe buildings and structures pueblos Adobe indigenous peoples in the united states native american topics native american history Native Americans in the United States houses residential area building House ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,pacific northwest laboratory ,0.1256,1,termluster.topn5.3.bm25,0.25,pacific northwest laboratory washington view system laboratori nation pacif washington view system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,california franchise tax board ,0.1485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,dangers of asbestos ,0.1452,3,relevancefeedback.topn10.bm25,0.1642,dangers of asbestos asbesto ,docluster.topn10.3.bm25,0.1642,dangers of asbestos asbesto ,onfields.topn3.10.1.0.bm25,0.1564,"{'of': 2, 'danger': 2, 'asbesto': 2, 'mesothelioma': 1.372, 'that': 1.324, 'diseas': 1.223, 'zoom': 1.149, 'lung': 1.122, 'diagnos': 1.122, 'asbestosrel': 1.064, 'pub9444658407288485': 1.021, 'googleadcli': 1.021} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
118,poem in your pocket day ,0.129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,interview thank you ,0.1357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,tv on computer ,0.0367,3,tagmee.topn3,0.1318,tv computer Television Computer ,conceptluster.topn5.3.bm25,0.1318,tv computer television computer ,glove.topn3,0.0403,tv computer television broadcast software ,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,sit and reach test ,0.1183,1,termluster.topn5.3.bm25,0.1189,sit reach test measur reach test measur sit test measur reach sit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,culpeper national cemetery ,0.1238,1,anchor.topn3,0.24,culpeper national cemetery sozialisten national noodzaak paris  span  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,von willebrand disease ,0.2491,1,termluster.topn5.3.bm25,0.2497,von willebrand disease blood caus diseas blood caus diseas willebrand von type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,bowflex power pro ,0.0549,3,tagmee.topn3,0.07,bowflex power pro Bowflex ,conceptluster.topn5.3.bm25,0.07,bowflex power pro bowflex ,bertqe.topn10.bm25,0.068,"{'bowflex power pro': 1, 'bowflex xtlu power pro ': 1, 'pro bowflex power xtl  br ': 1, 'bowflex schwinn xlt power pro': 1, 'bowflex power pro xl  xtl': 1} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
125,butter and margarine ,0.1243,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,us capitol map ,0.0006,6,thesaurus.topn3,0.2,us capitol map  America Columbia  center dome  design drawing ,thesaurus.topn3.replace,0.1, America Columbia  center dome  design drawing ,wordnet.topn3,0.003,us capitol map uracil U uranium Capitol Building function map out ,tagmee.topn3,0.0027,us capitol map Washington  D C  ,conceptluster.topn5.3.bm25,0.0027,us capitol map washington d c ,glove.topn3,0.001,us capitol map u s  u s lobby                                              ,,,,,,,,,,,,,,,,,,
127,dutchess county tourism ,0.2847,3,rm3.topn10.10.0.5.bm25,0.3095,colleg vallei tourism counti dutchess tour dct hudson     poughkeepsi ,tagmee.topn3,0.2931,dutchess county tourism Dutchess County  New York ,conceptluster.topn5.3.bm25,0.2931,dutchess county tourism dutchess county new york ,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,atypical squamous cells ,0.056,5,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.117,"{'cell': 2, 'atyp': 2, 'squamou': 2, 'cervic': 2.0, 'pap': 1.83, 'cin': 1.686, 'smear': 1.515, 'abnorm': 1.423, 'lesion': 1.351, 'endocerv': 1.232, 'diseas': 1.201, 'intraepitheli': 1.175, 'colposcopi': 1.036} ",thesaurus.topn3,0.1059,atypical squamous cells  abnormal anomalous   bacterium egg ,docluster.topn10.3.bm25,0.0771,atypical squamous cells squamou cervic ,sensedisambiguation,0.0622,atypical squamous cells cellular telephone ,sensedisambiguation.replace,0.058,atypical squamous cellular telephone ,,,,,,,,,,,,,,,,,,,,,
129,iowa food stamp program ,0.0134,2,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0213,"{'program': 2, 'stamp': 2, 'food': 2, 'iowa': 2, 'selectedbenefit': 2.0, 'isatleastoneselect': 1.12, 'abawd': 1.105, 'leaver': 1.093, 'getel': 1.083, 'icheck': 1.08, 'elementslength': 1.042, 'checkeligibilitydo': 1.04, 'elementcheck': 1.04, 'eligibilitycriteriado': 1.04, 'gobenefitreportdo': 1.04} ",termluster.topn5.3.bm25,0.0147,iowa food stamp program depart food human depart human iowa depart food human depart food human ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,fact on uranus ,0.2831,1,docluster.topn10.3.bm25,0.2974,fact on uranus planet uranu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,equal opportunity employer ,0.0144,2,relevancefeedback.topn10.bm25,0.05,equal opportunity employer employ opportun ,stem.porter2,0.0192,equal opportun employ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,mothers day songs ,0.05,5,sensedisambiguation,0.0963,mothers mother day songs sung ,docluster.topn10.3.bm25,0.0842,mothers day songs dai i ,sensedisambiguation.replace,0.0742,mother day sung ,termluster.topn5.3.bm25,0.0652,mothers day songs song mom idea mother mom idea ,rm3.topn10.10.0.5.bm25,0.056,thank pami lyric dai she mom mother durlei idea mommi song ,,,,,,,,,,,,,,,,,,,,,
133,all men are created equal ,0.0667,1,rm3.topn10.10.0.5.bm25,0.1424,creat all declar jefferson independ thoma born philip men phrase equal women ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,electronic skeet shoot ,0.0057,1,termluster.topn5.3.bm25,0.0078,electronic skeet shoot free shoot home free skeet home ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,source of the nile ,0.0091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,american military university ,0.0009,4,tagmee.topn3,0.0059,american military university American Public University System ,conceptluster.topn5.3.bm25,0.0059,american military university american public university system ,onfields.topn3.10.1.0.bm25,0.0039,"{'american': 2, 'militari': 2, 'univers': 2, '0033': 1.178, 'liber': 1.172, 'degre': 1.144, 'amu': 1.063, 'microscann': 1.052, 'studiesunivers': 1.029, 'miitari': 1.0, 'militaryfriendli': 1.0} ",rm3.topn10.10.0.5.bm25,0.0025,colleg univers amu bachelor histor american war polit militari liber institut degre ,,,,,,,,,,,,,,,,,,,,,,,,
137,rock and gem shows ,0.1441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,jax chemical company ,0.3109,3,onfields.topn3.10.1.0.bm25,0.5287,"{'compani': 2, 'chemic': 2, 'jax': 2, 'solut': 1.333, 'polish': 1.296, 'metal': 1.259, 'finish': 1.259, 'authent': 1.148, 'patina': 1.148, 'guarante': 1.074, 'nonflamm': 1.074, 'waterbas': 1.074} ",termluster.topn5.3.bm25,0.4149,jax chemical company solut ,sensedisambiguation.replace,0.3708,jax chemical ship s company ,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,rocky mountain news ,0.0303,2,wiki.topn3,0.2251,rocky mountain news defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,wiki.topn3.replace,0.2126,defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,east ridge high school ,0.0312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,va dmv registration ,0.0715,4,sensedisambiguation.replace,0.1844,virginia dmv registration ,rm3.topn10.10.0.5.bm25,0.1407,va plate driver dmv commonwealth obtain drive virginia vehicl registr ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0918,"{'registr': 2, 'vehicl': 2.0, 'va': 2, 'dmv': 2, 'plate': 1.312, 'leas': 1.258, 'licens': 1.172, 'bname': 1.065, 'bver': 1.065, 'documentimgnamesrc': 1.043, 'evalimgnam': 1.043, 'documentsearchsrchvalu': 1.043} ",stem.lovins,0.0806,va dmv register ,,,,,,,,,,,,,,,,,,,,,,,,
142,illinois state tax ,0.0574,2,bertqe.topn10.bm25,0.1272,"{'illinois state tax': 1.5, 'tax 1040 state illinois': 1.0, 'state illinois free tax': 0.8979591836734693, 'state illinois income tax': 0.8367346938775511, 'illinois property tax state': 0.6938775510204082, 'illinois inheritance tax state': 0.673469387755102} ",wiki.topn3,0.0651,illinois state tax illinois county seats in illinois chicago Illinois original jurisdiction resolution  law  united states administrativlaw State government standard deduction     k  clayton antitrust act Taxation in the United States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,arkadelphia health club ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,trombone for sale ,0.1356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,vines for shade ,0.1272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,sherwood regional library ,0.1168,3,onfields.topn3.10.1.0.bm25,0.2412,"{'region': 2, 'uw': 2.0, 'librari': 2, 'sherwood': 2, 'branch': 1.606, 'databas': 1.485, 'endedit': 1.424, 'beginedit': 1.424, 'kk': 1.333, 'fcpl': 1.273, 'pleas': 1.242, 'httpwwww3orgtrxhtml1dtdxhtml1transitionaldtd': 1.091} ",docluster.topn10.3.bm25,0.1697,sherwood regional library librari ,termluster.topn5.3.bm25,0.168,sherwood regional library librari region servic sherwood servic librari sherwood servic region ,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,tangible personal property tax ,0.2914,2,tagmee.topn3,0.3098,tangible personal property tax Personal property Property tax Property tax ,conceptluster.topn5.3.bm25,0.3087,tangible personal property tax property tax personal property ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,martha stewart and imclone ,0.264,2,rm3.topn10.10.0.5.bm25,0.2744,sell imclon martha charg bacanov she trial stock waksal stewart ,wordnet.topn3.replace,0.2659,martha Dugald Stewart Jimmy Stewart imclone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,uplift at yellowstone national park ,0.1579,3,word2vec.topn3,0.2574,uplift yellowstone national park yosemite supervolcano super volcano regional international local parkland ,relevancefeedback.topn10.bm25,0.181,uplift at yellowstone national park yellowston ,docluster.topn10.3.bm25,0.181,uplift at yellowstone national park yellowston ,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,tn highway patrol ,0.01,7,relevancefeedback.topn10.bm25,0.0208,tn highway patrol state offic safeti      ,tagmee.topn3,0.0139,tn highway patrol Tennessee Highway patrol ,conceptluster.topn5.3.bm25,0.0139,tn highway patrol tennessee highway patrol ,termluster.topn5.3.bm25,0.0132,tn highway patrol highwai offic servic ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0114,"{'highway': 2, 'patrol': 2, 'tn': 2, 'licens': 2.0, 'driver': 1.691, 'tennesse': 1.65, 'renew': 1.512, 'handgun': 1.268, 'divis': 1.22, 'dept': 1.195, 'respons': 1.122, 'tennesseegov': 1.081} ",sensedisambiguation,0.0109,tn tennessee highway patrol ,docluster.topn10.3.bm25,0.0104,tn highway patrol safeti ,,,,,,,,,,,,,,,
151,   b ,0.0,11,bertqe.topn10.bm25,0.1097,"{'403b': 1.5, 'b 64117  b': 1.0, '452620  b b bcb b': 0.2483262325015218, '452912  b b bc b': 0.22215459525258682, '452614  ba b b': 0.1448569689592209, '452042  b b c bb': 0.12964090079123558} ",adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.097,"{'in': 2.0, '403b': 2, 'hous': 1.081, 'usc': 1.056, 'newsbulletin': 1.038, 'compens': 1.031, 'costofliv': 1.025, 'taxdef': 1.025, 'nonhous': 1.025, 'highcost': 1.019, 'vc4': 1.012} ",termluster.topn5.3.bm25,0.0798,   b contribut monei plan ,onfields.topn3.10.1.0.bm25,0.0397,"{'403b': 2, 'b': 2.0, 'c': 1.063, 'bb': 1.05, 'bournemouth': 1.048, 'bbbournemouth': 1.012, 'hous': 1.003, '1202': 1.002, 'homestay': 1.001, '01202': 1.001, 'pppn': 1.001, 'bbextern': 1.001} ",wiki.topn3,0.0264,   b     plan federal employees retirement system roth     k      b  ,wiki.topn3.replace,0.0187,    plan federal employees retirement system roth     k      b  ,word2vec.topn3,0.0127,   b participant directed retirement savings ,relevancefeedback.topn10.bm25,0.0077,   b loan contribut download roth tax ,word2vec.topn3.replace,0.0057,participant directed retirement savings ,rm3.topn10.10.0.5.bm25,0.0052,monei    k    b rule retir roth distribut ira contribut loan ,docluster.topn10.3.bm25,0.0004,   b roth download ,,,
152,angular cheilitis ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono ,0.2945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs ,0.0419,1,wordnet.topn3,0.0985,figs Ficus carica Libyan Islamic Fighting Group ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting ,0.1891,2,rm3.topn10.10.0.5.bm25,0.2823,paint christ supper leonardo last apostl tour da jesu juda vinci ,onfields.topn3.10.1.0.bm25,0.241,"{'last': 2, 'da': 2.0, 'paint': 2, 'supper': 2, 'leonardo': 1.728, 'vinci': 1.584, 'var': 1.331, 'jesu': 1.28, 'apostl': 1.132, '20090208': 1.054, 'typetextcss': 1.043, 'relstylesheet': 1.043} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix ,0.1267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band ,0.1152,9,termluster.topn5.3.bm25,0.3274,beatles rock band top titl rock beatl music new georg love paul ,tagmee.topn3.replace,0.2089,The Beatles  album  The Beatles  Rock Band ,tagmee.topn3,0.2033,beatles rock band The Beatles  album  The Beatles  Rock Band ,conceptluster.topn5.3.bm25,0.2033,beatles rock band beatles   rock band beatles album ,glove.topn3,0.1971,beatles rock band lennon mccartney band pop album ,docluster.topn10.3.bm25,0.1426,the beatles rock band game beatl ,glove.topn3.replace,0.1412,lennon mccartney band pop album ,relevancefeedback.topn10.bm25,0.1404,the beatles rock band beatl game    carducci ,sensedisambiguation,0.1185,the beatles rock band set ,,,,,,,,,
158,septic system design ,0.4018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville ,0.2417,4,tagmee.topn3,0.2768,porterville Porterville  California ,conceptluster.topn5.3.bm25,0.2768,porterville porterville california ,tagmee.topn3.replace,0.2543,Porterville  California ,bertqe.topn10.bm25,0.2418,"{'porterville': 1.5, 'porterville  california  i   p   font   font   p ': 1.0, 'porterville  porterville  california   title  best western': 0.3333333333333333, 'porterville  california   ca 93257  span   div': 0.3333333333333333, 'porterville destroyed': 0.0, 'porterville  p   p   name  education  id  education    a   p   h2   span': 0.0} ",,,,,,,,,,,,,,,,,,,,,,,,
160,grilling ,0.0114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces ,0.0197,2,sensedisambiguation,0.0272,furniture for small spaces space ,termluster.topn5.3.bm25,0.0254,furniture small spaces tabl space small furnitur space tabl tabl small product ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr ,0.0356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas ,0.0293,2,conceptnet.topn3,0.116,arkansas a state ,bertqe.topn10.bm25,0.0294,"{'arkansas': 1.5, 'arkansas  a   li   ul   h3  f  h3   ul   li   href  wikifargo  arkansas  title  fargo ': 1.0, 'arkansas  a   li   ul   h3  u  h3   ul   li   href  wikiulm  arkansas  title  ulm ': 0.6666666666666666, 'arkansas  a   br   href  arlitttlerock  target  top   litttle rock  arkansas  a   br  ': 0.6666666666666666, 'arkansas  ar   h2   br    center   href  http  wwwdoctortreeorgclicksgradeshtml ': 0.3333333333333333, 'arkansas  a   br   href  arnorthlittlerock  target  top   north little rock ': 0.3333333333333333} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores ,0.0547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird ,0.002,1,termluster.topn5.3.bm25,0.0023,blue throated hummingbird free hummingbird lamporni wikipedia white page blue free lamporni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,computer programming ,0.0058,3,word2vec.topn3,0.0102,computer programming software programmers ,relevancefeedback.topn10.bm25,0.0089,computer programming comput program languag ,sensedisambiguation,0.0077,computer programming program ,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,barbados ,0.0178,3,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0572,"{'na': 2.0, 'barbado': 2, 'tel': 1.383, 'fax': 1.231, 'export': 1.148, 'caribbean': 1.125, 'bridgetown': 1.119, 'hous': 1.089, 'barbadian': 1.065, 'caricom': 1.047, 'bidc': 1.033} ",wiki.topn3,0.0344,barbados islands of barbados barbados saint lucia Barbados ,wiki.topn3.replace,0.0259,islands of barbados barbados saint lucia Barbados ,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma ,0.292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war ,0.1013,2,termluster.topn5.3.bm25,0.1415,battles civil war war unit union american battl gener american battl civil ,conceptnet.topn3,0.1101,battles civil war battle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,scooters ,0.0055,2,sensedisambiguation,0.0527,scooters water scooter ,sensedisambiguation.replace,0.037000000000000005,water scooter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ron howard ,0.1592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal ,0.22,6,relevancefeedback.topn10.bm25,0.2966,becoming a paralegal paraleg legal ,termluster.topn5.3.bm25,0.2552,becoming paralegal studi school paraleg studi school legal ,tagmee.topn3,0.2538,becoming paralegal Paralegal ,docluster.topn10.3.bm25,0.2538,becoming a paralegal paraleg ,conceptluster.topn5.3.bm25,0.2538,becoming paralegal paralegal ,conceptnet.topn3,0.2314,becoming paralegal flattering legal assistant ,,,,,,,,,,,,,,,,,,
173,hip fractures ,0.3362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,rock art ,0.1059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,signs of a heartattack ,0.018000000000000002,7,tagmee.topn3.replace,0.0461,Medical sign Myocardial infarction ,tagmee.topn3,0.045,signs heartattack Medical sign Myocardial infarction ,conceptluster.topn5.3.bm25,0.045,signs heartattack myocardial infarction medical sign ,docluster.topn10.3.bm25,0.0267,signs of a heartattack heart ,stem.trunc5,0.0215,signs of a heart ,wordnet.topn3,0.0206,signs heartattack bless ratify sign up ,rm3.topn10.10.0.5.bm25,0.0203,maximumrocknrol vine heart sign grow wait attack heartattack tom symptom warn ,,,,,,,,,,,,,,,
176,weather strip ,0.0011,6,tagmee.topn3.replace,0.4649,Weatherstripping ,tagmee.topn3,0.0814,weather strip Weatherstripping ,conceptluster.topn5.3.bm25,0.0814,weather strip weatherstripping ,wiki.topn3,0.0249,weather strip cryogenic deflashing heat fusion melt  manufacturing  Weatherstripping ,termluster.topn5.3.bm25,0.0036,weather strip strip door weather door ,wiki.topn3.replace,0.0027,cryogenic deflashing heat fusion melt  manufacturing  Weatherstripping ,,,,,,,,,,,,,,,,,,
177,best long term care insurance ,0.0669,4,tagmee.topn3,0.0884,best long term care insurance Long term care insurance ,conceptluster.topn5.3.bm25,0.0884,best long term care insurance long term care insurance ,tagmee.topn3.replace,0.0865,Long term care insurance ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0765,"{'term': 2, 'best': 2, 'long': 2, 'insur': 2, 'care': 2, 'longterm': 1.285, 'nurs': 1.123, 'premium': 1.115, 'medicaid': 1.094, 'increas': 1.072, 'purchas': 1.055, 'expens': 1.043, 'gormu': 1.026} ",,,,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin ,0.0886,1,relevancefeedback.topn10.bm25,0.0927,pork tenderloin recip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history ,0.0249,1,docluster.topn10.3.bm25,0.026,black history histori ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels ,0.004,3,sensedisambiguation,0.0077,newyork hotels hotel ,termluster.topn5.3.bm25,0.0066,newyork hotels hotel new top york univers top ,bertqe.topn10.bm25,0.0063,"{'newyork hotels': 1.5, 'hotel hilton times square newyork': 1.0, 'sheraton newyork hotel towers': 1.0, 'hotels manhatten newyork  24': 0.5, 'vh1  br  rosevelt hotel newyork': 0.5, ' 51 hotel newyork ': 0.5} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
181,old coins ,0.0391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,quit smoking ,0.1328,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,kansas city mo ,0.0025,12,wiki.topn3.replace,0.2662,kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,wiki.topn3,0.1979,kansas city mo kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,tagmee.topn3.replace,0.1224,Kansas Kansas City  Missouri ,rm3.topn10.10.0.5.bm25,0.0166,mo park     hotel swope zoo citi kansa road street wed ,conceptnet.topn3,0.013,kansas city mo the United States Dodge City capital town Missouri molybdenum ,wordnet.topn3,0.0116,kansas city mo Kaw River urban center metropolis bit Mo minute ,termluster.topn5.3.bm25,0.0066,kansas city mo new citi center new kansa center ,tagmee.topn3,0.0051,kansas city mo Kansas Kansas City  Missouri ,conceptluster.topn5.3.bm25,0.0051,kansas city mo kansas city missouri kansas ,glove.topn3,0.0043,kansas city mo missouri oklahoma town d  l zheed ,relevancefeedback.topn10.bm25,0.0026,kansas city mo citi kansa ,docluster.topn10.3.bm25,0.0026,kansas city mo citi kansa 
184,civil right movement ,0.1407,4,tagmee.topn3,0.3497,civil right movement Civil and political rights Freedom of movement ,conceptluster.topn5.3.bm25,0.3497,civil right movement freedom movement civil political rights ,tagmee.topn3.replace,0.3125,Civil and political rights Freedom of movement ,termluster.topn5.3.bm25,0.1486,civil right movement american movement right american civil movement american civil right ,,,,,,,,,,,,,,,,,,,,,,,,
185,credit report ,0.0269,1,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0491,"{'report': 2, 'credit': 2, 'bureau': 1.215, '30003500': 1.03, '26002600': 1.03, '18502600': 1.03, '19752759': 1.03, '18752675': 1.03, '42305170': 1.03, '19802770': 1.03, '38004200': 1.03, '25003350': 1.03} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,unc ,0.0482,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
