qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
90,mgb ,0.092,4,onfields.topn3.10.1.0.qld,0.185,"{'mg': 2.0, 'mgb': 2, 'v8': 1.267, '5speed': 1.124, 'midget': 1.081, 'v8t5': 1.051, '215t5': 1.037, 'mgbrover': 1.036, 'mgbbuick': 1.031, 'v6t5': 1.026, 'efit5': 1.025} ",rm3.topn10.10.0.5.qld,0.1522,t  v  mgb ford car speed mg rover     mga ,docluster.topn10.3.qld,0.1209,mgb   v   sp mg ,relevancefeedback.topn10.qld,0.1054,mgb v   sp   mg mga report ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,er tv show ,0.0464,5,tagmee.topn3,0.0675,er tv show ER  TV series  ER  TV series  Television program ,termluster.topn5.3.qld,0.0657,er tv show home john life ,conceptluster.topn5.3.qld,0.0566,er tv show er tv series television program ,tagmee.topn3.replace,0.0522,ER  TV series  ER  TV series  Television program ,wordnet.topn3,0.0509,er tv show erbium Er ER video television set boob tube prove depict express ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,the wall ,0.0004,2,word2vec.topn3,0.0027,wall wall  brick ,word2vec.topn3.replace,0.0018,wall  brick ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,raffles ,0.0468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,titan ,0.0102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,earn money at home ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,rice ,0.0917,1,termluster.topn5.3.qld,0.1038,rice recip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,south africa ,0.0248,4,wiki.topn3,0.0907,south africa afrikaans speaking countries and territories south africa bantu countries and territories South Africa ,wiki.topn3.replace,0.0648,afrikaans speaking countries and territories south africa bantu countries and territories South Africa ,termluster.topn5.3.qld,0.0339,south africa africa countri south countri ,wordnet.topn3,0.0293,south africa in the south S to the south ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,sat ,0.0682,1,rm3.topn10.10.0.5.qld,0.1044,prep    fri sat score       test    sun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,satellite ,0.017,2,glove.topn3,0.0545,satellite launch ,wordnet.topn3,0.0488,satellite artificial satellite orbiter planet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,rincon puerto rico ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ritz carlton lake las vegas ,0.0728,2,onfields.topn3.10.1.0.qld,0.102,"{'carlton': 2, 'ritz': 2, 'la': 2, 'lake': 2, 'vega': 2, 'vacat': 1.794, 'packag': 1.729, 'casino': 1.299, 'henderson': 1.175, 'ritzcarlton': 1.088, 'strhref': 1.023, 'mytravelguidecom': 1.017} ",anchor.topn3,0.0816,ritz carlton lake las vegas iż żgħira calender van  gunnison  kalausa halawet spreyton  yanama yungay  lake landslid       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,fickle creek farm ,0.0021,1,rm3.topn10.10.0.5.qld,0.0027,class creek fickl counti farm dinner farmer island bait fenc duke ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,madam cj walker ,0.0637,7,tagmee.topn3.replace,0.1755,Madam C  J  Walker ,tagmee.topn3,0.0898,madam cj walker Madam C  J  Walker ,conceptluster.topn5.3.qld,0.0898,madam cj walker madam c  j  walker ,wiki.topn3,0.0859,madam cj walker my bondagand my freedom negro academy legal rights association Madam C  J  Walker ,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0758,"{'walker': 2, 'madam': 2, 'cj': 2, 'c': 2.0, 'u': 1.747, '0': 1.674, 'j': 1.235, 'vi': 1.167, 'litter': 1.023, 'adoptahighway': 1.02, 'repres': 1.014, 'of0': 1.009, '0705010': 1.005} ",thesaurus.topn3,0.0745,madam cj walker  madame Frau   hiker pedestrian ,wiki.topn3.replace,0.0729,my bondagand my freedom negro academy legal rights association Madam C  J  Walker ,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,indiana child support ,0.0239,5,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.1193,"{'support': 2, 'indiana': 2, 'child': 2, 'parent': 1.602, 'incom': 1.466, 'oblig': 1.382, 'guidelin': 1.339, 'expens': 1.283, 'worksheet': 1.191, 'noncustodi': 1.083, 'obligor': 1.078} ",rm3.topn10.10.0.5.qld,0.077,guidelin indiana incom parent payment court enforc child calcul law support ,wiki.topn3,0.0578,indiana child support indiana ohio cities in indiana Indiana noncustodial parent geduldig v  aiello child abusprevention and treatment act Child support in the United States ,relevancefeedback.topn10.qld,0.0473,indiana child support parent ,wiki.topn3.replace,0.0266,indiana ohio cities in indiana Indiana noncustodial parent geduldig v  aiello child abusprevention and treatment act Child support in the United States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,sonoma county medical services ,0.0854,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,universal animal cuts reviews ,0.0114,1,relevancefeedback.topn10.qld,0.0221,universal animal cuts reviews i review nutrit anim cut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,cass county missouri ,0.0312,1,thesaurus.topn3.replace,0.0321,cass  canton constituency missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,ralph owen brewster ,0.4834,1,onfields.topn3.10.1.0.qld,0.5053,"{'owen': 2, 'ralph': 2, 'brewster': 2, 'var': 1.815, 'senat': 1.549, 'hugh': 1.444, 'hous': 1.352, 'repres': 1.296, 'committe': 1.185, 'preced': 1.111, 'mediascreen': 1.074, 'typetextcss': 1.074, 'relstylesheet': 1.074} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,mayo clinic jacksonville fl ,0.0026,4,thesaurus.topn3,0.0042,mayo clinic jacksonville fl   hospital dispensary   ,tagmee.topn3,0.0035,mayo clinic jacksonville fl Mayo Clinic Jacksonville  Florida ,conceptluster.topn5.3.qld,0.0035,mayo clinic jacksonville fl jacksonville florida mayo clinic ,tagmee.topn3.replace,0.0034,Mayo Clinic Jacksonville  Florida ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,map of brazil ,0.0612,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,lymphoma in dogs ,0.3742,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,kenmore gas water heater ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hp mini      ,0.0007,3,onfields.topn3.10.1.0.qld,0.0089,"{'2140': 2, 'hp': 2, 'mini': 2, 'dv': 2.0, 'camcord': 1.138, '1000': 1.093, 'tape': 1.044, 'netbook': 1.041, 'jvc': 1.039, 'soni': 1.034, 'panason': 1.032, 'pavilion': 1.024} ",rm3.topn10.10.0.5.qld,0.0018,     window netbook mini laptop           notebook pc hp ,bertqe.topn10.qld,0.0018,"{'hp mini 2140': 1.5, 'mini 2140  a    href  http  wwwitechnewsnettaghpmininote2140  rel  tag   hp': 1, 'hp mini 2140 integrates innovative': 1, '2140  a    href  http  wwwmydigitallifeinfo20090108newhpmini2140notebookpcfeaturing101scratchresistanthpillumiliteleddisplay  title    hp': 1, 'hp mini 2140 runs': 1, 'mininote 2140  a    href  http  wwwitechnewsnettaghpnetbook  rel  tag   hp': 1} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,adobe indian houses ,0.0212,1,wiki.topn3,0.0252,adobe indian houses buildings and structures by construction material adobe buildings and structures pueblos Adobe indigenous peoples in the united states native american topics native american history Native Americans in the United States houses residential area building House ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,pacific northwest laboratory ,0.125,2,thesaurus.topn3,0.25,pacific northwest laboratory  calm friendly   lab workshop ,wordnet.topn3,0.25,pacific northwest laboratory Pacific Ocean northwesterly nor  west science laboratory science lab ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,california franchise tax board ,0.1279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,dangers of asbestos ,0.1544,3,docluster.topn10.3.qld,0.1882,dangers of asbestos asbesto ,tagmee.topn3,0.165,dangers asbestos Risk Asbestos ,conceptluster.topn5.3.qld,0.165,dangers asbestos asbestos risk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,poem in your pocket day ,0.0672,1,onfields.topn3.10.1.0.qld,0.129,"{'day': 2, 'your': 2, 'in': 2, 'pocket': 2, 'poem': 2, 'aiimageimagesimglinegif': 1.093, 'googleadheight': 1.056, 'pub7367856165470296': 1.056, 'googlecolorbord': 1.056, 'googlecolorurl': 1.056, 'googleadcli': 1.056, 'googlecolorlink': 1.056, 'googlecolortext': 1.056, 'googleadchannel': 1.056} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,interview thank you ,0.1086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,tv on computer ,0.0296,3,tagmee.topn3,0.0406,tv computer Television Computer ,conceptluster.topn5.3.qld,0.0406,tv computer television computer ,glove.topn3,0.0393,tv computer television broadcast software ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,sit and reach test ,0.0666,1,rm3.topn10.10.0.5.qld,0.0752,measur feet reach fit score flexibl bodi arm test sit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,culpeper national cemetery ,0.0169,3,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0591,"{'culpep': 2, 'nation': 2, 'cemeteri': 2, 'va': 1.456, 'vamc': 1.211, 'pleas': 1.092, '788': 1.085, '787': 1.079, 'fontfamilytim': 1.041, 'marginbottom0001pt': 1.022, 'msopaginationwidoworphan': 1.022, 'ceremoni': 1.002} ",stem.paicehusk,0.0205,culpep nat cemetery ,bertqe.topn10.qld,0.0195,"{'culpeper national cemetery': 1.5, 'national cemetery  a   td   td   href  wikiculpeper  virginia  title  culpeper ': 1.0, 'cemetery  a   td   td   href  wikiculpeper  virginia  title  culpeper  virginia   culpeper  a   td ': 0.5185185185185185, 'href  wikiculpepernationalcemetery  title  culpeper national cemetery   culpeper national': 0.5185185185185185, 'national cemetery   culpeper national cemetery  a   td   td  ': 0.4444444444444445, 'cemetery   culpeper national cemetery  a   td   td   href  wikiculpeper  virginia ': 0.4074074074074074} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,von willebrand disease ,0.2417,2,tagmee.topn3,0.2418,von willebrand disease Von Willebrand disease ,conceptluster.topn5.3.qld,0.2418,von willebrand disease von willebrand disease ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,bowflex power pro ,0.0611,3,tagmee.topn3,0.0759,bowflex power pro Bowflex ,conceptluster.topn5.3.qld,0.0759,bowflex power pro bowflex ,wiki.topn3,0.0717,bowflex power pro activity tracker shapeways channel stuffing Bowflex ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,butter and margarine ,0.1267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,us capitol map ,0.0007,6,thesaurus.topn3,0.2,us capitol map  America Columbia  center dome  design drawing ,thesaurus.topn3.replace,0.2, America Columbia  center dome  design drawing ,wordnet.topn3,0.0025,us capitol map uracil U uranium Capitol Building function map out ,tagmee.topn3,0.0013,us capitol map Washington  D C  ,conceptluster.topn5.3.qld,0.0013,us capitol map washington d c ,termluster.topn5.3.qld,0.0009,us capitol map map capitol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,dutchess county tourism ,0.2252,2,rm3.topn10.10.0.5.qld,0.2925,colleg vallei tourism counti dutchess vassar dct hudson     poughkeepsi ,onfields.topn3.10.1.0.qld,0.2478,"{'tourism': 2, 'counti': 2, 'dutchess': 2, 'hudson': 1.704, 'poughkeepsi': 1.704, 'hous': 1.189, '845': 1.126, 'midhudson': 1.119, 'imgmmup': 1.069, '12601': 1.063, 'imgmmdn': 1.044, 'argsi1': 1.031} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,atypical squamous cells ,0.0548,2,rm3.topn10.10.0.5.qld,0.115,cell smear cancer atyp squamou cervic pap test carcinoma women ,thesaurus.topn3,0.1011,atypical squamous cells  abnormal anomalous   bacterium egg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,iowa food stamp program ,0.0026,3,termluster.topn5.3.qld,0.0146,iowa food stamp program report year offic program servic food offic program food offic servic ,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0134,"{'program': 2, 'stamp': 2, 'food': 2, 'iowa': 2, 'selectedbenefit': 2.0, 'selectdeselect': 1.12, 'isatleastoneselect': 1.12, 'getel': 1.083, 'icheck': 1.08, 'elementslength': 1.042, 'checkeligibilitydo': 1.04, 'elementcheck': 1.04, 'eligibilitycriteriado': 1.04, 'gobenefitreportdo': 1.04} ",docluster.topn10.3.qld,0.0036,iowa food stamp program depart ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,fact on uranus ,0.2881,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,equal opportunity employer ,0.0109,3,stem.porter2,0.025,equal opportun employ ,conceptnet.topn3,0.0148,equal opportunity employer math chance ,relevancefeedback.topn10.qld,0.0114,equal opportunity employer opportun employ certif ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,mothers day songs ,0.0206,2,sensedisambiguation.replace,0.0986,mother day sung ,sensedisambiguation,0.0957,mothers mother day songs sung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,all men are created equal ,0.0554,3,rm3.topn10.10.0.5.qld,0.1762,creat all declar jefferson independ mesh opportun born philip men phrase equal ,wiki.topn3,0.133,men created equal life  liberty and thpursuit of happiness virginia declaration of rights an act for thgradual abolition of slavery All men are created equal ,wiki.topn3.replace,0.1062,life  liberty and thpursuit of happiness virginia declaration of rights an act for thgradual abolition of slavery All men are created equal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,electronic skeet shoot ,0.0022,3,tagmee.topn3,0.0023,electronic skeet shoot Skeet Shoot ,tagmee.topn3.replace,0.0023,Skeet Shoot ,conceptluster.topn5.3.qld,0.0023,electronic skeet shoot skeet shoot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,source of the nile ,0.0076,2,termluster.topn5.3.qld,0.0084,source nile water visit time map place point ,relevancefeedback.topn10.qld,0.0083,source of the nile we sourc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,american military university ,0.0,4,rm3.topn10.10.0.5.qld,0.0371,colleg univers footbal amu histor american war militari liber apu degre vietnam ,onfields.topn3.10.1.0.qld,0.0039,"{'american': 2, 'militari': 2, 'univers': 2, '0033': 1.178, 'liber': 1.172, 'degre': 1.144, 'amu': 1.063, 'microscann': 1.052, 'studiesunivers': 1.029, 'miitari': 1.0, 'militaryfriendli': 1.0} ",tagmee.topn3,0.0001,american military university American Public University System ,conceptluster.topn5.3.qld,0.0001,american military university american public university system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,rock and gem shows ,0.145,2,relevancefeedback.topn10.qld,0.1514,rock and gem shows show miner    our ,docluster.topn10.3.qld,0.15,rock and gem shows    show ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,jax chemical company ,0.1868,1,sensedisambiguation.replace,0.2758,jax chemical ship s company ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,rocky mountain news ,0.0282,3,wiki.topn3,0.1475,rocky mountain news defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,wiki.topn3.replace,0.1173,defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,relevancefeedback.topn10.qld,0.0488,rocky mountain news rocki new ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,east ridge high school ,0.0008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,va dmv registration ,0.1089,1,sensedisambiguation.replace,0.1314,virginia dmv registration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,illinois state tax ,0.1472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,arkadelphia health club ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,trombone for sale ,0.0961,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,vines for shade ,0.1029,1,onfields.topn3.10.1.0.qld,0.1148,"{'shade': 2, 'for': 2, 'vine': 2, 'flower': 1.065, 'grow': 1.032, 'plant': 1.03, 'climb': 1.022, 'vineyard': 1.02, 'trumpet': 1.017, 'potato': 1.014, 'tattoo': 1.013, 'invas': 1.007, 'ivi': 1.003} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,sherwood regional library ,0.1648,1,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.2378,"{'region': 2, 'librari': 2, 'sherwood': 2, 'endedit': 1.266, 'beginedit': 1.266, 'fairfax': 1.19, 'fcpl': 1.177, 'tysonspimmit': 1.127, 'beginlibraryitem': 1.101, 'endlibraryitem': 1.101, 'libraryhorizontallinelbi': 1.076} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,tangible personal property tax ,0.3454,1,relevancefeedback.topn10.qld,0.3871,tangible personal property tax properti vehicl person ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,martha stewart and imclone ,0.2446,10,wiki.topn3,0.3095,martha stewart imclone money  magazine  amanda hesser brandweek Martha Stewart health maintenancorganization corporatraid pharmaceutical research and manufacturers of america ImClone Systems ,glove.topn3,0.2747,martha stewart imclone stewart lehf campbell payne waksal genentech ,onfields.topn3.10.1.0.qld,0.2621,"{'and': 2, 'imclon': 2, 'stewart': 2, 'martha': 2, 'washington': 1.031, 'recip': 1.03, 'bacanov': 1.02, 'faneuil': 1.017, 'waksal': 1.016, 'var': 1.015, 'munizzi': 1.008, 'moreon': 1.005} ",bertqe.topn10.qld,0.2595,"{'martha stewart and imclone': 1.5, ' href  windexphp  titlemarthastewart  imclone   amp  redirectno  title  martha stewart  imclone    martha': 1.0, 'stewart  imclone   a    div   div id  jumptonav   jump ': 0.9705882352941176, 'imclone  br  martha coulter': 0.9411764705882353, 'imclone  martha stewart biography ': 0.6470588235294118, 'imclone stock': 0.5588235294117647} ",tagmee.topn3,0.2562,martha stewart imclone Martha Stewart ImClone Systems ,conceptluster.topn5.3.qld,0.2562,martha stewart imclone imclone systems martha stewart ,tagmee.topn3.replace,0.2545,Martha Stewart ImClone Systems ,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.2516,"{'and': 2, 'martha': 2, 'stewart': 2, 'imclon': 2, 'ms': 1.8, 'bacanov': 1.612, 'committe': 1.416, 'waksal': 1.356, 'appendix': 1.32, 'faneuil': 1.236, 'lynch': 1.208, 'merril': 1.208, 'hereto': 1.152} ",wiki.topn3.replace,0.2491,money  magazine  amanda hesser brandweek Martha Stewart health maintenancorganization corporatraid pharmaceutical research and manufacturers of america ImClone Systems ,termluster.topn5.3.qld,0.2458,martha stewart imclone live new stewart live martha new time stock stewart ,,,,,,,,,,,,,,,,,,
149,uplift at yellowstone national park ,0.1531,6,word2vec.topn3,0.2519,uplift yellowstone national park yosemite supervolcano super volcano regional international local parkland ,termluster.topn5.3.qld,0.1794,uplift yellowstone national park              activ yvo year wyom yvo yellowston year              activ ,relevancefeedback.topn10.qld,0.1727,uplift at yellowstone national park yellowston ,docluster.topn10.3.qld,0.1727,uplift at yellowstone national park yellowston ,word2vec.topn3.replace,0.1654,uplift yosemite supervolcano super volcano regional international local parkland ,sensedisambiguation.replace,0.1554,uplift at yellowstone national parking lot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,tn highway patrol ,0.0061,2,sensedisambiguation,0.0076,tn tennessee highway patrol ,conceptnet.topn3,0.0068,tn highway patrol Tennessee bn mtl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,   b ,0.0,11,bertqe.topn10.qld,0.1536,"{'403b': 1.5, 'b 64117  b': 1.0, '452620  b b bcb b': 0.2483262325015218, '452912  b b bc b': 0.22215459525258682, '452614  ba b b': 0.1448569689592209, '452042  b b c bb': 0.12964090079123558} ",adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.097,"{'in': 2.0, '403b': 2, 'hous': 1.081, 'usc': 1.056, 'newsbulletin': 1.038, 'compens': 1.031, 'costofliv': 1.025, 'taxdef': 1.025, 'nonhous': 1.025, 'highcost': 1.019, 'vc4': 1.012} ",wiki.topn3,0.0637,   b     plan federal employees retirement system roth     k      b  ,termluster.topn5.3.qld,0.0629,   b contribut monei plan ,onfields.topn3.10.1.0.qld,0.0397,"{'403b': 2, 'b': 2.0, 'c': 1.063, 'bb': 1.05, 'bournemouth': 1.048, 'bbbournemouth': 1.012, 'hous': 1.003, '1202': 1.002, 'homestay': 1.001, '01202': 1.001, 'pppn': 1.001, 'bbextern': 1.001} ",wiki.topn3.replace,0.0314,    plan federal employees retirement system roth     k      b  ,relevancefeedback.topn10.qld,0.0141,   b loan contribut download roth tax ,word2vec.topn3,0.0136,   b participant directed retirement savings ,rm3.topn10.10.0.5.qld,0.0071,monei    k    b rule retir roth distribut ira contribut loan ,word2vec.topn3.replace,0.0045,participant directed retirement savings ,docluster.topn10.3.qld,0.0021,   b roth download ,,,,,,,,,,,,,,,
152,angular cheilitis ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono ,0.2921,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs ,0.0418,1,wordnet.topn3,0.1116,figs Ficus carica Libyan Islamic Fighting Group ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting ,0.2128,1,rm3.topn10.10.0.5.qld,0.2532,paint supper leonardo last apostl tour da jesu juda figur vinci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix ,0.1082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band ,0.0714,12,tagmee.topn3.replace,0.2355,The Beatles  album  The Beatles  Rock Band ,tagmee.topn3,0.205,beatles rock band The Beatles  album  The Beatles  Rock Band ,conceptluster.topn5.3.qld,0.205,beatles rock band beatles   rock band beatles album ,glove.topn3,0.1687,beatles rock band lennon mccartney band pop album ,wiki.topn3,0.1627,beatles rock band a hard day s night  album  rubber soul pleaspleasme The Beatles  album  list of songs in thbeatles  rock band thbeatles  thoriginal studio recordings  thbeatles in mono The Beatles  Rock Band ,termluster.topn5.3.qld,0.1592,beatles rock band titl song rock album band beatl album beatl music ,relevancefeedback.topn10.qld,0.1367,the beatles rock band beatl game ,wiki.topn3.replace,0.1223,a hard day s night  album  rubber soul pleaspleasme The Beatles  album  list of songs in thbeatles  rock band thbeatles  thoriginal studio recordings  thbeatles in mono The Beatles  Rock Band ,glove.topn3.replace,0.1133,lennon mccartney band pop album ,conceptnet.topn3.replace,0.1,beatles music stone group ,bertqe.topn10.qld,0.0904,"{'the beatles rock band': 1.5, ' beatles version rock band ': 1.0, 'beatles rock band title ': 1.0, 'beatles tribute band ': 0.9726027397260274, 'beatles best rock band ': 0.9726027397260274, 'ringo starr  along': 0.7123287671232876} ",word2vec.topn3,0.0788,beatles rock band tulisa martina blacksheep boulder drummer ,,,,,,,,,,,,
158,septic system design ,0.4015,1,rm3.topn10.10.0.5.qld,0.4109,bed system septic inspect tank field pump treatment design shall test altern ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville ,0.2459,3,tagmee.topn3,0.2546,porterville Porterville  California ,conceptluster.topn5.3.qld,0.2546,porterville porterville california ,bertqe.topn10.qld,0.246,"{'porterville': 1.5, 'porterville  california  i   p   font   font   p ': 1.0, 'porterville  porterville  california   title  best western': 0.3333333333333333, 'porterville  california   ca 93257  span   div': 0.3333333333333333, 'porterville destroyed': 0.0, 'porterville  p   p   name  education  id  education    a   p   h2   span': 0.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,grilling ,0.0122,1,wiki.topn3,0.0283,grilling seasoning deep frying condiment Grilling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces ,0.0283,2,sensedisambiguation,0.0338,furniture for small spaces space ,thesaurus.topn3,0.0289,furniture small spaces  appliance bed  cramped limited  area arena ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr ,0.0346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas ,0.0303,2,conceptnet.topn3,0.1014,arkansas a state ,bertqe.topn10.qld,0.0304,"{'arkansas': 1.5, 'arkansas  a   li   ul   h3  f  h3   ul   li   href  wikifargo  arkansas  title  fargo ': 1.0, 'arkansas  a   li   ul   h3  u  h3   ul   li   href  wikiulm  arkansas  title  ulm ': 0.6666666666666666, 'arkansas  a   br   href  arlitttlerock  target  top   litttle rock  arkansas  a   br  ': 0.6666666666666666, 'arkansas  ar   h2   br    center   href  http  wwwdoctortreeorgclicksgradeshtml ': 0.3333333333333333, 'arkansas  a   br   href  arnorthlittlerock  target  top   north little rock ': 0.3333333333333333} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores ,0.0329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird ,0.0018,1,termluster.topn5.3.qld,0.0039,blue throated hummingbird free hummingbird lamporni wikipedia white page blue free lamporni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
