qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14
276,how has african american music influence history ,0.0061,6,tagmee.topn3.replace,0.0244,African Americans African American music Music Social influence History ,tagmee.topn3,0.023,african american music influence history African Americans African American music Music Social influence History ,conceptluster.topn5.3.bm25,0.023,african american music influence history history music african americans social influence african american music ,wiki.topn3,0.0114,african american music influence history African Americans naacp imagaward   hall of famaward lift every voicand sing thraelettes African American music music entertainment dance Music conformity attitud psychology  trust  social sciences  Social influence history academidisciplines literature History ,wiki.topn3.replace,0.0102,African Americans naacp imagaward   hall of famaward lift every voicand sing thraelettes African American music music entertainment dance Music conformity attitud psychology  trust  social sciences  Social influence history academidisciplines literature History ,termluster.topn5.3.bm25,0.0068,african american music influence history new black commun histori centuri influenc also cultur develop world tradit peopl world tradit peopl ,,,,,,,,,,,,,,,,,,,,,,,,
277,bewitched cast ,0.0001,5,rm3.topn10.10.0.5.bm25,0.0004,kidman tv isabel movi she witch cast bewitch film bill ,relevancefeedback.topn10.bm25,0.0004,bewitched cast tv movi bewitch film her       juli bill ,tagmee.topn3,0.0002,bewitched cast Bewitched       film  Robots       film  ,docluster.topn10.3.bm25,0.0002,bewitched cast movi her ,conceptluster.topn5.3.bm25,0.0002,bewitched cast bewitched      film robots      film ,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,mister rogers ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,game theory ,0.0384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,view my internet history ,0.0104,1,tagmee.topn3.replace,0.0117,Internet History of the Internet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,ketogenic diet ,0.0319,1,anchor.topn3,0.0361,ketogenic diet low carbohydrate  lantdag finland åbo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,nasa interplanetary missions ,0.0386,1,onfields.topn3.10.4.0.bm25,0.0389,"{'mission': 2, 'nasa': 2, 'interplanetari': 2, 'msostyleparentstyle0': 2.0, 'verticalaligntop': 1.673, 'msopatternauto': 1.558, 'sansserif': 1.481, 'msofontcharset0': 1.481, 'fontfamilyari': 1.442, 'textalignright': 1.308, 'verticalalignmiddl': 1.308, 'textalignleft': 1.308, 'fontweight700': 1.288} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,hayrides in pa ,0.0606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,where to find morel mushrooms ,0.0596,1,termluster.topn5.3.bm25,0.0627,find morel mushrooms hunt look make find hunt look year season morel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,magnesium rich foods ,0.0228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,common schizophrenia drugs ,0.0174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,carotid cavernous fistula treatment ,0.0213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,fidel castro ,0.0216,2,termluster.topn5.3.bm25,0.024,fidel castro castro cuban cuba cuban fidel cuba ,glove.topn3,0.0231,fidel castro castro cuban fidel cuban ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,benefits of yoga ,0.0005,3,relevancefeedback.topn10.bm25,0.0037,benefits of yoga medit ,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0012,"{'of': 2, 'benefit': 2, 'yoga': 2, 'medit': 1.737, 'breath': 1.298, 'path': 1.298, 'exercis': 1.158, 'wwwyogasitecom': 1.053, 'httpwww4womangov': 1.053, 'stressreduct': 1.035, '37yearold': 1.035, '1800994woman': 1.035, '18882205446': 1.035} ",rm3.topn10.10.0.5.bm25,0.0008,yoga vinyasa benefit raja kundalini pose medit hatha ashtanga postur ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,norway spruce ,0.0167,2,onfields.topn3.10.4.0.bm25,0.0333,"{'norway': 2, 'spruce': 2, 'sitka': 1.163, 'cultivar': 1.137, 'floridata': 1.1, 'functionvalu': 1.062, 'picea': 1.062, 'googleadcli': 1.05, 'googleadheight': 1.05, 'googleadwidth': 1.05, 'christmastreemancouk': 1.012} ",bertqe.topn10.bm25,0.0333,"{'norway spruce': 1.5, 'norway spruce beautiful': 1.0, 'ornamental  norway spruce': 0.5, 'norway spruce traditional': 0.5, 'typical wild norway spruce': 0.25, ' p   p   href  norwaysprucep275html   norway spruce  a ': 0.25} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,sangre de cristo mountains ,0.0227,3,thesaurus.topn3,0.0455,sangre de cristo mountains     bluff cliff ,thesaurus.topn3.replace,0.0455,sangre de cristo  bluff cliff ,relevancefeedback.topn10.bm25,0.0455,sangre de cristo mountains colorado peak size co mexico coupon counti ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,history of the electronic medical record ,0.0224,2,tagmee.topn3,0.0261,history electronic medical record Electronic health record ,conceptluster.topn5.3.bm25,0.0261,history electronic medical record electronic health record ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,educational advantages of social networking sites ,0.0089,3,tagmee.topn3,0.0101,educational advantages social networking sites Educational game Social networking service Social networking service ,sensedisambiguation.replace,0.009000000000000001,educational advantage of social network web site ,conceptluster.topn5.3.bm25,0.009000000000000001,educational advantages social networking sites educational game social networking service ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,flowering plants ,0.0034,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,how to tie a windsor knot ,0.0653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,recycling lead acid batteries ,0.0298,1,relevancefeedback.topn10.bm25,0.0307,recycling lead acid batteries batteri recycl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,altitude sickness ,0.0175,7,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0333,"{'sick': 2, 'altitud': 2, 'symptom': 1.691, 'ascent': 1.273, 'edema': 1.273, 'oxygen': 1.255, 'mild': 1.236, 'acut': 1.218, 'diamox': 1.164, 'nrel': 1.091, 'decreas': 1.091} ",onfields.topn3.10.4.0.bm25,0.0294,"{'sick': 2, 'altitud': 2, 'symptom': 1.333, 'caus': 1.15, 'edema': 1.117, 'ibuprofen': 1.1, 'hape': 1.1, 'highaltitud': 1.096, 'diseas': 1.087, 'hace': 1.079, 'omnipagehow': 1.029} ",wiki.topn3,0.0242,altitude sickness lung volumes acclimatization salar duyuni Altitude sickness ,wiki.topn3.replace,0.0233,lung volumes acclimatization salar duyuni Altitude sickness ,sensedisambiguation,0.0228,altitude elevation sickness ,termluster.topn5.3.bm25,0.02,altitude sickness symptom sick mountain symptom mountain medicin ,bertqe.topn10.bm25,0.0179,"{'altitude sickness': 1.5, 'sickness lead highaltitude': 1.0, 'altitude illness  altitude sickness  ': 0.6428571428571429, 'altitude sickness  p   p class  body   altitude sickness': 0.5714285714285715, 'altitude sickness called highaltitude retinal': 0.4285714285714286, 'high altitude  altitude sickness': 0.4285714285714286} ",,,,,,,,,,,,,,,,,,,,,
298,medical care and jehovah s witnesses ,0.0173,3,docluster.topn10.3.bm25,0.0206,medical care and jehovah s witnesses wit blood ,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0197,"{'wit': 2, ""jehovah'"": 2, 'and': 2, 'care': 2, 'medic': 2, 'blood': 2.0, 'jehovah': 1.525, 'vha': 1.475, 'wesley': 1.443, 'provis': 1.311, 'transfus': 1.262, 'refus': 1.197, 'workrel': 1.131, 'casebycas': 1.131, '2001050': 1.098, 'larri': 1.0} ",relevancefeedback.topn10.bm25,0.0177,medical care and jehovah s witnesses wit blood medic post view ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,pink slime in ground beef ,0.0175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,how to find the mean ,0.0,4,wiki.topn3,0.0002,find mean ,tagmee.topn3,0.0002,find mean ,conceptluster.topn5.3.bm25,0.0002,find mean ,termluster.topn5.3.bm25,0.0001,find mean mean new find new ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
