qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
783,school mercury poisoning ,0.0784,5,glove.topn3,0.2399,school mercury poisoning students piyanart srivalo contamination ,tagmee.topn3.replace,0.1165,Shoaling and schooling Mercury poisoning ,tagmee.topn3,0.0797,school mercury poisoning Shoaling and schooling Mercury poisoning ,conceptluster.topn5.3.bm25.rm3,0.0797,school mercury poisoning shoaling schooling mercury poisoning ,relevancefeedback.topn10.bm25.rm3,0.0793,school mercury poisoning new children health minnesota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,mersenne primes ,0.4521,4,sensedisambiguation,0.4762,mersenne primes prime ,thesaurus.topn3,0.4631,mersenne primes   heyday best ,wordnet.topn3,0.4625,mersenne primes bloom prim out blossom ,glove.topn3,0.4625,mersenne primes proth frahd reciprocals nasdaq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Ivory billed woodpecker ,0.2446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Yew trees ,0.3903,1,sensedisambiguation,0.4396,Yew trees tree ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Sunflower Cultivation ,0.6207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Reverse mortgages ,0.5344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,abandoned mine reclamation ,0.2777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,women s rights in Saudi Arabia ,0.5428,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Gullah geechee language culture ,0.5015,20,stem.porter,0.5943,gullah geeche languag cultur ,stem.porter2,0.5943,gullah geeche languag cultur ,wiki.topn3,0.5797,gullah geechee language culture gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,wiki.topn3.replace,0.5732,gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,stem.lovins,0.5472,gullah geeche langu cultur ,tagmee.topn3.replace,0.5469,Gullah Gullah Gullah language Culture ,word2vec.topn3,0.5454,gullah geechee language culture langauge traditions ,relevancefeedback.topn10.bm25.rm3,0.5393,gullah geechee language culture studi cultur peopl comment african award countri slide ,anchor.topn3.replace,0.5343,gullah  island binyah ambelau geechee language culture ,anchor.topn3,0.5299,gullah geechee language culture gullah  island binyah ambelau ,termluster.topn5.3.bm25.rm3,0.5237,gullah geechee language culture geeche nation countri nation gullah countri ,conceptnet.topn3,0.5184,gullah geechee language culture united states Spanish english ,conceptluster.topn5.3.bm25.rm3,0.5168,gullah geechee language culture gullah language culture ,tagmee.topn3,0.515,gullah geechee language culture Gullah Gullah Gullah language Culture ,stem.paicehusk,0.5136,gullah geech langu cult ,word2vec.topn3.replace,0.5135,gullah geechee langauge traditions ,docluster.topn10.3.bm25.rm3,0.5097,gullah geechee language culture cultur comment countri ,thesaurus.topn3,0.507,gullah geechee language culture    accent dialect  ability art ,conceptnet.topn3.replace,0.5052,geechee united states gullah Spanish english culture ,wordnet.topn3,0.5022,gullah geechee language culture voice communication speech communication speech civilization polish refinement 
792,Social Security means test ,0.1529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Bagpipe Bands ,0.3758,4,thesaurus.topn3,0.4146,bagpipe bands   line ring ,tagmee.topn3,0.3947,bagpipe bands Bagpipes Military band ,conceptluster.topn5.3.bm25.rm3,0.3947,bagpipe bands military band bagpipes ,sensedisambiguation,0.3784,Bagpipe Bands set ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,pet therapy ,0.0486,4,tagmee.topn3,0.2136,pet therapy Animal assisted therapy ,conceptluster.topn5.3.bm25.rm3,0.2136,pet therapy animal assisted therapy ,tagmee.topn3.replace,0.1419,Animal assisted therapy ,conceptnet.topn3,0.1284,pet therapy dog a dog ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,notable cocker spaniels ,0.1073,16,stem.krovetz,0.1932,notable cock spaniel ,stem.paicehusk,0.1604,not cock spaniel ,word2vec.topn3.replace,0.1458,noteworthy noteable note worthy spaniel spaniels spaniels ,termluster.topn5.3.bm25.rm3,0.1352,notable cocker spaniels english spaniel english cocker ,wiki.topn3,0.1254,notable cocker spaniels labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,word2vec.topn3,0.1253,notable cocker spaniels noteworthy noteable note worthy spaniel spaniels ,sensedisambiguation.replace,0.1202,noteworthy cocker spaniel spaniel ,anchor.topn3.replace,0.1195,notable cocker  jarvis a i  lavulavu spaniels ,conceptnet.topn3.replace,0.1189,noteworthy far famed luminary cocker spaniel pamper old cocker spaniels ,tagmee.topn3.replace,0.1178,Cocker Spaniel Spaniel ,sensedisambiguation,0.1149,notable noteworthy cocker cocker spaniel spaniels spaniel ,thesaurus.topn3,0.1143,notable cocker spaniels  conspicuous distinguished ,tagmee.topn3,0.1138,notable cocker spaniels Cocker Spaniel Spaniel ,conceptluster.topn5.3.bm25.rm3,0.1138,notable cocker spaniels spaniel cocker spaniel ,wordnet.topn3,0.1112,notable cocker spaniels leading light guiding light cocker spaniel spoil indulge ,thesaurus.topn3.replace,0.1084,conspicuous distinguished cocker spaniels ,,,,,,,,,,,,
796,Blue Grass Music Festival history ,0.2792,4,tagmee.topn3,0.454,blue grass music festival history Bluegrass music ,conceptluster.topn5.3.bm25.rm3,0.454,blue grass music festival history bluegrass music ,wiki.topn3,0.3898,blue grass music festival history old time music bluegrass music americana  music  Bluegrass music ,wiki.topn3.replace,0.3799,old time music bluegrass music americana  music  Bluegrass music ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,reintroduction of gray wolves ,0.5999,1,thesaurus.topn3,0.601,reintroduction gray wolves   drab dusty  Casanova Romeo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Massachusetts textile mills ,0.324,5,conceptnet.topn3.replace,0.4157,a state a state in New England Taconic Mountains textile Robert Mills produce textiles ,wiki.topn3,0.4012,massachusetts textile mills provincof new hampshire colonial new hampshire dominion of new england Province of Massachusetts Bay textile mills spinning mule worsted Textile manufacturing textile mills spinning mule worsted Textile manufacturing ,wiki.topn3.replace,0.399,provincof new hampshire colonial new hampshire dominion of new england Province of Massachusetts Bay textile mills spinning mule worsted Textile manufacturing textile mills spinning mule worsted Textile manufacturing ,docluster.topn10.3.bm25.rm3,0.3834,massachusetts textile mills lowel ,termluster.topn5.3.bm25.rm3,0.3302,massachusetts textile mills worker textil new worker new mill worker textil new ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Animals in Alzheimer s research ,0.3181,1,sensedisambiguation,0.3766,Animals animal in Alzheimer  s research ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Ovarian Cancer Treatment ,0.3071,1,thesaurus.topn3,0.3516,ovarian cancer treatment   corruption disease  analysis cure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Kudzu Pueraria lobata ,0.5218,10,stem.lovins,0.705,kudzu puerar lob ,tagmee.topn3.replace,0.6387,Kudzu Kudzu ,conceptnet.topn3,0.6291,kudzu pueraria lobata vine rosid dicot genus animal order ,tagmee.topn3,0.6173,kudzu pueraria lobata Kudzu Kudzu ,stem.paicehusk,0.6086,kudzu puerar lobat ,stem.trunc5,0.6086,kudzu puera lobat ,termluster.topn5.3.bm25.rm3,0.5948,kudzu pueraria lobata forest lobata plant forest kudzu lobata forest kudzu plant ,wiki.topn3,0.5729,kudzu pueraria lobata pueraria strongyloides stercoralis edamame Kudzu pueraria strongyloides stercoralis edamame Kudzu ,anchor.topn3,0.5628,kudzu pueraria lobata nonborn ring      beetle  cnesmocarpon jasion vernicia ofwegeni delautouri oriolina ,relevancefeedback.topn10.bm25.rm3,0.5257,kudzu pueraria lobata sourc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature ,0.274,4,conceptluster.topn5.3.bm25.rm3,0.5248,volcano eruptions global temperature climate temperature ,termluster.topn5.3.bm25.rm3,0.4634,volcano eruptions global temperature erupt climat global volcano sulfur stratospher climat erupt mai world surfac pinatubo ,anchor.topn3,0.3985,volcano eruptions global temperature  kudryavyi  ndiayen  idmaax  global eliahu  learjet  kiwin ,tagmee.topn3,0.2928,volcano eruptions global temperature Volcano Volcano Climate Temperature ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,May Day ,0.0,2,wiki.topn3,0.0001,may day publiholidays in the republiof ireland international workers  day parade May Day ,wiki.topn3.replace,0.0001,publiholidays in the republiof ireland international workers  day parade May Day ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning ,0.5107,4,sensedisambiguation,0.6326,ban prohibition on human cloning ,wordnet.topn3,0.5866,ban human cloning prohibition man homo ,conceptnet.topn3,0.5838,ban human cloning empower body ,sensedisambiguation.replace,0.5411,prohibition on human cloning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Identity Theft Passport ,0.0765,4,stem.paicehusk,0.0965,id theft passport ,conceptnet.topn3,0.0896,identity theft passport name oneness operator a crime robbery thieve pass ,sensedisambiguation,0.0871,Identity Theft larceny Passport recommendation ,conceptluster.topn5.3.bm25.rm3,0.0787,identity theft passport identity theft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders ,0.0788,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff rate quotas ,0.7279,1,anchor.topn3,0.7391,sugar tariff rate quotas sugariin tamanua  navua ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting ,0.5697,1,stem.krovetz,0.6307,north korea counterfeit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment ,0.3068,1,docluster.topn10.3.bm25.rm3,0.3154,wetlands wastewater treatment wetland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales ,0.4211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition ,0.316,1,wiki.topn3,0.3554,handwriting recognition end of transmission character graffiti  palm os  ibm websphere Handwriting recognition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery ,0.6198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway ,0.3158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood ,0.6726,1,wiki.topn3,0.6825,johnstown flood      meteorology      in pennsylvania south fork dam Johnstown Flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues ,0.2256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos ,0.7958,1,wordnet.topn3.replace,0.8179,usaid aid help Galapagos Islands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,sports stadium naming rights ,0.3966,5,tagmee.topn3,0.4775,sports stadium naming rights Stadium Naming rights ,conceptluster.topn5.3.bm25.rm3,0.4775,sports stadium naming rights naming rights stadium ,tagmee.topn3.replace,0.4301,Stadium Naming rights ,anchor.topn3,0.4067,sports stadium naming rights sho rtan pitambarhat marzadasht ,sensedisambiguation.replace,0.4048,sport stadium name right field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Chaco Culture National Park ,0.4416,5,anchor.topn3,0.55,chaco culture national park chilensis    large lip semiárido sozialisten national noodzaak paris  span   magee   박찬욱  phokasomboun ,termluster.topn5.3.bm25.rm3,0.4898,chaco culture national park canyon cultur histor site servic research site servic research canyon chaco cultur ,docluster.topn10.3.bm25.rm3,0.4833,chaco culture national park cultur ,sensedisambiguation.replace,0.4737,Chaco polish national parking lot ,sensedisambiguation,0.447,Chaco Culture polish National Park parking lot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Census ,0.0,15,relevancefeedback.topn10.bm25.rm3,0.1265,census censu veteran ,word2vec.topn3,0.0699,census                censuses Censuses ,word2vec.topn3.replace,0.0392,censuses Censuses ,termluster.topn5.3.bm25.rm3,0.0374,census access archiv articl ,thesaurus.topn3,0.0216,census  enumeration poll ,conceptnet.topn3,0.0114,census population ,wiki.topn3.replace,0.0056,united states census      united states census      united states census      United States Census ,tagmee.topn3.replace,0.0056,United States Census ,wiki.topn3,0.005,census      united states census      united states census      united states census      United States Census ,tagmee.topn3,0.0041,census      United States Census ,conceptluster.topn5.3.bm25.rm3,0.0041,census      united states census ,glove.topn3,0.0028,census           population inhabitants ,anchor.topn3,0.0011,census                census voluntari under insur un ,thesaurus.topn3.replace,0.0008,enumeration poll ,anchor.topn3.replace,0.0006,census voluntari under insur un ,,,,,,,,,,,,,,,
820,imported fire ants ,0.7968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work at home scams ,0.1372,4,docluster.topn10.3.bm25.rm3,0.1563,internet work at home scams s ,sensedisambiguation,0.1376,Internet work at home scams scam ,stem.lovins,0.1375,internet work   at   hom scam ,stem.paicehusk,0.1375,internet work   at   hom scam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Custer s Last Stand ,0.0739,11,tagmee.topn3,0.1863,custer  s last stand Battle of the Little Bighorn ,conceptluster.topn5.3.bm25.rm3,0.1863,custer  s last stand battle little bighorn ,wordnet.topn3.replace,0.1361,George Armstrong Custer General Custer  s last place live on terminal rack stick out digest ,conceptnet.topn3,0.1282,custer  s last stand George Armstrong Custer michigan montana walk ,conceptnet.topn3.replace,0.1268,George Armstrong Custer michigan montana  s last walk ,docluster.topn10.3.bm25.rm3,0.1196,custer s last stand custer littl ,wiki.topn3,0.118,custer  s last stand battlof throsebud marias massacre son of thmorning star Battle of the Little Bighorn ,wiki.topn3.replace,0.0956,battlof throsebud marias massacre son of thmorning star Battle of the Little Bighorn ,tagmee.topn3.replace,0.0926,Battle of the Little Bighorn ,wordnet.topn3,0.0812,custer  s last stand General Custer George Armstrong Custer go net digest tolerate standstill ,termluster.topn5.3.bm25.rm3,0.0787,custer  s last stand last littl number custer littl number ,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities ,0.2837,5,wiki.topn3.replace,0.5445,Continuing care retirement communities in the United States ,tagmee.topn3.replace,0.5445,Continuing care retirement communities in the United States ,wiki.topn3,0.4633,continuing care retirement communities Continuing care retirement communities in the United States ,tagmee.topn3,0.4633,continuing care retirement communities Continuing care retirement communities in the United States ,conceptluster.topn5.3.bm25.rm3,0.4633,continuing care retirement communities continuing care retirement communities united states ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol ,0.4713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,National Guard Involvement in Iraq ,0.0056,1,stem.trunc5,0.0169,natio guard invol in iraq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians ,0.2812,8,tagmee.topn3.replace,0.5688,Florida Seminole Tribe of Florida Seminole Seminole ,conceptluster.topn5.3.bm25.rm3,0.5461,florida seminole indians seminole tribe florida ,tagmee.topn3,0.5226,florida seminole indians Florida Seminole Tribe of Florida Seminole Seminole ,wiki.topn3.replace,0.4506,peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,wiki.topn3,0.4505,florida seminole indians peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,docluster.topn10.3.bm25.rm3,0.3345,florida seminole indians seminol water ,relevancefeedback.topn10.bm25.rm3,0.2973,florida seminole indians seminol fla game water ,wordnet.topn3,0.2815,florida seminole indians Everglade State FL American Indian Red Indian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM ,0.2908,6,wiki.topn3,0.4657,hidden markov modeling hmm càdlàg feigenbaum constants central limit theorem Markov process power law statistical model parameter Mathematical model unsupervised learning support vector machine markov model Hidden Markov model ,word2vec.topn3,0.3479,hidden markov modeling hmm concealed hid semi Markov Continuous time Ornstein Uhlenbeck hmmm hmmmm ,tagmee.topn3,0.319,hidden markov modeling hmm Markov process Mathematical model Hidden Markov model ,conceptluster.topn5.3.bm25.rm3,0.319,hidden markov modeling hmm markov process mathematical model hidden markov model ,stem.trunc4,0.3175,hidd mark mode hmm ,glove.topn3,0.293,hidden markov modeling hmm hiding hid continuous time bb   simulation hmmm nope ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,secret shoppers ,0.2639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support ,0.0608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,model railroads ,0.0185,3,thesaurus.topn3,0.0772,model railroads  exemplary miniature  rail line railway ,word2vec.topn3,0.0327,model railroads railways ,sensedisambiguation,0.0327,model railroads railway ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security ,0.5727,2,sensedisambiguation,0.6134,Dulles Airport security security system ,anchor.topn3,0.5951,dulles airport security hvöt    tumushuke    persilaki ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity ,0.0572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government ,0.343,7,thesaurus.topn3,0.5578,iceland government   authority law ,tagmee.topn3,0.5575,iceland government Politics of Iceland ,conceptluster.topn5.3.bm25.rm3,0.5575,iceland government politics iceland ,sensedisambiguation,0.5065,Iceland government politics ,tagmee.topn3.replace,0.4509,Politics of Iceland ,sensedisambiguation.replace,0.4509,iceland politics ,thesaurus.topn3.replace,0.4302,iceland  authority law ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes ,0.5323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork ,0.0644,1,wiki.topn3,0.1413,big dig pork transport infrastructure completed in      battery park city heather fargo Big Dig osrox mission school voucher federal jurisdiction  united states  Pork barrel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages ,0.2432,1,docluster.topn10.3.bm25.rm3,0.2545,illegal immigrant wages illeg page law ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Eskimo History ,0.1535,6,tagmee.topn3.replace,0.2081,Eskimo kinship History ,thesaurus.topn3,0.1799,eskimo history   past antiquity ,thesaurus.topn3.replace,0.1741,eskimo  past antiquity ,tagmee.topn3,0.1685,eskimo history Eskimo kinship History ,conceptnet.topn3,0.1623,eskimo history Esquimau past subject school ,conceptluster.topn5.3.bm25.rm3,0.1577,eskimo history eskimo kinship ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes ,0.6016,3,sensedisambiguation,0.6559999999999999,urban suburban coyotes coyote ,docluster.topn10.3.bm25.rm3,0.6559999999999999,urban suburban coyotes coyot ,termluster.topn5.3.bm25.rm3,0.611,urban suburban coyotes also anim area urban time state ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,textile dyeing techniques ,0.5223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers ,0.1214,5,wiki.topn3,0.3,geysers geysers obsidian magma Geyser ,conceptnet.topn3,0.2509,geysers physical phenomena ,thesaurus.topn3,0.2321,geysers  gusher hot spring ,wiki.topn3.replace,0.2241,geysers obsidian magma Geyser ,glove.topn3,0.1274,geysers js   fahnt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America ,0.2759,1,wiki.topn3,0.3266,camel north america camels halal food camelids Camel north america regions of the americas europe North America ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough ,0.0948,3,wiki.topn3,0.3211,david mccullough books about john adams john adams  book  joseph sabin David McCullough ,wiki.topn3.replace,0.2708,books about john adams john adams  book  joseph sabin David McCullough ,wordnet.topn3,0.1789,david mccullough St  David Saint David ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot ,0.608,7,docluster.topn10.3.bm25.rm3,0.6808,pol pot we you servic were cambodian prison ,anchor.topn3,0.6705,pol pot yekan sanjin pol sattawath pepper pot attermir    olla ,glove.topn3,0.6649,pol pot rouge maj boiling ,sensedisambiguation,0.6539,Pol politician Pot toilet ,conceptnet.topn3,0.6517,pol pot politician military ,thesaurus.topn3,0.6257,pol pot   basin bowl ,termluster.topn5.3.bm25.rm3,0.619,pol pot cambodia khmer pot cambodia khmer pol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications ,0.0592,7,tagmee.topn3,0.2926,segmental duplications Segmentation  biology  Gene duplication ,conceptluster.topn5.3.bm25.rm3,0.2926,segmental duplications gene duplication segmentation biology ,sensedisambiguation,0.2226,segmental duplications duplication ,tagmee.topn3.replace,0.1533,Segmentation  biology  Gene duplication ,wiki.topn3,0.0629,segmental duplications coelom microsporidia cleavag embryo  Segmentation  biology  deletion  genetics  genconversion chromatid Gene duplication ,glove.topn3,0.0625,segmental duplications semi circular js   deletions insertions ,thesaurus.topn3,0.0617,segmental duplications   analogy comparison ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato ,0.2746,3,tagmee.topn3,0.439,new jersey tomato New Jersey Jersey Tomato ,tagmee.topn3.replace,0.4226,New Jersey Jersey Tomato ,conceptluster.topn5.3.bm25.rm3,0.2842,new jersey tomato jersey tomato ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity ,0.2733,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II ,0.6658,2,relevancefeedback.topn10.bm25.rm3,0.6898,portugal world war ii alli gold we ,docluster.topn10.3.bm25.rm3,0.675,portugal world war ii gold ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,radio station call letters ,0.1025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics ,0.2678,7,wiki.topn3,0.6281,scalable vector graphics mathml web browser engine konqueror Scalable Vector Graphics ,wiki.topn3.replace,0.6107,mathml web browser engine konqueror Scalable Vector Graphics ,termluster.topn5.3.bm25.rm3,0.5972,scalable vector graphics web vector svg graphic new scalabl web vector svg ,docluster.topn10.3.bm25.rm3,0.5897,scalable vector graphics svg ,wordnet.topn3,0.5322,scalable vector graphics transmitter nontextual matter ,sensedisambiguation,0.5299,Scalable Vector Graphics graphic ,relevancefeedback.topn10.bm25.rm3,0.5162,scalable vector graphics svg imag render file download graphic system visual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood ,0.4344,1,conceptluster.topn5.3.bm25.rm3,0.4516,mississippi river flood flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
