qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
791,Gullah geechee language culture ,0.484,18,stem.porter,0.6072,gullah geeche languag cultur ,stem.porter2,0.6072,gullah geeche languag cultur ,tagmee.topn3.replace,0.5969,Gullah Gullah Gullah language Culture ,wiki.topn3,0.5662,gullah geechee language culture gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,stem.lovins,0.5638,gullah geeche langu cultur ,wiki.topn3.replace,0.5476,gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,word2vec.topn3,0.5386,gullah geechee language culture langauge traditions ,anchor.topn3.replace,0.5313,gullah  island binyah ambelau geechee language culture ,relevancefeedback.topn10.qld.rm3,0.5192,gullah geechee language culture studi cultur african peopl comment altern award ,anchor.topn3,0.5187,gullah geechee language culture gullah  island binyah ambelau ,word2vec.topn3.replace,0.516,gullah geechee langauge traditions ,tagmee.topn3,0.5093,gullah geechee language culture Gullah Gullah Gullah language Culture ,termluster.topn5.3.qld.rm3,0.5083,gullah geechee language culture countri geeche nation site nation gullah studi special public ,thesaurus.topn3,0.5043,gullah geechee language culture    accent dialect  ability art ,conceptluster.topn5.3.qld.rm3,0.5012,gullah geechee language culture gullah language culture ,conceptnet.topn3.replace,0.5,geechee united states gullah Spanish english culture ,docluster.topn10.3.qld.rm3,0.4978,gullah geechee language culture cultur altern comment ,conceptnet.topn3,0.4892,gullah geechee language culture united states Spanish english 
792,Social Security means test ,0.1595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Bagpipe Bands ,0.29600000000000004,7,thesaurus.topn3,0.365,bagpipe bands   line ring ,termluster.topn5.3.qld.rm3,0.335,bagpipe bands pipe band pipe bagpip ,thesaurus.topn3.replace,0.3284,bagpipe  line ring ,tagmee.topn3,0.3188,bagpipe bands Bagpipes Military band ,conceptluster.topn5.3.qld.rm3,0.3188,bagpipe bands military band bagpipes ,tagmee.topn3.replace,0.3072,Bagpipes Military band ,docluster.topn10.3.qld.rm3,0.3007,bagpipe bands band ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,pet therapy ,0.0151,6,tagmee.topn3,0.1764,pet therapy Animal assisted therapy ,conceptluster.topn5.3.qld.rm3,0.1764,pet therapy animal assisted therapy ,tagmee.topn3.replace,0.1138,Animal assisted therapy ,glove.topn3,0.0415,pet therapy dog treatments ,conceptnet.topn3,0.0358,pet therapy dog a dog ,word2vec.topn3,0.0152,pet therapy dog puppy therapist ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,notable cocker spaniels ,0.0865,12,stem.paicehusk,0.1473,not cock spaniel ,word2vec.topn3.replace,0.1382,noteworthy noteable note worthy spaniel spaniels spaniels ,wiki.topn3,0.1094,notable cocker spaniels labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,wiki.topn3.replace,0.1047,labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,word2vec.topn3,0.0959,notable cocker spaniels noteworthy noteable note worthy spaniel spaniels ,sensedisambiguation.replace,0.0936,noteworthy cocker spaniel spaniel ,tagmee.topn3.replace,0.0934,Cocker Spaniel Spaniel ,conceptnet.topn3.replace,0.0932,noteworthy far famed luminary cocker spaniel pamper old cocker spaniels ,tagmee.topn3,0.0918,notable cocker spaniels Cocker Spaniel Spaniel ,conceptluster.topn5.3.qld.rm3,0.0918,notable cocker spaniels spaniel cocker spaniel ,sensedisambiguation,0.0915,notable noteworthy cocker cocker spaniel spaniels spaniel ,anchor.topn3.replace,0.0874,notable cocker  jarvis a i  lavulavu spaniels ,,,,,,,,,,,,,,,,,,
796,Blue Grass Music Festival history ,0.1488,7,tagmee.topn3.replace,0.32299999999999995,Bluegrass music ,tagmee.topn3,0.2692,blue grass music festival history Bluegrass music ,conceptluster.topn5.3.qld.rm3,0.2692,blue grass music festival history bluegrass music ,wiki.topn3,0.2406,blue grass music festival history old time music bluegrass music americana  music  Bluegrass music ,wiki.topn3.replace,0.1937,old time music bluegrass music americana  music  Bluegrass music ,glove.topn3,0.1634,blue grass music festival history red bright lawn pasture songs fest historical ever ,word2vec.topn3,0.1597,blue grass music festival history red yellow purple lawn music  history ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,reintroduction of gray wolves ,0.6176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Massachusetts textile mills ,0.3526,4,conceptnet.topn3.replace,0.3958,a state a state in New England Taconic Mountains textile Robert Mills produce textiles ,relevancefeedback.topn10.qld.rm3,0.3889,massachusetts textile mills lowel      mill ,docluster.topn10.3.qld.rm3,0.3724,massachusetts textile mills lowel ,wiki.topn3,0.3692,massachusetts textile mills provincof new hampshire colonial new hampshire dominion of new england Province of Massachusetts Bay textile mills spinning mule worsted Textile manufacturing textile mills spinning mule worsted Textile manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Animals in Alzheimer s research ,0.218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Ovarian Cancer Treatment ,0.2402,1,thesaurus.topn3,0.2414,ovarian cancer treatment   corruption disease  analysis cure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Kudzu Pueraria lobata ,0.5147,7,stem.lovins,0.7081,kudzu puerar lob ,tagmee.topn3.replace,0.6598,Kudzu Kudzu ,tagmee.topn3,0.5882,kudzu pueraria lobata Kudzu Kudzu ,stem.paicehusk,0.5877,kudzu puerar lobat ,wiki.topn3,0.5641,kudzu pueraria lobata pueraria strongyloides stercoralis edamame Kudzu pueraria strongyloides stercoralis edamame Kudzu ,conceptnet.topn3,0.5461,kudzu pueraria lobata vine rosid dicot genus animal order ,relevancefeedback.topn10.qld.rm3,0.5276,kudzu pueraria lobata sourc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature ,0.0975,4,conceptluster.topn5.3.qld.rm3,0.5479999999999999,volcano eruptions global temperature climate temperature ,anchor.topn3,0.4133,volcano eruptions global temperature  kudryavyi  ndiayen  idmaax  global eliahu  learjet  kiwin ,sensedisambiguation,0.1537,Volcano eruptions eruption global temperature ,tagmee.topn3.replace,0.1125,Volcano Volcano Climate Temperature ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,May Day ,0.0,2,wiki.topn3.replace,0.0123,publiholidays in the republiof ireland international workers  day parade May Day ,wiki.topn3,0.0038,may day publiholidays in the republiof ireland international workers  day parade May Day ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning ,0.5089,2,sensedisambiguation.replace,0.5817,prohibition on human cloning ,sensedisambiguation,0.5764,ban prohibition on human cloning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Identity Theft Passport ,0.0276,5,stem.paicehusk,0.1445,id theft passport ,termluster.topn5.3.qld.rm3,0.0623,identity theft passport victim theft report attornei crime gener attornei crime gener ,sensedisambiguation,0.0499,Identity Theft larceny Passport recommendation ,anchor.topn3,0.042,identity theft passport weaverfish j ricardo kgef auto    grand  xiaolong stg     pasport passport format ,stem.lovins,0.037000000000000005,idens theft passport ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders ,0.0594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff rate quotas ,0.6576,2,anchor.topn3,0.6701,sugar tariff rate quotas sugariin tamanua  navua ,tagmee.topn3,0.6611,sugar tariff rate quotas Sugar Import quota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting ,0.6352,1,stem.krovetz,0.6746,north korea counterfeit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment ,0.3289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales ,0.2272,2,termluster.topn5.3.qld.rm3,0.2693,timeshare resales sale resal purchas timeshar sale purchas ,sensedisambiguation,0.2609,timeshare resales resale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition ,0.3683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery ,0.5491,1,conceptluster.topn5.3.qld.rm3,0.5524,total knee replacement surgery knee replacement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway ,0.3097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood ,0.7166,1,wiki.topn3,0.7477,johnstown flood      meteorology      in pennsylvania south fork dam Johnstown Flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues ,0.0731,3,sensedisambiguation,0.2114,Coast slide Guard precaution rescues rescue ,wordnet.topn3,0.0988,coast guard rescues seashore seacoast slide defend safety device sentry go delivery saving deliverance ,glove.topn3.replace,0.0838,coastal guard rescues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos ,0.6659,4,wordnet.topn3.replace,0.9073,usaid aid help Galapagos Islands ,wordnet.topn3,0.7383,usaid assistance galapagos help aid Galapagos Islands ,thesaurus.topn3.replace,0.7323,usaid  aid backing galapagos ,relevancefeedback.topn10.qld.rm3,0.6709,usaid assistance to galapagos fy conserv doi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,sports stadium naming rights ,0.2519,6,tagmee.topn3,0.4184,sports stadium naming rights Stadium Naming rights ,conceptluster.topn5.3.qld.rm3,0.4184,sports stadium naming rights naming rights stadium ,tagmee.topn3.replace,0.3743,Stadium Naming rights ,wiki.topn3,0.3098,sports stadium naming rights stadiums multi purposstadium sports venues Stadium list of sports venues with thnamtoyota geiger engineers rossetti architects Naming rights ,sensedisambiguation.replace,0.3018,sport stadium name right field ,word2vec.topn3,0.2916,sports stadium naming rights athletics ballpark renaming rights  rights  rights ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Chaco Culture National Park ,0.1495,1,wordnet.topn3.replace,0.1896,chaco finish acculturation polish interior internal subject parkland commons ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Census ,0.0004,17,word2vec.topn3,0.091,census                censuses Censuses ,word2vec.topn3.replace,0.0537,censuses Censuses ,thesaurus.topn3,0.0394,census  enumeration poll ,termluster.topn5.3.qld.rm3,0.0246,census access archiv articl ,glove.topn3,0.0108,census           population inhabitants ,wiki.topn3.replace,0.0102,united states census      united states census      united states census      United States Census ,tagmee.topn3.replace,0.0102,United States Census ,wiki.topn3,0.0077,census      united states census      united states census      united states census      United States Census ,tagmee.topn3,0.0077,census      United States Census ,conceptluster.topn5.3.qld.rm3,0.0077,census      united states census ,docluster.topn10.3.qld.rm3,0.0071,census record ,conceptnet.topn3,0.006999999999999999,census population ,anchor.topn3,0.0041,census                census voluntari under insur un ,relevancefeedback.topn10.qld.rm3,0.0029,census censu record ,conceptnet.topn3.replace,0.0019,population ,wordnet.topn3,0.0012,census nose count nosecount ,thesaurus.topn3.replace,0.001,enumeration poll ,,,
820,imported fire ants ,0.7771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work at home scams ,0.1588,1,stem.trunc4,0.1769,inte work   at   home scam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Custer s Last Stand ,0.1093,6,wiki.topn3,0.1845,custer  s last stand battlof throsebud marias massacre son of thmorning star Battle of the Little Bighorn ,docluster.topn10.3.qld.rm3,0.1635,custer s last stand custer littl ,termluster.topn5.3.qld.rm3,0.1513,custer  s last stand last littl        custer littl ,conceptnet.topn3,0.1476,custer  s last stand George Armstrong Custer michigan montana walk ,tagmee.topn3,0.1263,custer  s last stand Battle of the Little Bighorn ,conceptluster.topn5.3.qld.rm3,0.1263,custer  s last stand battle little bighorn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities ,0.4036,6,relevancefeedback.topn10.qld.rm3,0.5344,continuing care retirement communities oper provid ccrc ,wiki.topn3.replace,0.4792,Continuing care retirement communities in the United States ,tagmee.topn3.replace,0.4792,Continuing care retirement communities in the United States ,wiki.topn3,0.4051,continuing care retirement communities Continuing care retirement communities in the United States ,tagmee.topn3,0.4051,continuing care retirement communities Continuing care retirement communities in the United States ,conceptluster.topn5.3.qld.rm3,0.4051,continuing care retirement communities continuing care retirement communities united states ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol ,0.4019,5,wiki.topn3,0.4512,civil air patrol civil air patrol american military youth groups air cadet organisations Civil Air Patrol ,wiki.topn3.replace,0.4499,civil air patrol american military youth groups air cadet organisations Civil Air Patrol ,word2vec.topn3,0.4481,civil air patrol rights era civl air  water ,sensedisambiguation,0.4401,Civil Air tune Patrol ,glove.topn3,0.4245,civil air patrol conflict brought force flying ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,National Guard Involvement in Iraq ,0.0012,8,tagmee.topn3,0.0168,national guard involvement iraq National Guard of the United States Iraq War ,conceptluster.topn5.3.qld.rm3,0.0168,national guard involvement iraq national guard united states iraq war ,sensedisambiguation,0.0083,National Guard precaution Involvement participation in Iraq ,wiki.topn3,0.0042,national guard involvement iraq united states marincorps reserve united states army reserve united states armed forces National Guard of the United States      in iraq conflicts in           in iraq Iraq War ,stem.trunc5,0.0034,natio guard invol in iraq ,tagmee.topn3.replace,0.0024,National Guard of the United States Iraq War ,thesaurus.topn3,0.0018,national guard involvement iraq  civil communal  defender escort  crisis embarrassment ,stem.paicehusk,0.0017,nat guard involv in iraq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians ,0.2806,7,conceptluster.topn5.3.qld.rm3,0.5557,florida seminole indians seminole tribe florida ,tagmee.topn3.replace,0.5548,Florida Seminole Tribe of Florida Seminole Seminole ,tagmee.topn3,0.4922,florida seminole indians Florida Seminole Tribe of Florida Seminole Seminole ,wiki.topn3,0.4149,florida seminole indians peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,wiki.topn3.replace,0.407,peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,conceptnet.topn3,0.3911,florida seminole indians a state the United States a condominium sleep in tents some people ,sensedisambiguation,0.3572,Florida Seminole Indians indian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM ,0.3513,3,word2vec.topn3,0.4683,hidden markov modeling hmm concealed hid semi Markov Continuous time Ornstein Uhlenbeck hmmm hmmmm ,tagmee.topn3,0.4124,hidden markov modeling hmm Markov process Mathematical model Hidden Markov model ,conceptluster.topn5.3.qld.rm3,0.4124,hidden markov modeling hmm markov process mathematical model hidden markov model ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,secret shoppers ,0.2706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support ,0.0548,1,stem.krovetz,0.1198,spain civil war support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,model railroads ,0.0281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security ,0.4915,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity ,0.1492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government ,0.4825,4,termluster.topn5.3.qld.rm3,0.5701,iceland government govern law nation world state nation ,tagmee.topn3,0.5667,iceland government Politics of Iceland ,conceptluster.topn5.3.qld.rm3,0.5667,iceland government politics iceland ,thesaurus.topn3.replace,0.5221,iceland  authority law ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes ,0.4507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork ,0.058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages ,0.1712,1,anchor.topn3,0.1803,illegal immigrant wages voofoo grumpyfac noodlecak   fyn   lorri   nord ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Eskimo History ,0.1186,5,conceptluster.topn5.3.qld.rm3,0.209,eskimo history eskimo kinship ,tagmee.topn3.replace,0.1831,Eskimo kinship History ,tagmee.topn3,0.1819,eskimo history Eskimo kinship History ,thesaurus.topn3,0.1533,eskimo history   past antiquity ,thesaurus.topn3.replace,0.136,eskimo  past antiquity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes ,0.6203,1,termluster.topn5.3.qld.rm3,0.6599,urban suburban coyotes also anim area urban time pet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,textile dyeing techniques ,0.4856,1,docluster.topn10.3.qld.rm3,0.5451,textile dyeing techniques dye us color ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers ,0.1168,4,wiki.topn3,0.2139,geysers geysers obsidian magma Geyser ,conceptnet.topn3,0.1989,geysers physical phenomena ,thesaurus.topn3,0.1656,geysers  gusher hot spring ,glove.topn3,0.1204,geysers js   fahnt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America ,0.5595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough ,0.0861,2,wiki.topn3,0.2431,david mccullough books about john adams john adams  book  joseph sabin David McCullough ,wiki.topn3.replace,0.189,books about john adams john adams  book  joseph sabin David McCullough ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot ,0.5697,6,sensedisambiguation,0.6936,Pol politician Pot toilet ,glove.topn3,0.6719,pol pot rouge maj boiling ,anchor.topn3,0.6587,pol pot yekan sanjin pol sattawath pepper pot attermir    olla ,thesaurus.topn3,0.65,pol pot   basin bowl ,termluster.topn5.3.qld.rm3,0.6271,pol pot cambodia khmer pot cambodia khmer pol ,wiki.topn3,0.6092,pol pot people from kampong thom province cambodian people convicted of murder cambodian genocide Pol Pot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications ,0.062,5,tagmee.topn3,0.3313,segmental duplications Segmentation  biology  Gene duplication ,conceptluster.topn5.3.qld.rm3,0.3313,segmental duplications gene duplication segmentation biology ,thesaurus.topn3,0.2227,segmental duplications   analogy comparison ,sensedisambiguation,0.1713,segmental duplications duplication ,conceptnet.topn3,0.1004,segmental duplications divided metameric ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato ,0.3996,1,conceptluster.topn5.3.qld.rm3,0.4441,new jersey tomato jersey tomato ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity ,0.1816,1,wordnet.topn3,0.1957,heredity obesity genetic endowment fleshiness corpulency ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II ,0.4677,5,relevancefeedback.topn10.qld.rm3,0.6837,portugal world war ii gold alli bank ,docluster.topn10.3.qld.rm3,0.674,portugal world war ii gold ,glove.topn3,0.65,portugal world war ii spain lisbon time ever conflict iii iv ,termluster.topn5.3.qld.rm3,0.516,portugal world war ii zurich www dn se wwii accord account action accord account action ,wiki.topn3,0.4869,portugal world war ii Portugal during World War II wars involving luxembourg wars involving poland wars involving the netherlands World War II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,radio station call letters ,0.1043,3,termluster.topn5.3.qld.rm3,0.1162,radio station call letters broadcast call letter broadcast call letter broadcast letter radio station radio locat ,relevancefeedback.topn10.qld.rm3,0.1092,radio station call letters fm letter ,docluster.topn10.3.qld.rm3,0.1092,radio station call letters letter fm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics ,0.4003,4,termluster.topn5.3.qld.rm3,0.6097,scalable vector graphics graphic new svg web vector svg ,wiki.topn3,0.5939,scalable vector graphics mathml web browser engine konqueror Scalable Vector Graphics ,wordnet.topn3,0.5042,scalable vector graphics transmitter nontextual matter ,relevancefeedback.topn10.qld.rm3,0.5033,scalable vector graphics svg graphic imag file cwt visual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood ,0.213,6,conceptluster.topn5.3.qld.rm3,0.2853,mississippi river flood flood ,wiki.topn3,0.2776,mississippi river flood borders of minnesota borders of iowa borders of louisiana Mississippi River drought levee flash flood Flood ,wordnet.topn3.replace,0.2702,Mississippi River Magnolia State river deluge inundate glut ,sensedisambiguation,0.267,Mississippi River flood flood tide ,wiki.topn3.replace,0.2584,borders of minnesota borders of iowa borders of louisiana Mississippi River drought levee flash flood Flood ,termluster.topn5.3.qld.rm3,0.2237,mississippi river flood flood river along flood mississippi along mississippi river along ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
