qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
359,mutual fund predictors ,0.0091,15,tagmee.topn3.replace,0.0424,Mutual fund ,tagmee.topn3,0.0422,mutual fund predictors Mutual fund ,conceptluster.topn5.3.qld.rm3,0.0422,mutual fund predictors mutual fund ,wiki.topn3,0.0387,mutual fund predictors fixed income assets under management exchange traded fund Mutual fund ,stem.krovetz,0.0365,mutual fund predict ,glove.topn3,0.0327,mutual fund predictors trust investments money exemplars ,wiki.topn3.replace,0.0325,fixed income assets under management exchange traded fund Mutual fund ,wordnet.topn3,0.0257,mutual fund predictors reciprocal common investment company investment firm store forecaster soothsayer ,thesaurus.topn3,0.0251,mutual fund predictors   capital endowment  prognosticator seer ,stem.trunc4,0.0198,mutu fund pred ,word2vec.topn3,0.0195,mutual fund predictors mutal reciprocal variables ,stem.paicehusk,0.0143,mut fund predict ,wordnet.topn3.replace,0.0141,reciprocal common monetary fund stock prognosticator soothsayer ,stem.trunc5,0.0108,mutua fund predi ,thesaurus.topn3.replace,0.0103,mutual  capital endowment  prognosticator seer ,,,,,,,,,,,,,,,
360,drug legalization benefits ,0.2338,6,word2vec.topn3,0.299,drug legalization benefits narcotics legalisation decriminalization advantages detriments ,word2vec.topn3.replace,0.2701,narcotics legalisation decriminalization advantages detriments ,termluster.topn5.3.qld.rm3,0.267,drug legalization benefits becaus legal sai would sai peopl ,stem.trunc5,0.2607,drug legal benef ,wordnet.topn3,0.2567,drug legalization benefits dose do drugs legalisation legitimation gain do good welfare ,glove.topn3,0.2398,drug legalization benefits trafficking decriminalization moreover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops ,0.5302,9,wiki.topn3.replace,0.685,footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,relevancefeedback.topn10.qld.rm3,0.6792,clothing sweatshops said labor sew cloth home bill worker ,docluster.topn10.3.qld.rm3,0.6641,clothing sweatshops said sew ,wiki.topn3,0.6588,clothing sweatshops footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,termluster.topn5.3.qld.rm3,0.6581,clothing sweatshops would worker sweatshop would worker state ,wordnet.topn3,0.5587,clothing sweatshops cloak vesture raiment ,word2vec.topn3,0.5546,clothing sweatshops apparel garments sweat shops ,sensedisambiguation,0.5313,clothing sweatshops sweatshop ,conceptnet.topn3,0.5308,clothing sweatshops the closet dress a drawer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling ,0.2434,1,termluster.topn5.3.qld.rm3,0.2439,human smuggling peopl investig illeg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters ,0.0272,3,sensedisambiguation.replace,0.0865,transportation system tunnel disaster ,word2vec.topn3.replace,0.0547,transporation tunnel catastrophes calamities ,word2vec.topn3,0.032,transportation tunnel disasters transporation catastrophes calamities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,rabies ,0.5659,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino ,0.6775,5,relevancefeedback.topn10.qld.rm3,0.7138,el nino water said australia warm drought june fishmeal ,anchor.topn3.replace,0.7017,leré egdat  laâyoune  nino nina  rasera mikelidi ,anchor.topn3,0.6988,el nino leré egdat  laâyoune  nino nina  rasera mikelidi ,wordnet.topn3,0.6920000000000001,el nino ALT elevated railroad ,wiki.topn3,0.6919,el nino natural history of oceania laktoba geography of tonga El Niño ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses ,0.32799999999999996,4,tagmee.topn3,0.4036,commercial cyanide uses Hydrogen cyanide ,conceptluster.topn5.3.qld.rm3,0.4036,commercial cyanide uses hydrogen cyanide ,stem.paicehusk,0.3595,commerc cyanid us ,thesaurus.topn3.replace,0.3282,economic financial cyanide  adoption benefit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy ,0.0503,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization ,0.5313,13,termluster.topn5.3.qld.rm3,0.6718,vitro fertilization said egg coupl ,docluster.topn10.3.qld.rm3,0.6624,in vitro fertilization she said case embryo ,relevancefeedback.topn10.qld.rm3,0.6559999999999999,in vitro fertilization center she he york have case fertil embryo said ,anchor.topn3,0.5997,vitro fertilization vitro    oocyte  fertilisation embryo ,wordnet.topn3,0.5884,vitro fertilization fertilisation impregnation ,anchor.topn3.replace,0.5806,vitro    oocyte  fertilisation embryo fertilization ,word2vec.topn3,0.5761,vitro fertilization in vitro vivo invitro fertilisation ,thesaurus.topn3,0.5679,vitro fertilization   covering dressing ,glove.topn3,0.5513,vitro fertilization fertilization ivf vitro fertilisation ,conceptnet.topn3,0.5513,vitro fertilization creation ,glove.topn3.replace,0.5496,fertilization ivf vitro fertilisation ,tagmee.topn3,0.5363,vitro fertilization In vitro fertilisation ,conceptluster.topn5.3.qld.rm3,0.5363,vitro fertilization vitro fertilisation ,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia ,0.2403,6,conceptnet.topn3,0.4369,anorexia nervosa bulimia an eating disorder ,wiki.topn3.replace,0.3426,anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wiki.topn3,0.3342,anorexia nervosa bulimia anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wordnet.topn3,0.3301,anorexia nervosa bulimia binge eating syndrome ,wordnet.topn3.replace,0.25,anorexia nervosa binge eating syndrome ,tagmee.topn3.replace,0.2485,Anorexia nervosa Bulimia nervosa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food drug laws ,0.0046,4,glove.topn3,0.0288,food drug laws regulations ,glove.topn3.replace,0.0273,food drug regulations ,wiki.topn3.replace,0.0075,foods cuisine meat Food marihuana tax act of      buprenorphine purfood and drug act Prohibition of drugs ,wiki.topn3,0.0066,food drug laws foods cuisine meat Food marihuana tax act of      buprenorphine purfood and drug act Prohibition of drugs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic ,0.0084,14,thesaurus.topn3,0.0324,health insurance holistic  energy fitness  allowance coverage  comprehensive integrated ,word2vec.topn3,0.0226,health insurance holistic well being wellbeing nutrition premiums wholistic integrative ,anchor.topn3,0.022000000000000002,health insurance holistic mapogo center midland health northwest ,tagmee.topn3.replace,0.0215,Health insurance Holistic health ,wiki.topn3.replace,0.015,health insurance types of insurance medicar united states  Health insurance integrativmedicine mindfulness based stress reduction psychiatric times Holistic health ,tagmee.topn3,0.0142,health insurance holistic Health insurance Holistic health ,conceptluster.topn5.3.qld.rm3,0.0142,health insurance holistic health insurance holistic health ,termluster.topn5.3.qld.rm3,0.0126,health insurance holistic peopl sai treatment ,conceptnet.topn3,0.0125,health insurance holistic eating vegetables maintaining muscle strength riding a bicycle expensive term insurance business interruption insurance ,wiki.topn3,0.0124,health insurance holistic health insurance types of insurance medicar united states  Health insurance integrativmedicine mindfulness based stress reduction psychiatric times Holistic health ,relevancefeedback.topn10.qld.rm3,0.0119,health insurance holistic he enright you altern food i ,wordnet.topn3,0.0106,health insurance holistic wellness indemnity insurance policy ,sensedisambiguation,0.0104,health insurance policy holistic ,anchor.topn3.replace,0.0095,mapogo center midland health northwest insurance holistic ,,,,,,,,,,,,,,,,,,
372,Native American casino ,0.226,4,conceptnet.topn3,0.4366,native american casino indian chief person dollar ,wordnet.topn3,0.2581,native american casino indigene aboriginal American language American English gambling casino cassino ,relevancefeedback.topn10.qld.rm3,0.2332,native american casino pequot indian gambl vega davi who game ,wordnet.topn3.replace,0.2278,aboriginal indigen American English American language cassino gambling casino ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export ,0.0407,8,stem.lovins,0.1149,encrypt equipm export ,tagmee.topn3,0.0737,encryption equipment export Cryptography Machine Export ,conceptluster.topn5.3.qld.rm3,0.0737,encryption equipment export cryptography export machine ,word2vec.topn3,0.0618,encryption equipment export cryptography cryptographic gear import ,wordnet.topn3,0.0616,encryption equipment export encoding ,sensedisambiguation,0.0616,encryption encoding equipment export ,glove.topn3,0.055,encryption equipment export cryptographic machinery import ,conceptnet.topn3,0.0462,encryption equipment export encoding life support system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners ,0.3247,15,tagmee.topn3.replace,0.4789,Nobel Prize ,stem.trunc5,0.478,nobel prize winne ,wordnet.topn3,0.4665,nobel prize winners Alfred Bernhard Nobel Alfred Nobel jimmy prise prime succeeder achiever ,wordnet.topn3.replace,0.4629,Alfred Bernhard Nobel Alfred Nobel choice value pry victor succeeder success ,wiki.topn3,0.4555,nobel prize winners awards established in      nobel prizin physics maricurie Nobel Prize ,glove.topn3,0.4531,nobel prize winners laureate prize nobel finalists ,wiki.topn3.replace,0.4468,awards established in      nobel prizin physics maricurie Nobel Prize ,glove.topn3.replace,0.4464,laureate prize nobel finalists ,conceptnet.topn3,0.4247,nobel prize winners Alfred Bernhard Nobel reward value happy ,tagmee.topn3,0.3984,nobel prize winners Nobel Prize ,conceptluster.topn5.3.qld.rm3,0.3984,nobel prize winners nobel prize ,anchor.topn3,0.3965,nobel prize winners  nobel exaucé             starodubka friedebert sødringsk ,stem.paicehusk,0.3964,nobel priz win ,anchor.topn3.replace,0.3497,nobel exaucé             starodubka friedebert sødringsk winners ,stem.lovins,0.3383,nobel priz winner ,,,,,,,,,,,,,,,
375,hydrogen energy ,0.2488,2,word2vec.topn3,0.47700000000000004,hydrogen energy helium deuterium enery ,word2vec.topn3.replace,0.3354,helium deuterium enery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court ,0.0002,7,wiki.topn3.replace,0.0047,international court of justice international law international criminal court International Court of Justice ,wiki.topn3,0.0035,world court international court of justice international law international criminal court International Court of Justice ,tagmee.topn3.replace,0.0035,International Court of Justice ,word2vec.topn3,0.002,world court globe country rulings ,tagmee.topn3,0.0019,world court International Court of Justice ,conceptluster.topn5.3.qld.rm3,0.0019,world court international court justice ,relevancefeedback.topn10.qld.rm3,0.0005,world court militari ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking ,0.37,2,wordnet.topn3.replace,0.4204,cigar fume ,stem.lovins,0.4016,cigar smok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition ,0.0067,13,glove.topn3.replace,0.191,currency european supporters opponents ,glove.topn3,0.1438,euro opposition currency european supporters opponents ,wiki.topn3.replace,0.1355,currencies of the caribbean symbols of the european union      in economics Euro election boycott clientelism electoral list Opposition  politics ,wiki.topn3,0.1144,euro opposition currencies of the caribbean symbols of the european union      in economics Euro election boycott clientelism electoral list Opposition  politics ,conceptnet.topn3,0.0181,euro opposition europe against mutual opposition ,tagmee.topn3.replace,0.0132,Euro Opposition  politics ,word2vec.topn3,0.0114,euro opposition opponents ,word2vec.topn3.replace,0.0102,euro opponents ,docluster.topn10.3.qld.rm3,0.0078,euro opposition govern mr amend ,wordnet.topn3.replace,0.0075,euro confrontation ,tagmee.topn3,0.0073,euro opposition Euro Opposition  politics ,conceptluster.topn5.3.qld.rm3,0.0073,euro opposition euro opposition politics ,sensedisambiguation,0.0071,euro opposition resistance ,,,,,,,,,,,,,,,,,,,,,
379,mainstreaming ,0.0114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment ,0.1718,9,tagmee.topn3,0.3934,obesity medical treatment Obesity Therapy ,conceptluster.topn5.3.qld.rm3,0.3934,obesity medical treatment obesity therapy ,anchor.topn3.replace,0.3349,obesity zéphire prehistoriqu infirmièr tretman   poseban  treatment ,wiki.topn3,0.2822,obesity medical treatment bariatrics overweight body shape Obesity diagnosis hyperkinetic disorder symptom Therapy ,conceptnet.topn3,0.2317,obesity medical treatment exercise doctor operation dealing ,conceptnet.topn3.replace,0.2219,obesity medical dealing ,relevancefeedback.topn10.qld.rm3,0.1994,obesity medical treatment diet weight cholesterol drug metabol have clinic ,termluster.topn5.3.qld.rm3,0.1953,obesity medical treatment year two sever ,docluster.topn10.3.qld.rm3,0.1926,obesity medical treatment diet weight have ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine ,0.0534,1,wiki.topn3,0.0793,alternative medicine holistic health homeopathy alternative and traditional medicine journals Alternative medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles ,0.6221,1,sensedisambiguation,0.6276,hydrogen fuel automobiles car ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs ,0.0177,10,tagmee.topn3.replace,0.0654,Mental disorder Psychoactive drug ,sensedisambiguation,0.0428,mental illness drugs drug ,wiki.topn3.replace,0.0419,mania personality disorder psychosis Mental disorder opiate empathogen entactogen antidepressant Psychoactive drug ,conceptnet.topn3,0.0367,mental illness drugs disease cloud your mind substances ,wiki.topn3,0.0357,mental illness drugs mania personality disorder psychosis Mental disorder opiate empathogen entactogen antidepressant Psychoactive drug ,docluster.topn10.3.qld.rm3,0.0318,mental illness drugs hospit patient we ,tagmee.topn3,0.0307,mental illness drugs Mental disorder Psychoactive drug ,conceptluster.topn5.3.qld.rm3,0.0307,mental illness drugs psychoactive drug mental disorder ,wordnet.topn3,0.0251,mental illness drugs genial sickness unwellness malady dose do drugs ,wordnet.topn3.replace,0.0179,genial unwellness malady sickness do drugs dose ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon ,0.2294,4,word2vec.topn3,0.2652,space station moon space  railway lunar ,wordnet.topn3,0.2641,space station moon infinite blank space post place lunation ,word2vec.topn3.replace,0.2473,space  railway lunar ,anchor.topn3,0.2452,space station moon  ss l  nelsh space triangl shimoyashiki station bird negeori   tertiari    icy      knockout ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,hybrid fuel cars ,0.4505,9,word2vec.topn3,0.5422,hybrid fuel cars non hybrid gasoline automobiles vehicles ,tagmee.topn3.replace,0.523,Hybrid vehicle Fuel Car ,tagmee.topn3,0.5218,hybrid fuel cars Hybrid vehicle Fuel Car ,conceptluster.topn5.3.qld.rm3,0.5218,hybrid fuel cars car fuel hybrid vehicle ,termluster.topn5.3.qld.rm3,0.4984,hybrid fuel cars batteri car electr year vehicl power ,relevancefeedback.topn10.qld.rm3,0.4837,hybrid fuel cars batteri car    engin cm electr ,docluster.topn10.3.qld.rm3,0.4834,hybrid fuel cars    batteri car ,word2vec.topn3.replace,0.4682,non hybrid gasoline automobiles vehicles ,thesaurus.topn3,0.4623,hybrid fuel cars  amalgam combination  ammunition electricity  auto automobile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,teaching disabled children ,0.0398,5,stem.lovins,0.0754,teach disabl childr ,wiki.topn3,0.0494,teaching disabled children knowledge sharing philosophy of education education Education advocacy special needs learning disability Disability childhood adoption overweight Child ,word2vec.topn3,0.0474,teaching disabled children learning instruction handicapped kids adults parents ,wiki.topn3.replace,0.046,knowledge sharing philosophy of education education Education advocacy special needs learning disability Disability childhood adoption overweight Child ,termluster.topn5.3.qld.rm3,0.0446,teaching disabled children year school said said year disabl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,radioactive waste ,0.1162,1,wiki.topn3,0.1168,radioactive waste nuclear power plant fossil fuel enriched uranium Radioactive waste ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement ,0.0461,3,termluster.topn5.3.qld.rm3,0.0782,organic soil enhancement time soil new make organ fertil ,stem.trunc5,0.0568,organ soil enhan ,conceptnet.topn3,0.0475,organic soil enhancement ground a potato ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,illegal technology transfer ,0.0042,1,glove.topn3,0.0048,illegal technology transfer smuggling tech ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs ,0.2029,9,relevancefeedback.topn10.qld.rm3,0.4902,orphan drugs drug amgen aid diseas ,docluster.topn10.3.qld.rm3,0.489,orphan drugs amgen drug aid ,termluster.topn5.3.qld.rm3,0.3834,orphan drugs said diseas approv ,wiki.topn3,0.2765,orphan drugs pantoprazole proteasinhibitor  pharmacology  ambrisentan Orphan drug ,wordnet.topn3.replace,0.275,orphan do drugs dose ,word2vec.topn3,0.2553,orphan drugs medications ,glove.topn3,0.2553,orphan drugs medications ,wordnet.topn3,0.244,orphan drugs dose do drugs ,sensedisambiguation,0.2323,orphan drugs drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R D drug prices ,0.4099,10,termluster.topn5.3.qld.rm3,0.466,r   drug prices cent compani develop ,relevancefeedback.topn10.qld.rm3,0.4591,r d drug prices d price n compani cent japanes ,tagmee.topn3,0.4573,r   drug prices Research and development Pharmaceutical drug Price ,conceptluster.topn5.3.qld.rm3,0.4573,r   drug prices pharmaceutical drug price research development ,docluster.topn10.3.qld.rm3,0.4503,r d drug prices cent price ,sensedisambiguation,0.4418,R roentgen   D drug prices price ,wiki.topn3,0.4297,r   drug prices research and development quality assurance microelectronics Research and development musclrelaxant bupropion paracetamol Pharmaceutical drug demand markup  business  marginal cost Price ,tagmee.topn3.replace,0.4266,Research and development Pharmaceutical drug Price ,conceptnet.topn3,0.4212,r   drug prices sale ,conceptnet.topn3.replace,0.4112,r   drug prices ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,robotics ,0.5006,1,termluster.topn5.3.qld.rm3,0.5191,robotics year sai new ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing ,0.0397,5,wiki.topn3,0.2652,mercy killing suicide types terminal illness eugenics Euthanasia ,wiki.topn3.replace,0.2525,suicide types terminal illness eugenics Euthanasia ,tagmee.topn3,0.1956,mercy killing Euthanasia ,conceptluster.topn5.3.qld.rm3,0.1956,mercy killing euthanasia ,tagmee.topn3.replace,0.1567,Euthanasia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling ,0.0012,2,word2vec.topn3,0.0027,home schooling house education ,glove.topn3,0.0021,home schooling where come education educations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,tourism ,0.155,7,termluster.topn5.3.qld.rm3,0.191,tourism develop tourist year ,conceptnet.topn3,0.1777,tourism tourist ,glove.topn3,0.1749,tourism tourist industry ,word2vec.topn3,0.172,tourism tourist tourism related ,word2vec.topn3.replace,0.1695,tourist tourism related ,glove.topn3.replace,0.1683,tourist industry ,wordnet.topn3,0.1603,tourism touristry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome ,0.1559,4,stem.trunc5,0.1774,sick build syndr ,docluster.topn10.3.qld.rm3,0.1716,sick building syndrome fibr build have ,wiki.topn3,0.1669,sick building syndrome green cleaning greenguard environmental institute biomedical waste Sick building syndrome ,sensedisambiguation,0.1623,sick building construction syndrome ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls ,0.0317,7,sensedisambiguation.replace,0.0985,car recall ,termluster.topn5.3.qld.rm3,0.0872,automobile recalls defect ,sensedisambiguation,0.0803,automobile car recalls recall ,glove.topn3.replace,0.0529,auto recalls ,relevancefeedback.topn10.qld.rm3,0.0432,automobile recalls seat automobil consum diesel car negoti he japan ,conceptnet.topn3,0.0368,automobile recalls car ,stem.paicehusk,0.0355,automobl recal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe s arsenal ,0.025,11,wiki.topn3,0.1297,dismantling europe  s arsenal cultural concepts peninsulas of asia europe Europe armories  military  arsenals embrasure Arsenal ,conceptnet.topn3,0.1226,dismantling europe  s arsenal a kingdom continent a castle ,sensedisambiguation,0.0981,dismantling strip Europe european union  s arsenal ,tagmee.topn3.replace,0.0829,Europe Arsenal ,tagmee.topn3,0.0807,dismantling europe  s arsenal Europe Arsenal ,wiki.topn3.replace,0.0747,cultural concepts peninsulas of asia europe Europe armories  military  arsenals embrasure Arsenal ,stem.trunc5,0.0744,disma europ   s arsen ,word2vec.topn3,0.0672,dismantling europe  s arsenal demolishing germany european europe  s of  s s armoury weapon ,sensedisambiguation.replace,0.0604,strip european union  s arsenal ,thesaurus.topn3,0.0524,dismantling europe  s arsenal  break up demolish    armory depository ,glove.topn3,0.0511,dismantling europe  s arsenal european asia  s whose gunners chelsea ,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,oceanographic vessels ,0.1145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Amazon rain forest ,0.4794,7,termluster.topn5.3.qld.rm3,0.529,amazon rain forest brazil forest tree amazon brazil forest amazon brazil tree ,tagmee.topn3.replace,0.5239,Amazon rainforest ,glove.topn3,0.5229,amazon rain forest amazonian amazon com downpour woodland ,glove.topn3.replace,0.5214,amazonian amazon com downpour woodland ,tagmee.topn3,0.5043,amazon rain forest Amazon rainforest ,conceptluster.topn5.3.qld.rm3,0.5043,amazon rain forest amazon rainforest ,docluster.topn10.3.qld.rm3,0.4892,amazon rain forest have ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,foreign minorities  Germany ,0.0385,1,wordnet.topn3,0.0581,foreign minorities germany strange alien nonage Federal Republic of Germany FRG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics ,0.2677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis ,0.5292,2,docluster.topn10.3.qld.rm3,0.5604,osteoporosis fractur bone women ,relevancefeedback.topn10.qld.rm3,0.5484,osteoporosis fractur bone hrt   women daughter studi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Ireland  peace talks ,0.1715,4,anchor.topn3,0.214,ireland peace talks killeevi donaghcump  i ,thesaurus.topn3,0.193,ireland peace talks   accord friendship  lecture allocution ,conceptnet.topn3,0.1825,ireland peace talks a country a potato war negotiation ,docluster.topn10.3.qld.rm3,0.1816,ireland  peace talks govern he mr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,cosmic events ,0.1652,1,wordnet.topn3,0.1808,cosmic events result case outcome ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson s disease ,0.5815,1,relevancefeedback.topn10.qld.rm3,0.5981,parkinson s disease parkinson diseas brain cell he abort alzheim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,poaching  wildlife preserves ,0.3568,6,glove.topn3,0.4574,poaching wildlife preserves poachers shmahn conservation wetlands ,wordnet.topn3.replace,0.3923,poaching wildlife save uphold ,termluster.topn5.3.qld.rm3,0.3772,poaching wildlife preserves year kenya ,wordnet.topn3,0.3731,poaching wildlife preserves carry on save ,tagmee.topn3,0.3643,poaching wildlife preserves Poaching  cooking  Wildlife Food preservation ,conceptluster.topn5.3.qld.rm3,0.3643,poaching wildlife preserves poaching cooking wildlife food preservation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,tropical storms ,0.1291,9,word2vec.topn3.replace,0.2058,subtropical hurricanes cyclones ,word2vec.topn3,0.1769,tropical storms subtropical hurricanes cyclones ,glove.topn3,0.1636,tropical storms storm cyclone floods ,relevancefeedback.topn10.qld.rm3,0.1614,tropical storms storm hurrican tropic said high ,glove.topn3.replace,0.1527,storm cyclone floods ,anchor.topn3,0.1475,tropical storms ondimbo amissa rostraureum ,wordnet.topn3.replace,0.1438,tropical surprise violent storm ,wordnet.topn3,0.1399,tropical storms surprise rage force ,sensedisambiguation,0.1346,tropical storms storm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,legal  Pan Am ,0.0248,7,relevancefeedback.topn10.qld.rm3,0.0481,legal  pan am      commiss threat bomb said syrian ,wiki.topn3,0.0419,legal pan     lockheed l     constellation civil aeronautics board eastern air lines Pan American World Airways aviation accidents and incidents in scotland terrorist incidents in      airliner bombings Pan Am Flight ,wiki.topn3.replace,0.0398,lockheed l     constellation civil aeronautics board eastern air lines Pan American World Airways aviation accidents and incidents in scotland terrorist incidents in      airliner bombings Pan Am Flight ,docluster.topn10.3.qld.rm3,0.0312,legal  pan am      threat said commiss ,tagmee.topn3,0.0266,legal pan     Pan American World Airways Pan Am Flight ,tagmee.topn3.replace,0.0259,Pan American World Airways Pan Am Flight ,conceptluster.topn5.3.qld.rm3,0.0252,legal pan     pan flight     pan american world airways ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Schengen agreement ,0.8823,6,wordnet.topn3.replace,0.9098,schengen accord correspondence ,conceptnet.topn3,0.8968,schengen agreement accord deal getting a contract ,glove.topn3,0.8941,schengen agreement obliges borderless accord ,thesaurus.topn3.replace,0.8902,schengen  accord arrangement ,termluster.topn5.3.qld.rm3,0.8893,schengen agreement control border countri ,word2vec.topn3,0.8837,schengen agreement Shengen eea non Schengen agreeement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,salvaging  shipwreck  treasure ,0.2646,1,wordnet.topn3,0.2853,salvaging shipwreck treasure save salve scavenge wreck hoarded wealth value appreciate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,airport security ,0.1196,2,docluster.topn10.3.qld.rm3,0.2417,airport security secur ,sensedisambiguation,0.1982,airport security security system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,steel production ,0.1234,4,conceptluster.topn5.3.qld.rm3,0.1483,steel production steel ,tagmee.topn3,0.1443,steel production Steel Steel ,termluster.topn5.3.qld.rm3,0.1309,steel production demand increas product steel output level ,tagmee.topn3.replace,0.1241,Steel Steel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
