qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17
3499881,Why is Gordon Ramsey so popular,0.375,9,thesaurus.topn3,0.4282,gordon ramsey popular,anchor.topn3,0.4282,gordon ramsey popular,tagmee.topn3,0.4282,gordon ramsey popular Gordon Ramsey,thesaurus.topn3.replace,0.4282,gordon ramsey popular,anchor.topn3.replace,0.4282,gordon ramsey popular,termluster.topn5.3.qld,0.4282,gordon ramsey popular,conceptluster.topn5.3.qld,0.4282,gordon ramsey popular,wordnet.topn3,0.4155,gordon ramsey popular democratic pop,wordnet.topn3.replace,0.4129,gordon ramsey democratic pop,,,,,,,,,,,,,,,,,,,,,,,,
4311093,Why hot air rises up,0.4388,9,thesaurus.topn3,0.4832,hot air rises,anchor.topn3,0.4832,hot air rises,wiki.topn3,0.4832,hot air rises,tagmee.topn3,0.4832,hot air rises,thesaurus.topn3.replace,0.4832,hot air rises,anchor.topn3.replace,0.4832,hot air rises,conceptluster.topn5.3.qld,0.4832,hot air rises,onfields.topn3.10.2.25.1.qld,0.4644,"{'up?': 2, 'whi': 2, 'rise': 2, 'hot': 2, 'air': 2, 'would': 1.48, 'heat': 1.48, 'water': 1.4, 'cold': 1.4, 'earth': 1.28, 'volum': 1.2, 'dispos': 1.16, 'increas': 1.12}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4644,"{'up': 2, 'whi': 2, 'rise': 2, 'hot': 2, 'air': 2, 'would': 1.48, 'heat': 1.48, 'water': 1.4, 'cold': 1.4, 'earth': 1.28, 'volum': 1.2, 'dispos': 1.16, 'increas': 1.12}",,,,,,,,,,,,,,,,,,,,,,,,
4256593,How do I remove the SIMM card on a LG VX     Cell Phone,0.4811,10,onfields.topn3.10.2.25.1.qld,0.6825,"{'phone?': 2, 'cell': 2, 'a': 2, 'on': 2, 'card': 2, 'simm': 2, 'the': 2, 'remov': 2, 'i': 2, 'do': 2, 'how': 2, 'vx8300': 2, 'lg': 2, 'phone': 2.0, 'sim': 1.333, 'content': 1.333, 'id': 1.333, 'cdma': 1.222, 'mikec': 1.111, '42565930': 1.111, '6010230': 1.111, '42565931': 1.111}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.5929,"{'cell': 2, 'a': 2, 'on': 2, 'simm': 2, 'the': 2, 'remov': 2, 'i': 2, 'do': 2, 'how': 2, 'card': 2, 'vx8300': 2, 'lg': 2, 'phone': 2, 'sim': 1.833, 'content': 1.5, 'id': 1.5, 'cdma': 1.333, '42565930': 1.167, 'vzw': 1.167, '42565935': 1.167}",conceptluster.topn5.3.qld,0.5328,remove simm card lg vx     cell phone punched card,relevancefeedback.topn10.qld,0.5131,how do i remove the simm card on a lg vx     cell phone  u phone us batteri bush bibl,rm3.topn10.10.0.5.qld,0.4959,card how sim cell also cdma ur i onli lg vx     do remov simm phone,thesaurus.topn3,0.483,remove simm card lg vx     cell phone,anchor.topn3,0.483,remove simm card lg vx     cell phone,thesaurus.topn3.replace,0.483,remove simm card lg vx     cell phone,anchor.topn3.replace,0.483,remove simm card lg vx     cell phone,termluster.topn5.3.qld,0.483,remove simm card lg vx     cell phone,,,,,,,,,,,,,,,,,,,,,
1017690,what is the history of indian music,0.3064,8,thesaurus.topn3,0.3215,history indian music,anchor.topn3,0.3215,history indian music,wiki.topn3,0.3215,history indian music,tagmee.topn3,0.3215,history indian music,thesaurus.topn3.replace,0.3215,history indian music,anchor.topn3.replace,0.3215,history indian music,termluster.topn5.3.qld,0.3215,history indian music,conceptluster.topn5.3.qld,0.3215,history indian music,,,,,,,,,,,,,,,,,,,,,,,,,,,
667488,how soon can you drive on a newly paved driveway,0.2944,9,tagmee.topn3,0.4331,soon drive newly paved driveway Road surface Driveway,conceptluster.topn5.3.qld,0.4331,soon drive newly paved driveway driveway road surface,bertqe.topn10.qld,0.40299999999999997,"{'how soon can you drive on a newly paved driveway': 1.5, 'driveway eventually': 1.0, 'driving driveway': 0.3373474788720549, 'badly injured  schreeeeeeeeeeeeech wait ': 0.20601110838729764, 'time save': 0.1275290458918829, 'driveway letting': 0.11182511805345553}",thesaurus.topn3,0.3277,soon drive newly paved driveway,anchor.topn3,0.3277,soon drive newly paved driveway,thesaurus.topn3.replace,0.3277,soon drive newly paved driveway,anchor.topn3.replace,0.3277,soon drive newly paved driveway,termluster.topn5.3.qld,0.3277,soon drive newly paved driveway,relevancefeedback.topn10.qld,0.3201,how soon can you drive on a newly paved driveway  suv drivewai put i park black busi,,,,,,,,,,,,,,,,,,,,,,,,
3507491,Why is religious freedom more important today,0.2693,5,thesaurus.topn3,0.3071,religious freedom important today,anchor.topn3,0.3071,religious freedom important today,thesaurus.topn3.replace,0.3071,religious freedom important today,anchor.topn3.replace,0.3071,religious freedom important today,termluster.topn5.3.qld,0.3071,religious freedom important today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634143,what is direct borrowing  phonological borrowing  linguistic borrowing  cultural borrowing intimate borrowing,0.1225,8,relevancefeedback.topn10.qld,0.1359,what is direct borrowing  phonological borrowing  linguistic borrowing  cultural borrowing intimate borrowing  cognat you countri borrow mean want you r,sensedisambiguation.replace,0.1273,what is lineal borrowing   phonological borrowing   linguistic borrowing   cultural borrowing   suggest borrowing,conceptnet.topn3.replace,0.1266,door to door undeviating borrowing phonological borrowing linguistic borrowing cultural borrowing intimate borrowing,thesaurus.topn3,0.1233,direct borrowing phonological borrowing linguistic borrowing cultural borrowing intimate borrowing,anchor.topn3,0.1233,direct borrowing phonological borrowing linguistic borrowing cultural borrowing intimate borrowing,thesaurus.topn3.replace,0.1233,direct borrowing phonological borrowing linguistic borrowing cultural borrowing intimate borrowing,anchor.topn3.replace,0.1233,direct borrowing phonological borrowing linguistic borrowing cultural borrowing intimate borrowing,termluster.topn5.3.qld,0.1233,direct borrowing phonological borrowing linguistic borrowing cultural borrowing intimate borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396066,Why do airplanes fly so high,0.2838,5,thesaurus.topn3,0.3077,airplanes fly high,anchor.topn3,0.3077,airplanes fly high,thesaurus.topn3.replace,0.3077,airplanes fly high,anchor.topn3.replace,0.3077,airplanes fly high,termluster.topn5.3.qld,0.3077,airplanes fly high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892478,what factors cause the Earth to heat unevenly,0.2721,5,thesaurus.topn3,0.2743,factors cause earth heat unevenly,anchor.topn3,0.2743,factors cause earth heat unevenly,thesaurus.topn3.replace,0.2743,factors cause earth heat unevenly,anchor.topn3.replace,0.2743,factors cause earth heat unevenly,termluster.topn5.3.qld,0.2743,factors cause earth heat unevenly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155314,we have pork chops  veal chops  lamb chops  why is there not any beef chops,0.2175,6,glove.topn3,0.2775,pork chops veal chops lamb chops beef chops beef meat loin lamb chops loin mutton veal loin meat pork loin,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.2743,"{'beef': 2, 'ani': 2, 'not': 2, 'there': 2, 'is': 2, 'whi': 2, 'lamb': 2, 'veal': 2, 'have': 2, 'we': 2, '1': 2.0, 'pork': 2, 'chop': 2, 'cup': 1.301, 'pepper': 1.181, 'minut': 1.169, '14': 1.157, 'sauc': 1.145, 'teaspoon': 1.145, 'degre': 1.108, 'bake': 1.096}",onfields.topn3.10.2.25.1.qld,0.271,"{'?': 2, 'beef': 2, 'ani': 2, 'not': 2, 'there': 2, 'is': 2, 'whi': 2, 'lamb': 2, 'veal': 2, 'chops,': 2, 'have': 2, 'we': 2, '1': 2.0, 'pork': 2, 'chop': 2, 'cup': 1.301, 'pepper': 1.181, 'minut': 1.169, '14': 1.157, 'sauc': 1.145, 'teaspoon': 1.145, 'degre': 1.108, 'bake': 1.096}",stem.lovins,0.2179,we hav pork chop veal chop lamb chop why is ther not any beef chop,stem.paicehusk,0.2179,we hav pork chop veal chop lamb chop why is ther not any beef chop,stem.porter2,0.2176,we have pork chop veal chop lamb chop whi is there not ani beef chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785823,how is the library consider as a heart of university,0.1141,7,thesaurus.topn3,0.1328,library consider heart university,anchor.topn3,0.1328,library consider heart university,thesaurus.topn3.replace,0.1328,library consider heart university,anchor.topn3.replace,0.1328,library consider heart university,termluster.topn5.3.qld,0.1328,library consider heart university,tagmee.topn3,0.1224,library consider heart university Library University,conceptluster.topn5.3.qld,0.1224,library consider heart university library university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815090,how cloning will affects our community,0.2272,11,thesaurus.topn3,0.2867,cloning affects community,anchor.topn3,0.2867,cloning affects community,conceptnet.topn3,0.2867,cloning affects community,thesaurus.topn3.replace,0.2867,cloning affects community,anchor.topn3.replace,0.2867,cloning affects community,conceptnet.topn3.replace,0.2867,cloning affects community,termluster.topn5.3.qld,0.2867,cloning affects community,word2vec.topn3,0.2666,cloning affects community communty,glove.topn3,0.2448,cloning affects community well,tagmee.topn3,0.2347,cloning affects community Cloning Free will Affect  philosophy,conceptluster.topn5.3.qld,0.2347,cloning affects community cloning free affect philosophy,,,,,,,,,,,,,,,,,,
2713171,What does the sentence s mean,0.0385,7,glove.topn3,0.0651,sentence  s mean jail  s whose necessarily,thesaurus.topn3,0.0532,sentence  s mean,anchor.topn3,0.0532,sentence  s mean,thesaurus.topn3.replace,0.0532,sentence  s mean,anchor.topn3.replace,0.0532,sentence  s mean,termluster.topn5.3.qld,0.0532,sentence  s mean,stem.krovetz,0.0472,what do the sentence s mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821193,Why do people feed poison  sugar  to their kids on Easter  and why are there no chocolate Jesuses,0.109,1,stem.krovetz,0.1105,why do people feed poison sugar to their kid on easter and why are there no chocolate jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4185501,why does the sun shine,0.3468,6,onfields.topn3.10.2.25.1.qld,0.3963,"{'shine?': 2, 'the': 2, 'doe': 2, 'whi': 2, 'sun': 2, 'core': 1.545, 'fusion': 1.545, 'id': 1.455, 'stop': 1.364, 'nuclear': 1.273, 'content': 1.273, 'collaps': 1.182, 'cno': 1.182, 'shine': 1.182, 'graviti': 1.0}",thesaurus.topn3,0.3701,sun shine,anchor.topn3,0.3701,sun shine,thesaurus.topn3.replace,0.3701,sun shine,anchor.topn3.replace,0.3701,sun shine,termluster.topn5.3.qld,0.3701,sun shine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473331,How can I keep my rabit indoors,0.336,6,thesaurus.topn3,0.3806,keep rabit indoors,anchor.topn3,0.3806,keep rabit indoors,thesaurus.topn3.replace,0.3806,keep rabit indoors,anchor.topn3.replace,0.3806,keep rabit indoors,termluster.topn5.3.qld,0.3806,keep rabit indoors,conceptnet.topn3,0.3441,keep rabit indoors preserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190287,Why is switching schools so depressing,0.0838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937374,how to get     V AC,0.3355,5,thesaurus.topn3,0.3645,get     v ac,anchor.topn3,0.3645,get     v ac,thesaurus.topn3.replace,0.3645,get v ac,anchor.topn3.replace,0.3645,get     v ac,termluster.topn5.3.qld,0.3645,get     v ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459749,Why don t I have an asthma attack during sex,0.1641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23464,why girls are beautiful,0.4324,5,thesaurus.topn3,0.46799999999999997,girls beautiful,anchor.topn3,0.46799999999999997,girls beautiful,thesaurus.topn3.replace,0.46799999999999997,girls beautiful,anchor.topn3.replace,0.46799999999999997,girls beautiful,termluster.topn5.3.qld,0.46799999999999997,girls beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377861,how to handsew sequins,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385681,if red bull is soo bad for people  then why is it soo popular,0.0821,10,onfields.topn3.10.2.25.1.qld,0.1002,"{'popular?': 2, 'it': 2, 'whi': 2, ',then': 2, 'peopl': 2, 'for': 2, 'bad': 2, 'is': 2, 'bull': 2, 'red': 2, 'if': 2, 'soo': 2, 'pit': 1.833, 'that': 1.5, 'tree': 1.5, 'content': 1.5, 'seed': 1.5, 'id': 1.5, 'agress': 1.333, 'pitt': 1.333, '10278903': 1.167, '397119519': 1.167}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.1002,"{'popular': 2, 'it': 2, 'whi': 2, 'then': 2, 'peopl': 2, 'for': 2, 'bad': 2, 'is': 2, 'bull': 2, 'red': 2, 'if': 2, 'soo': 2, 'pit': 1.833, 'tree': 1.5, 'content': 1.5, 'seed': 1.5, 'id': 1.5, 'agress': 1.333, 'pitt': 1.333, 'wayswith': 1.167, '10278903': 1.167, '10405533': 1.167}",thesaurus.topn3,0.0933,red bull soo bad people soo popular,anchor.topn3,0.0933,red bull soo bad people soo popular,thesaurus.topn3.replace,0.0933,red bull soo bad people soo popular,anchor.topn3.replace,0.0933,red bull soo bad people soo popular,termluster.topn5.3.qld,0.0933,red bull soo bad people soo popular,stem.porter2,0.0925,if red bull is soo bad for peopl then whi is it soo popular,tagmee.topn3,0.0884,red bull soo bad people soo popular Red Bull People  magazine  Why   T song  Pop music,conceptluster.topn5.3.qld,0.0878,red bull soo bad people soo popular people magazine red bull  t song pop music,,,,,,,,,,,,,,,,,,,,,
1794677,How can I treat my Acne Scars,0.4596,6,onfields.topn3.10.2.25.1.qld,0.5195,"{'scars?': 2, 'my': 2, 'treat': 2, 'i': 2, 'can': 2, 'how': 2, 'u': 2.0, 'acn': 2, 'ur': 1.206, 'use': 1.113, 'skin': 1.088, 'scar': 1.057, 'caus': 1.036, 'pimpl': 1.021, 'overthecount': 1.021, 'increas': 1.015, 'oili': 1.0}",thesaurus.topn3,0.5022,treat acne scars,anchor.topn3,0.5022,treat acne scars,thesaurus.topn3.replace,0.5022,treat acne scars,anchor.topn3.replace,0.5022,treat acne scars,termluster.topn5.3.qld,0.5022,treat acne scars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301173,how to design road crust for national highways,0.3198,6,thesaurus.topn3,0.3278,design road crust national highways,anchor.topn3,0.3278,design road crust national highways,thesaurus.topn3.replace,0.3278,design road crust national highways,anchor.topn3.replace,0.3278,design road crust national highways,termluster.topn5.3.qld,0.3278,design road crust national highways,sensedisambiguation.replace,0.3255,how to plan road crust for national highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204633,Why do you have memories,0.2125,12,thesaurus.topn3,0.3641,memories,anchor.topn3,0.3641,memories,wiki.topn3,0.3641,memories,tagmee.topn3,0.3641,memories,conceptnet.topn3,0.3641,memories,thesaurus.topn3.replace,0.3641,memories,anchor.topn3.replace,0.3641,memories,conceptnet.topn3.replace,0.3641,memories,termluster.topn5.3.qld,0.3641,memories,conceptluster.topn5.3.qld,0.3641,memories,sensedisambiguation,0.2698,Why do you have memories memory,relevancefeedback.topn10.qld,0.2467,why do you have memories  memori bank,,,,,,,,,,,,,,,
3960080,Why don t commercial planes fly over the North Pole,0.4253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262692,How can I get rid of pimples on my back,0.3474,7,thesaurus.topn3,0.3817,get rid pimples back,anchor.topn3,0.3817,get rid pimples back,thesaurus.topn3.replace,0.3817,get rid pimples back,anchor.topn3.replace,0.3817,get rid pimples back,termluster.topn5.3.qld,0.3817,get rid pimples back,tagmee.topn3,0.3776,get rid pimples back Can I Get A,conceptluster.topn5.3.qld,0.3771,get rid pimples back get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558570,My city just put a ban on pit bulls  how do we reverse the decision,0.4541,5,thesaurus.topn3,0.474,city put ban pit bulls reverse decision,anchor.topn3,0.474,city put ban pit bulls reverse decision,thesaurus.topn3.replace,0.474,city put ban pit bulls reverse decision,anchor.topn3.replace,0.474,city put ban pit bulls reverse decision,termluster.topn5.3.qld,0.474,city put ban pit bulls reverse decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167882,What are the different types of sins and how are they caused,0.0569,5,thesaurus.topn3,0.0702,different types sins caused,anchor.topn3,0.0702,different types sins caused,thesaurus.topn3.replace,0.0702,different types sins caused,anchor.topn3.replace,0.0702,different types sins caused,termluster.topn5.3.qld,0.0702,different types sins caused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295055,What causes skin discoloration  specifically  whitening of the skin between fingers,0.131,7,stem.porter,0.1737,what caus skin discolor specif whiten of the skin between finger,stem.porter2,0.1737,what caus skin discolor specif whiten of the skin between finger,thesaurus.topn3,0.1388,causes skin discoloration specifically whitening skin fingers,anchor.topn3,0.1388,causes skin discoloration specifically whitening skin fingers,thesaurus.topn3.replace,0.1388,causes skin discoloration specifically whitening skin fingers,anchor.topn3.replace,0.1388,causes skin discoloration specifically whitening skin fingers,termluster.topn5.3.qld,0.1388,causes skin discoloration specifically whitening skin fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100653,how do I go about getting copies of letters of commendation prsented to me from city of san diego,0.2961,9,onfields.topn3.10.2.25.1.qld,0.3558,"{'diego?': 2, 'citi': 2, 'from': 2, 'me': 2, 'to': 2, 'prsent': 2, 'commend': 2, 'letter': 2, 'of': 2, 'copi': 2, 'get': 2, 'about': 2, 'go': 2, 'i': 2, 'do': 2, 'how': 2, 'san': 2, 'diego': 1.86, 'estat': 1.791, 'gum': 1.302, 'market': 1.256, 'caus': 1.163, 'declin': 1.14, 'diseas': 1.14, 'httpsandiegofsboblogspotcom': 1.093, 'yearsvisit': 1.07, 'httpsandiegocoastalrealestateblogspotcom': 1.07}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.3479,"{'citi': 2, 'from': 2, 'me': 2, 'to': 2, 'prsent': 2, 'commend': 2, 'letter': 2, 'of': 2, 'copi': 2, 'get': 2, 'about': 2, 'go': 2, 'i': 2, 'do': 2, 'how': 2, 'san': 2, 'diego': 2, 'estat': 1.791, 'gum': 1.302, 'market': 1.256, 'caus': 1.163, 'declin': 1.14, 'diseas': 1.14, 'httpsandiegofsboblogspotcom': 1.093, 'etceven': 1.07, '500000': 1.07}",thesaurus.topn3,0.3168,go getting copies letters commendation prsented city san diego,anchor.topn3,0.3168,go getting copies letters commendation prsented city san diego,thesaurus.topn3.replace,0.3168,go getting copies letters commendation prsented city san diego,anchor.topn3.replace,0.3168,go getting copies letters commendation prsented city san diego,termluster.topn5.3.qld,0.3168,go getting copies letters commendation prsented city san diego,stem.trunc5,0.3059,how do i go about getti copie of lette of comme prsen to me from city of san diego,tagmee.topn3,0.2998,go getting copies letters commendation prsented city san diego Go       film  Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,,,,,,,,,,,,,,,,,,,,,,,,
2619912,How were you saved from sin and born again as Jesus says  Except you repent  and be born again     How didYou,0.2567,4,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.3958,"{'didyou': 2, 'be': 2, 'and': 2, 'repent': 2, 'except': 2, 'say': 2, 'as': 2, 'again': 2, 'sinand': 2, 'from': 2, 'save': 2, 'you': 2, 'were': 2, 'how': 2, 'jesu': 2, 'born': 2, 'god': 1.778, 'spirit': 1.389, 'joh': 1.333, 'kingdom': 1.333, 'unto': 1.278, 'baptiz': 1.222, 'womb': 1.167, 'nicodemu': 1.167, 'verili': 1.0}",stem.lovins,0.3655,how wer you sav from sin and born again as jesus say except you repens and be born again how didyou,stem.paicehusk,0.3047,how wer you sav from sin and born again as jes say exceiv you rep and be born again how didyou,stem.trunc5,0.3041,how were you saved from sin and born again as jesus says excep you repen and be born again how didyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663853,what is a wet dream,0.3824,6,thesaurus.topn3,0.4192,wet dream,anchor.topn3,0.4192,wet dream,thesaurus.topn3.replace,0.4192,wet dream,anchor.topn3.replace,0.4192,wet dream,termluster.topn5.3.qld,0.4192,wet dream,onfields.topn3.10.2.25.1.qld,0.39299999999999996,"{'dream?': 2, 'a': 2, 'is': 2, 'what': 2, 'wet': 2, 'dream': 2.0, 'id': 1.364, 'bed': 1.364, 'sexual': 1.273, 'content': 1.273, 'bladder': 1.273, 'climax': 1.182, 'caus': 1.182, '10583940': 1.091, '5658014': 1.091}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592121,how to rollover    k into real estate,0.1994,13,onfields.topn3.10.2.25.1.qld,0.4146,"{'estate?': 2, 'real': 2, 'into': 2, '401k': 2, 'rollov': 2, 'to': 2, 'how': 2, 'estat': 2.0, 'san': 1.829, 'diego': 1.657, 'market': 1.314, 'cfp': 1.2, 'declin': 1.171, 'httpsandiegofsboblogspotcom': 1.114, 'etceven': 1.086, 'httpdowntownsandiegorealestateviewsblogspotcom': 1.086, 'yearsvisit': 1.086, 'httpsandiegocoastalrealestateblogspotcom': 1.086}",tagmee.topn3,0.3012,rollover    k real estate     k  Real estate,conceptluster.topn5.3.qld,0.3012,rollover    k real estate real estate     k,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.2733,"{'real': 2, 'into': 2, '401k': 2, 'to': 2, 'how': 2, 'estat': 2, 'rollov': 2, 'cfp': 2.0, 'invest': 1.857, 'fund': 1.714, 'financi': 1.571, 'planner': 1.429, 'cours': 1.286, 'carleton': 1.286, 'pfp': 1.286, '995': 1.286}",stem.trunc5,0.2623,how to rollo k into real estat,docluster.topn10.3.qld,0.2535,how to rollover    k into real estate  you estat,relevancefeedback.topn10.qld,0.2213,how to rollover    k into real estate  you http your estat over have teach,thesaurus.topn3,0.2202,rollover    k real estate,anchor.topn3,0.2202,rollover    k real estate,thesaurus.topn3.replace,0.2202,rollover    k real estate,anchor.topn3.replace,0.2202,rollover    k real estate,termluster.topn5.3.qld,0.2202,rollover    k real estate,wordnet.topn3,0.2193,rollover    k real estate material genuine land estate of the realm the three estates,,,,,,,,,,,,
2182052,why is lemonade at restaurants sometimes different,0.5193,5,thesaurus.topn3,0.5316,lemonade restaurants sometimes different,anchor.topn3,0.5316,lemonade restaurants sometimes different,thesaurus.topn3.replace,0.5316,lemonade restaurants sometimes different,anchor.topn3.replace,0.5316,lemonade restaurants sometimes different,termluster.topn5.3.qld,0.5316,lemonade restaurants sometimes different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623623,How do you improve fuel efficiency of a       Ford Ikon,0.1624,8,onfields.topn3.10.2.25.1.qld,0.1957,"{'ikon?': 2, '2004,': 2, 'a': 2, 'of': 2, 'improv': 2, 'you': 2, 'do': 2, 'how': 2, 'ford': 2, 'fuel': 2, 'effici': 2, 'gm': 2.0, 'intern': 1.667, 'content': 1.5, 'id': 1.5, 'piston': 1.5, 'nikon': 1.333, 'respons': 1.333, 'chevi': 1.0}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.1957,"{'ikon': 2, '2004': 2, 'a': 2, 'of': 2, 'improv': 2, 'you': 2, 'do': 2, 'how': 2, 'ford': 2, 'fuel': 2, 'effici': 2, 'gm': 2.0, 'intern': 1.667, 'content': 1.5, 'id': 1.5, 'piston': 1.5, 'nikon': 1.333, 'respons': 1.333, 'chevi': 1.0}",tagmee.topn3,0.1739,improve fuel efficiency      ford ikon Fuel efficiency Ford Ikon,thesaurus.topn3,0.1729,improve fuel efficiency      ford ikon,anchor.topn3,0.1729,improve fuel efficiency      ford ikon,thesaurus.topn3.replace,0.1729,improve fuel efficiency ford ikon,anchor.topn3.replace,0.1729,improve fuel efficiency      ford ikon,termluster.topn5.3.qld,0.1729,improve fuel efficiency      ford ikon,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078448,How do you prevent chicken from drying out when you cook it,0.1928,7,thesaurus.topn3,0.2166,prevent chicken drying cook,anchor.topn3,0.2166,prevent chicken drying cook,thesaurus.topn3.replace,0.2166,prevent chicken drying cook,anchor.topn3.replace,0.2166,prevent chicken drying cook,termluster.topn5.3.qld,0.2166,prevent chicken drying cook,tagmee.topn3,0.2047,prevent chicken drying cook Chicken Food drying Desiccation Cooking,conceptluster.topn5.3.qld,0.2047,prevent chicken drying cook food drying chicken cooking desiccation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074429,How can we understand Islam and Muslims better,0.1126,6,thesaurus.topn3,0.1201,understand islam muslims better,anchor.topn3,0.1201,understand islam muslims better,thesaurus.topn3.replace,0.1201,understand islam muslims better,anchor.topn3.replace,0.1201,understand islam muslims better,conceptluster.topn5.3.qld,0.1201,understand islam muslims better,sensedisambiguation.replace,0.1131,How can we understand islam and muslim good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119420,Well the black light is UV light So if it is  black  how can it be  light,0.2994,6,thesaurus.topn3,0.3099,well black light uv light so    black       light,anchor.topn3,0.3099,well black light uv light so    black       light,thesaurus.topn3.replace,0.3099,well black light uv light so black light,anchor.topn3.replace,0.3099,well black light uv light so    black       light,termluster.topn5.3.qld,0.3099,well black light uv light so    black       light,stem.paicehusk,0.3046,wel the black light is uv light so if it is black how can it be light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290612,why do anxiety and depression seem to coexist,0.2996,7,relevancefeedback.topn10.qld,0.3213,why do anxiety and depression seem to coexist  don t anxieti i depress you social,thesaurus.topn3,0.3115,anxiety depression seem coexist,anchor.topn3,0.3115,anxiety depression seem coexist,thesaurus.topn3.replace,0.3115,anxiety depression seem coexist,anchor.topn3.replace,0.3115,anxiety depression seem coexist,termluster.topn5.3.qld,0.3115,anxiety depression seem coexist,sensedisambiguation,0.3076,why do anxiety and depression natural depression seem to coexist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529114,since i have premature ejaculation problem  how to satisfy my girl,0.4653,7,conceptluster.topn5.3.qld,0.4721,since premature ejaculation problem satisfy girl how to premature ejaculation problem solving girl temptations song,tagmee.topn3,0.4714,since premature ejaculation problem satisfy girl Premature ejaculation Problem solving How to My Girl  The Temptations song,thesaurus.topn3,0.4669,since premature ejaculation problem satisfy girl,anchor.topn3,0.4669,since premature ejaculation problem satisfy girl,thesaurus.topn3.replace,0.4669,since premature ejaculation problem satisfy girl,anchor.topn3.replace,0.4669,since premature ejaculation problem satisfy girl,termluster.topn5.3.qld,0.4669,since premature ejaculation problem satisfy girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
