qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
INEX_XER-119,Swiss cantons where they speak German,0.16899999999999998,9,tagmee.topn3.replace,0.3629,Star Trek The Captains  film,termluster.topn5.3.qld,0.2722,swiss cantons speak german canton german switzerland switzerland swiss languag canton swiss switzerland,tagmee.topn3,0.2461,swiss cantons speak german Switzerland Canton  country subdivision  Germany,conceptluster.topn5.3.qld,0.2461,swiss cantons speak german canton country subdivision germany switzerland,onfields.topn3.10.1.1.qld,0.2056,"{'speak': 2, 'they': 2, 'where': 2, 'canton': 2, 'german': 2, 'swiss': 2, 'switzerland': 1.456, 'tsch': 1.355, 'card': 1.254, 'dialect': 1.171, 'alemann': 1.171, 'germanspeak': 1.145, 'appenzel': 1.088, 'schwyzerd': 1.066}",thesaurus.topn3,0.1857,swiss cantons speak german,anchor.topn3,0.1857,swiss cantons speak german,thesaurus.topn3.replace,0.1857,swiss cantons speak german,anchor.topn3.replace,0.1857,swiss cantons speak german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-121,US presidents since,0.0449,5,sensedisambiguation,0.1833,US uranium presidents president of the united states since,onfields.topn3.10.1.1.qld,0.175,"{'1960': 2, 'sinc': 2, 'us': 2, 'presid': 2, 'state': 1.561, 'unit': 1.504, 'eu': 1.188, 'presidenti': 1.147, 'european': 1.12, 'execut': 1.049, 'hous': 1.038, 'potu': 1.024, 'respons': 1.01}",bertqe.topn10.qld,0.0844,"{'US presidents since 1960': 1.5, '26 since 2013tif arnold schwarzenegger': 1.0, 'johnson jimmy carter president': 0.7395463241322766, 'president since world war ii': 0.6184749931675321, 'gerald ford united states presidential': 0.4353648537851872, 'united states presidential election 1960': 0.34490297895599886}",tagmee.topn3.replace,0.0533,Nordic countries Classical music Composer,wiki.topn3.replace,0.0509,nordic council danish krone Åland islands Nordic countries classical music european music world music Classical music composers musical terminology pianist Composer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-122,Movies with eight or more Academy Awards,0.0316,9,sensedisambiguation.replace,0.0945,movie with eight or more academy prize,conceptluster.topn5.3.qld,0.0807,movies eight academy awards film,tagmee.topn3,0.0798,movies eight academy awards Film Academy Awards,thesaurus.topn3,0.0397,movies eight academy awards,anchor.topn3,0.0397,movies eight academy awards,thesaurus.topn3.replace,0.0397,movies eight academy awards,anchor.topn3.replace,0.0397,movies eight academy awards,stem.paicehusk,0.0375,movy with eight or mor academy award,wiki.topn3,0.0333,movies eight academy awards film art media media formats Film academy of motion picturarts and sciences american film institute featurlength Academy Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-123,FIFA world cup national team winners since,0.0966,6,wordnet.topn3,0.1642,fifa world cup national team winners since      human race cosmos humans loving cup internal home subject team up squad success achiever victor,bertqe.topn10.qld,0.1291,"{'FIFA world cup national team winners since 1974': 1.5, 'world cup final 1974 fifa': 1.0, 'fifa world cup final 1974': 0.9961538461538461, 'team 1974 fifa world cup': 0.9923076923076922, 'final 1974 fifa world cup': 0.9911242603550295, 'ndor puhl 1974 fifa world': 0.6766272189349112}",wordnet.topn3.replace,0.1035,fifa human race cosmos humans loving cup internal home subject team up squad success achiever victor since,tagmee.topn3,0.1028,fifa world cup national team winners since      FIFA World Cup FIFA World Cup Champion,termluster.topn5.3.qld,0.0999,fifa world cup national team winners since      cup footbal nation cup fifa footbal fifa footbal nation world tournament team cup fifa footbal time stadium match,conceptluster.topn5.3.qld,0.0989,fifa world cup national team winners since      fifa world cup champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-124,Novels that won the Booker Prize,0.5641,5,tagmee.topn3,0.6147,novels booker prize Novel Man Booker Prize,thesaurus.topn3,0.5731,novels booker prize,anchor.topn3,0.5731,novels booker prize,thesaurus.topn3.replace,0.5731,novels booker prize,anchor.topn3.replace,0.5731,novels booker prize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-125,countries which have won the FIFA world cup,0.1565,3,termluster.topn5.3.qld,0.2061,countries fifa world cup year war two cup footbal germani brazil argentina competit fifa footbal germani,sensedisambiguation,0.1926,countries state which have won win the FIFA world worldly concern cup,stem.trunc5,0.18,count which have won the fifa world cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-126,toy train manufacturers that are still in business,0.1714,8,termluster.topn5.3.qld,0.2533,toy train manufacturers still business compani manufactur toi world unit train world unit train,onfields.topn3.10.1.1.qld,0.235,"{'busi': 2, 'in': 2, 'still': 2, 'are': 2, 'that': 2, 'manufactur': 2, 'train': 2, 'toy': 2, 'lionel': 1.934, 'triang': 1.352, 'gaug': 1.33, 'boucher': 1.33, 'compani': 1.242, 'voltamp': 1.176, 'gaugewid': 1.055, 'mid1960sbouch': 1.055}",relevancefeedback.topn10.qld,0.2273,toy train manufacturers that are still in business toi lionel triang compani steam manufactur,rm3.topn10.10.0.5.qld,0.2153,toi still flyer triang lionel hafner train marx manufactur model compani busi,tagmee.topn3,0.1979,toy train manufacturers still business Toy train Manufacturing Business,conceptluster.topn5.3.qld,0.1979,toy train manufacturers still business business toy train manufacturing,wiki.topn3,0.1893,toy train manufacturers still business high rail model steam engine z scale Toy train industry supply chain products Manufacturing business accounting finance Business,stem.lovins,0.1766,toy train manufacturer that ar stil in bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-127,german female politicians,0.245,2,tagmee.topn3.replace,0.7572,Film Film director Akira Kurosawa,wiki.topn3.replace,0.3009,film art media media formats Film film directors film crew screenwriter Film director kon ichikawa asakazu nakai tadao sato Akira Kurosawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-128,Bond girls,0.3247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-129,Science fiction book written in the,0.0073,9,tagmee.topn3.replace,0.1324,Medieval university Catalonia,bertqe.topn10.qld,0.1215,"{'Science fiction book written in the 1980': 1.5, '1981 novels 1980s science fiction': 1.0, 'novels 1980s science fiction novels': 0.6499999999999999, 'published 1981 daw': 0.6499999999999999, '1980s science fiction novels milky': 0.5999999999999999, 'books 1981 1983': 0.3500000000000001}",adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.1086,"{'1980': 2, 'the': 2, 'in': 2, 'written': 2, 'scienc': 2, 'book': 2, 'fiction': 2, 'award': 1.789, 'genr': 1.374, 'novel': 1.366, 'best': 1.333, 'illinoi': 1.325, 'nonfict': 1.317, '5078': 1.211, 'univers': 1.179, 'p243m': 1.114}",wiki.topn3.replace,0.0882,studium generale robert kilwardby siger of brabant Medieval university catalonia andalusia asturias Catalonia,onfields.topn3.10.1.1.qld,0.0305,"{'1980': 2, 'the': 2, 'in': 2, 'written': 2, 'book': 2, 'scienc': 2, 'fiction': 2, 'best': 1.661, 'carr': 1.155, 'sf': 1.115, 'zamba': 1.098, 'stuff': 1.086, 'disch': 1.075, 'viagen': 1.075, 'interplanetaria': 1.075}",relevancefeedback.topn10.qld,0.0292,science fiction book written in the      best novel,rm3.topn10.10.0.5.qld,0.0155,written best award carr novel      scienc darkov fiction star book,tagmee.topn3,0.0089,science fiction book written      Science fiction Book Writing,conceptnet.topn3,0.0074,science fiction book written      middle earth story page reading Books letter paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-130,Star Trek Captains,0.3745,2,tagmee.topn3,0.4051,star trek captains Star Trek The Captains  film,conceptluster.topn5.3.qld,0.3996,star trek captains captains film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-132,living nordic classical composers,0.1068,1,tagmee.topn3.replace,0.293,Chess World Chess Championship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-133,EU countries,0.1182,8,word2vec.topn3,0.1633,eu countries Eu schengen eec nations countires coutries,sensedisambiguation,0.1503,EU european union countries state,tagmee.topn3.replace,0.1491,Chemical element,glove.topn3,0.1444,eu countries european bloc nations governments,termluster.topn5.3.qld,0.1342,eu countries union treati territori,tagmee.topn3,0.1292,eu countries European Union Nation,conceptluster.topn5.3.qld,0.1292,eu countries nation european union,word2vec.topn3.replace,0.1265,Eu schengen eec nations countires coutries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-134,record breaking sprinters in male     meter sprints,0.094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-135,professional baseball team in Japan,0.4368,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-136,Japanese players in Major League Baseball,0.5228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-138,National Parks East Coast Canada US,0.1775,2,conceptluster.topn5.3.qld,0.3039,national parks east coast canada us national parks canada united states,tagmee.topn3,0.2732,national parks east coast canada us National Parks of Canada Canada United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-139,Films directed by Akira Kurosawa,0.8851,5,sensedisambiguation,0.9683,Films movie directed direct by Akira Kurosawa,sensedisambiguation.replace,0.9661,movie direct by Akira kurosawa,conceptnet.topn3.replace,0.9596,films oriented akira Akira Kurosawa,conceptnet.topn3,0.9328,films directed akira kurosawa oriented Akira Kurosawa,relevancefeedback.topn10.qld,0.9144,films directed by akira kurosawa film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-140,Airports in Germany,0.3931,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-141,Universities in Catalunya,0.1289,10,tagmee.topn3.replace,0.5066,Give In to Me A list A list Trumpet Bandleader,rm3.topn10.10.0.5.qld,0.2685,educ univers catalonia technolog copa universidad scienc institut medic barcelona catalunya,tagmee.topn3,0.2263,universities catalunya Medieval university Catalonia,conceptluster.topn5.3.qld,0.2263,universities catalunya medieval university catalonia,termluster.topn5.3.qld,0.1788,universities catalunya barcelona spain,glove.topn3,0.1712,universities catalunya colleges campuses catalonia jerez,wiki.topn3.replace,0.1631,video greatest hits   history foolish beat lovnever felt so good Give In to Me hollywood com central ohio film critics association inappropriatcomedy A list hollywood com central ohio film critics association inappropriatcomedy A list trombone b flat instruments brass instruments Trumpet arbors records list of jazz trumpeters session musician Bandleader,conceptnet.topn3,0.1612,universities catalunya greats great go letters and science catalonia,sensedisambiguation,0.1493,Universities university in Catalunya,onfields.topn3.10.1.1.qld,0.1456,"{'in': 2, 'barcelona': 2.0, 'univers': 2, 'catalunya': 2, 'pla': 1.506, 'metro': 1.483, 'catalonia': 1.362, 'universitat': 1.276, 'upc': 1.27, 'cnica': 1.19, 'uoc': 1.184, 'oberta': 1.086}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-143,Hanseatic league in Germany in the Netherlands Circle,0.11199999999999999,2,relevancefeedback.topn10.qld,0.1843,hanseatic league in germany in the netherlands circle germani hanseat list netherland dortmund treati soest,rm3.topn10.10.0.5.qld,0.1455,german dortmund dai germani circl leagu hanseat soest town hansa netherland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-144,chess world champions,0.5948,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-147,Chemical elements that are named after people,0.175,3,onfields.topn3.10.1.1.qld,0.2467,"{'peopl': 2, 'after': 2, 'name': 2, 'are': 2, 'that': 2, 'chemic': 2, 'element': 2, 'tabl': 1.208, 'dubnium': 1.208, 'scientist': 1.181, 'systemat': 1.174, 'isotop': 1.104, 'synthet': 1.097, 'transactinid': 1.049, 'transfermium': 1.049, 'chemistri': 1.0}",rm3.topn10.10.0.5.qld,0.2107,itali atom assign tabl element chemic peopl period name symbol after scientist chemistri,sensedisambiguation,0.1902,Chemical elements element that are named name after people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-1,Which German cities have more than        inhabitants,0.0118,9,word2vec.topn3,0.040999999999999995,german cities        inhabitants french germany towns                      residents population natives,stem.krovetz,0.0356,which germany city have more than inhabitant,tagmee.topn3.replace,0.035,Give In to Me The Members The Prodigy,bertqe.topn10.qld,0.0348,"{'Which German cities have more than 250000 inhabitants': 1.5, 'germany 100000': 1.0, 'cities 100000 inhabitants': 0.5606060606060606, 'population dresden cologne herne': 0.3333333333333333, '100000 federal capital': 0.22727272727272727, '130000 inhabitants modern': 0.1666666666666666}",glove.topn3,0.0259,german cities        inhabitants germany austrian towns population natives,wordnet.topn3,0.023,german cities        inhabitants German language High German urban center metropolis denizen indweller,wiki.topn3.replace,0.0156,video greatest hits   history foolish beat lovnever felt so good Give In to Me my lifstory norfolk coast  album       band  The Members big beat musicians thchemical brothers thstonroses The Prodigy,wiki.topn3,0.0143,german cities        inhabitants ethnigroups in germany german people poles Germans municipio communications in latin america demographics of panama Demonym,onfields.topn3.10.1.1.qld,0.0128,"{'250000': 2, 'than': 2, 'more': 2, 'have': 2, 'german': 2, 'which': 2, 'list': 2.0, 'inhabit': 2, 'citi': 2, '100000': 1.647, 'town': 1.506, 'inhabitantscitynam': 1.306, 'largest': 1.188, 'exclus': 1.029, '100000warn': 1.029, 'germani': 1.0, 'inhabitantscountri': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-2,Who was the successor of John F  Kennedy,0.033,18,onfields.topn3.10.1.1.qld,0.1415,"{'of': 2, 'successor': 2, 'the': 2, 'wa': 2, 'who': 2, 'john': 2, 'f': 2, 'kennedi': 2, 'presid': 1.173, 'assassin': 1.172, '1963': 1.074, 'jfk': 1.062, 'fitzgerald': 1.051, 'hous': 1.023, 'univers': 1.018, 'repres': 1.014}",tagmee.topn3,0.1104,successor john f  kennedy John F  Kennedy,glove.topn3,0.1028,successor john f  kennedy succeed james rohch j  p  f  jfk,word2vec.topn3,0.095,successor john f  kennedy predecessor succesor michael elton keith e  g  d  mccarthy jfk lawrence,conceptnet.topn3,0.0944,successor john f  kennedy a boys name Kennedy International President John F  Kennedy Long Island,glove.topn3.replace,0.0694,succeed james rohch j  p  f  jfk,wordnet.topn3,0.0682,successor john f  kennedy heir replacement Saint John John the Divine John Lackland Kennedy International Airport JFK,conceptnet.topn3.replace,0.0664,successor a boys name f  Kennedy International President John F  Kennedy Long Island,wordnet.topn3.replace,0.0606,heir replacement Saint John John the Divine John Lackland f  Kennedy International Airport JFK,wiki.topn3,0.0568,successor john f  kennedy recipients of the navy and marine corps medal bouvier family united states vice presidential candidates       John F  Kennedy,stem.paicehusk,0.0545,who was the success of john f kennedy,thesaurus.topn3,0.0539,successor john f  kennedy,anchor.topn3,0.0539,successor john f  kennedy,thesaurus.topn3.replace,0.0539,successor john f  kennedy,anchor.topn3.replace,0.0539,successor john f  kennedy,conceptluster.topn5.3.qld,0.0539,successor john f  kennedy,rm3.topn10.10.0.5.qld,0.0434,boston odonnel      massachusett presid joseph successor assassin robert ship john f kennedi who,termluster.topn5.3.qld,0.0394,successor john f  kennedy death kennedi presid unit term state,,,,,,
QALD2_te-3,Who is the mayor of Berlin,0.3477,7,thesaurus.topn3,0.446,mayor berlin,anchor.topn3,0.446,mayor berlin,conceptnet.topn3,0.446,mayor berlin,thesaurus.topn3.replace,0.446,mayor berlin,anchor.topn3.replace,0.446,mayor berlin,conceptnet.topn3.replace,0.446,mayor berlin,conceptluster.topn5.3.qld,0.3853,mayor berlin governing mayor berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-5,What is the second highest mountain on Earth,0.1613,4,thesaurus.topn3,0.1659,second highest mountain earth,anchor.topn3,0.1659,second highest mountain earth,thesaurus.topn3.replace,0.1659,second highest mountain earth,anchor.topn3.replace,0.1659,second highest mountain earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-6,Give me all professional skateboarders from Sweden,0.0921,16,tagmee.topn3.replace,0.4849,Governor of Texas,thesaurus.topn3,0.3433,give professional skateboarders sweden,anchor.topn3,0.3433,give professional skateboarders sweden,thesaurus.topn3.replace,0.3433,give professional skateboarders sweden,anchor.topn3.replace,0.3433,give professional skateboarders sweden,termluster.topn5.3.qld,0.3433,give professional skateboarders sweden,tagmee.topn3,0.2763,give professional skateboarders sweden Give In to Me Skateboarding Sweden,wiki.topn3,0.2571,give professional skateboarders sweden video greatest hits   history foolish beat lovnever felt so good Give In to Me skateboard bmx skateboarding equipment Skateboarding year of establishment unknown sweden swedish speaking countries and territories Sweden,wiki.topn3.replace,0.2459,state constitutional officers of texas lieutenant governor of texas texas comptroller of public accounts Governor of Texas,bertqe.topn10.qld,0.2,"{'Give me all professional skateboarders from Sweden': 1.5, 'swedish professional skateboarder': 0.75, 'magnusson sal barbier swedish skateboarders': 1.0, 'sal barbier swedish skateboarders xgames': 1.0, 'swedish semiretired professional skateboarder': 0.5, 'swedish skateboarders swedish people': 0.0}",sensedisambiguation.replace,0.1995,yield me all professional skateboarder from sweden,sensedisambiguation,0.1301,Give yield me all professional skateboarders skateboarder from Sweden,glove.topn3,0.1219,give professional skateboarders sweden take amateur snowboarders denmark swedish,conceptluster.topn5.3.qld,0.1129,give professional skateboarders sweden skateboarding give,relevancefeedback.topn10.qld,0.1093,give me all professional skateboarders from sweden  skateboard song brene singl skate mike magnusson,rm3.topn10.10.0.5.qld,0.1008,sweden all profession jason jesse brene magnusson give from skate swedish singl me skateboard song,,,,,,,,,,,,
QALD2_te-8,To which countries does the Himalayan mountain system extend,0.1753,11,rm3.topn10.10.0.5.qld,0.3566,rang nepal la system peak himalaya mountain doe bhutan countri which extend himalayan india forest,tagmee.topn3.replace,0.3415,The Who Father  band  Elizabeth II,relevancefeedback.topn10.qld,0.3244,to which countries does the himalayan mountain system extend  himalaya forest peak rang basin bhutan la,termluster.topn5.3.qld,0.26899999999999996,countries himalayan mountain system extend mountain himalaya nepal himalayan himalaya nepal,word2vec.topn3,0.2419,countries himalayan mountain system extend nations countires coutries himalayas himalaya hill sytem system  expand,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.2282,"{'extend': 2, 'system': 2, 'mountain': 2, 'himalayan': 2, 'the': 2, 'doe': 2, 'which': 2, 'to': 2, 'countri': 2, 'nepal': 2.0, 'cultur': 1.856, 'island': 1.764, 'student': 1.389, 'strateg': 1.346, 'ocean': 1.298, 'ask': 1.284, 'landlock': 1.221, 'peac': 1.216, 'kathmandu': 1.183}",conceptluster.topn5.3.qld,0.2257,countries himalayan mountain system extend mountain nation mountain range himalayas,onfields.topn3.10.1.1.qld,0.2254,"{'extend': 2, 'system': 2, 'the': 2, 'doe': 2, 'countri': 2, 'which': 2, 'to': 2, 'himal': 2.0, 'mountain': 2, 'himalayan': 2, 'himalaya': 1.887, 'rang': 1.29, 'nepal': 1.278, 'kabru': 1.141, 'icimod': 1.089, 'kush': 1.073, 'kangchenjunga': 1.04, 'intergovernment': 1.036}",tagmee.topn3,0.2204,countries himalayan mountain system extend Nation Himalayas Himalayas Mountain Mountain range,stem.krovetz,0.1781,to which country do the himalayan mountain system extend,wiki.topn3,0.1754,countries himalayan mountain system extend independence nationality society Nation mountain ranges of tibet mountain ranges of nepal mountain ranges of pakistan Himalayas mountain ranges of tibet mountain ranges of nepal mountain ranges of pakistan Himalayas mountains geography terminology glacier Mountain mountain ranges massif mountain templates Mountain range,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-9,Give me a list of all trumpet players that were bandleaders,0.4643,7,thesaurus.topn3,0.6325,give list trumpet players bandleaders,anchor.topn3,0.6325,give list trumpet players bandleaders,thesaurus.topn3.replace,0.6325,give list trumpet players bandleaders,anchor.topn3.replace,0.6325,give list trumpet players bandleaders,conceptluster.topn5.3.qld,0.626,give list trumpet players bandleaders trumpet give a list bandleader,tagmee.topn3,0.6082,give list trumpet players bandleaders Give In to Me A list A list Trumpet Bandleader,termluster.topn5.3.qld,0.6039,give list trumpet players bandleaders bandlead american music trumpet song music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-11,Who is the Formula   race driver with the most races,0.0067,8,tagmee.topn3.replace,0.455,Sean Parnell Governor of California U S  state,wiki.topn3.replace,0.409,alaska gubernatorial election       alaska gubernatorial election       united states senatelection in alaska       Sean Parnell state constitutional officers of california lieutenant governor of california california stattreasurer Governor of California country subdivisions of the americas west virginia west virginia U S  state,wiki.topn3,0.027999999999999997,formula   race driver races racing formulas formula racing series formula one Formula One      abu dhabi grand prix      bahrain grand prix      korean grand prix      Bahrain Grand Prix auto racing sports car racing kart racing Auto racing auto racing sports car racing kart racing Auto racing,rm3.topn10.10.0.5.qld,0.0246,formula driver grand prix      most team car   mrc cornwal race who,conceptluster.topn5.3.qld,0.0209,formula   race driver races      bahrain grand prix formula one auto racing,tagmee.topn3,0.0125,formula   race driver races Formula One      Bahrain Grand Prix Auto racing Auto racing,sensedisambiguation,0.0092,Who is the Formula rule   one race subspecies driver with the most races subspecies,onfields.topn3.10.1.1.qld,0.0081,"{'most': 2, 'with': 2, '1': 2, 'the': 2, 'is': 2, 'who': 2, 'race': 2, 'driver': 2, 'formula': 2, 'grand': 1.479, 'prix': 1.468, 'v8': 1.213, 'supercar': 1.202, 'courtney': 1.197, 'gp2': 1.144, 'pantano': 1.101, 'indi': 1.043}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-12,Give me all world heritage sites designated within the past five years,0.2433,11,tagmee.topn3.replace,0.6772,Give In to Me Feature film Film director Francis Ford Coppola,termluster.topn5.3.qld,0.47700000000000004,give world heritage sites designated within past five years design heritag list world unesco site world unesco park world unesco site,conceptluster.topn5.3.qld,0.3824,give world heritage sites designated within past five years world heritage site give,tagmee.topn3,0.3823,give world heritage sites designated within past five years Give In to Me World Heritage Site,thesaurus.topn3,0.2993,give world heritage sites designated within past five years,anchor.topn3,0.2993,give world heritage sites designated within past five years,thesaurus.topn3.replace,0.2993,give world heritage sites designated within past five years,anchor.topn3.replace,0.2993,give world heritage sites designated within past five years,wiki.topn3,0.2901,give world heritage sites designated within past five years video greatest hits   history foolish beat lovnever felt so good Give In to Me world heritage sites      in the environment protected areas World Heritage Site,relevancefeedback.topn10.qld,0.2662,give me all world heritage sites designated within the past five years  nara site caraca provinc heritag amsterdam,sensedisambiguation,0.2632,Give render me all world worldly concern heritage inheritance sites web site designated delegate within inside the past five years year,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-13,Who is the youngest player in the Premier League,0.2818,6,thesaurus.topn3,0.3324,youngest player premier league,anchor.topn3,0.3324,youngest player premier league,thesaurus.topn3.replace,0.3324,youngest player premier league,anchor.topn3.replace,0.3324,youngest player premier league,conceptluster.topn5.3.qld,0.3177,youngest player premier league promiscuity,relevancefeedback.topn10.qld,0.2965,who is the youngest player in the premier league  footbal fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-14,Give me all members of Prodigy,0.0162,10,bertqe.topn10.qld,0.1655,"{'Give me all members of Prodigy': 1.5, 'beat trio prodigy': 1.0, 'prodigy daniel bedingfield love': 0.9993649449618967, 'manson band prodigy orpheus': 0.993437764606266, 'prodigy pauline pantsdown love': 0.9396697713801863, 'prodigy featured': 0.2868331922099916}",thesaurus.topn3,0.0731,give members prodigy,anchor.topn3,0.0731,give members prodigy,thesaurus.topn3.replace,0.0731,give members prodigy,anchor.topn3.replace,0.0731,give members prodigy,conceptluster.topn5.3.qld,0.0731,give members prodigy members give prodigy,tagmee.topn3,0.0588,give members prodigy Give In to Me The Members The Prodigy,wiki.topn3,0.055,give members prodigy video greatest hits   history foolish beat lovnever felt so good Give In to Me my lifstory norfolk coast  album       band  The Members big beat musicians thchemical brothers thstonroses The Prodigy,termluster.topn5.3.qld,0.0408,give members prodigy music song singl band,word2vec.topn3,0.0184,give members prodigy provide memebers wunderkind phenom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-15,What is the longest river,0.2092,8,thesaurus.topn3,0.2882,longest river,anchor.topn3,0.2882,longest river,wiki.topn3,0.2882,longest river,tagmee.topn3,0.2882,longest river,thesaurus.topn3.replace,0.2882,longest river,anchor.topn3.replace,0.2882,longest river,conceptluster.topn5.3.qld,0.2882,longest river,termluster.topn5.3.qld,0.2472,longest river river includ list longest includ list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-17,Give me all cars that are produced in Germany,0.0008,13,tagmee.topn3.replace,0.2636,Military War T  E  Lawrence,word2vec.topn3,0.1112,give cars produced germany provide automobiles vehicles generated europe france germany,word2vec.topn3.replace,0.0453,provide automobiles vehicles generated europe france germany,glove.topn3,0.0373,give cars produced germany take vehicles german berlin,thesaurus.topn3,0.0302,give cars produced germany,anchor.topn3,0.0302,give cars produced germany,thesaurus.topn3.replace,0.0302,give cars produced germany,anchor.topn3.replace,0.0302,give cars produced germany,wiki.topn3.replace,0.0139,military armed forces soldier Military violence peace civil war War british guerrillas herbert garland siegfried sassoon T  E  Lawrence,sensedisambiguation,0.0133,Give render me all cars car that are produced produce in Germany,glove.topn3.replace,0.0035,take vehicles produced german berlin,sensedisambiguation.replace,0.0028,render me all car that are produce in germany,conceptluster.topn5.3.qld,0.0026,give cars produced germany give,,,,,,,,,,,,,,,,,,,,,
